2022-02-28 07:30:36 - train: epoch 0079, iter [02800, 05004], lr: 0.001000, loss: 2.2357
2022-02-28 07:31:08 - train: epoch 0079, iter [02900, 05004], lr: 0.001000, loss: 2.5218
2022-02-28 07:31:42 - train: epoch 0079, iter [03000, 05004], lr: 0.001000, loss: 2.2234
2022-02-28 07:32:15 - train: epoch 0079, iter [03100, 05004], lr: 0.001000, loss: 2.4796
2022-02-28 07:32:48 - train: epoch 0079, iter [03200, 05004], lr: 0.001000, loss: 2.4993
2022-02-28 07:33:22 - train: epoch 0079, iter [03300, 05004], lr: 0.001000, loss: 2.3815
2022-02-28 07:33:55 - train: epoch 0079, iter [03400, 05004], lr: 0.001000, loss: 2.3295
2022-02-28 07:34:27 - train: epoch 0079, iter [03500, 05004], lr: 0.001000, loss: 2.3866
2022-02-28 07:35:02 - train: epoch 0079, iter [03600, 05004], lr: 0.001000, loss: 2.3137
2022-02-28 07:35:35 - train: epoch 0079, iter [03700, 05004], lr: 0.001000, loss: 2.2188
2022-02-28 07:36:08 - train: epoch 0079, iter [03800, 05004], lr: 0.001000, loss: 2.4373
2022-02-28 07:36:41 - train: epoch 0079, iter [03900, 05004], lr: 0.001000, loss: 2.4386
2022-02-28 07:37:15 - train: epoch 0079, iter [04000, 05004], lr: 0.001000, loss: 2.4249
2022-02-28 07:37:47 - train: epoch 0079, iter [04100, 05004], lr: 0.001000, loss: 2.5013
2022-02-28 07:38:21 - train: epoch 0079, iter [04200, 05004], lr: 0.001000, loss: 2.0368
2022-02-28 07:38:53 - train: epoch 0079, iter [04300, 05004], lr: 0.001000, loss: 2.4084
2022-02-28 07:39:26 - train: epoch 0079, iter [04400, 05004], lr: 0.001000, loss: 2.3646
2022-02-28 07:40:00 - train: epoch 0079, iter [04500, 05004], lr: 0.001000, loss: 2.7639
2022-02-28 07:40:33 - train: epoch 0079, iter [04600, 05004], lr: 0.001000, loss: 2.4063
2022-02-28 07:41:06 - train: epoch 0079, iter [04700, 05004], lr: 0.001000, loss: 2.2374
2022-02-28 07:41:40 - train: epoch 0079, iter [04800, 05004], lr: 0.001000, loss: 2.5544
2022-02-28 07:42:13 - train: epoch 0079, iter [04900, 05004], lr: 0.001000, loss: 2.3732
2022-02-28 07:42:45 - train: epoch 0079, iter [05000, 05004], lr: 0.001000, loss: 2.0240
2022-02-28 07:42:47 - train: epoch 079, train_loss: 2.3987
2022-02-28 07:44:02 - eval: epoch: 079, acc1: 54.128%, acc5: 77.202%, test_loss: 2.0658, per_image_load_time: 2.431ms, per_image_inference_time: 0.141ms
2022-02-28 07:44:02 - until epoch: 079, best_acc1: 54.172%
2022-02-28 07:44:02 - epoch 080 lr: 0.0010000000000000002
2022-02-28 07:44:40 - train: epoch 0080, iter [00100, 05004], lr: 0.001000, loss: 2.1653
2022-02-28 07:45:14 - train: epoch 0080, iter [00200, 05004], lr: 0.001000, loss: 2.4819
2022-02-28 07:45:45 - train: epoch 0080, iter [00300, 05004], lr: 0.001000, loss: 2.2801
2022-02-28 07:46:19 - train: epoch 0080, iter [00400, 05004], lr: 0.001000, loss: 2.4798
2022-02-28 07:46:53 - train: epoch 0080, iter [00500, 05004], lr: 0.001000, loss: 2.2341
2022-02-28 07:47:26 - train: epoch 0080, iter [00600, 05004], lr: 0.001000, loss: 2.4421
2022-02-28 07:47:58 - train: epoch 0080, iter [00700, 05004], lr: 0.001000, loss: 2.3777
2022-02-28 07:48:32 - train: epoch 0080, iter [00800, 05004], lr: 0.001000, loss: 2.0173
2022-02-28 07:49:04 - train: epoch 0080, iter [00900, 05004], lr: 0.001000, loss: 2.2699
2022-02-28 07:49:37 - train: epoch 0080, iter [01000, 05004], lr: 0.001000, loss: 2.3661
2022-02-28 07:50:09 - train: epoch 0080, iter [01100, 05004], lr: 0.001000, loss: 2.3545
2022-02-28 07:50:43 - train: epoch 0080, iter [01200, 05004], lr: 0.001000, loss: 2.3888
2022-02-28 07:51:16 - train: epoch 0080, iter [01300, 05004], lr: 0.001000, loss: 2.3051
2022-02-28 07:51:50 - train: epoch 0080, iter [01400, 05004], lr: 0.001000, loss: 2.3955
2022-02-28 07:52:24 - train: epoch 0080, iter [01500, 05004], lr: 0.001000, loss: 2.3428
2022-02-28 07:52:58 - train: epoch 0080, iter [01600, 05004], lr: 0.001000, loss: 2.4806
2022-02-28 07:53:30 - train: epoch 0080, iter [01700, 05004], lr: 0.001000, loss: 2.5451
2022-02-28 07:54:05 - train: epoch 0080, iter [01800, 05004], lr: 0.001000, loss: 2.4828
2022-02-28 07:54:39 - train: epoch 0080, iter [01900, 05004], lr: 0.001000, loss: 2.4743
2022-02-28 07:55:12 - train: epoch 0080, iter [02000, 05004], lr: 0.001000, loss: 2.3401
2022-02-28 07:55:45 - train: epoch 0080, iter [02100, 05004], lr: 0.001000, loss: 2.5467
2022-02-28 07:56:18 - train: epoch 0080, iter [02200, 05004], lr: 0.001000, loss: 2.6224
2022-02-28 07:56:51 - train: epoch 0080, iter [02300, 05004], lr: 0.001000, loss: 2.5111
2022-02-28 07:57:26 - train: epoch 0080, iter [02400, 05004], lr: 0.001000, loss: 2.5721
2022-02-28 07:57:58 - train: epoch 0080, iter [02500, 05004], lr: 0.001000, loss: 2.4383
2022-02-28 07:58:32 - train: epoch 0080, iter [02600, 05004], lr: 0.001000, loss: 2.3206
2022-02-28 07:59:03 - train: epoch 0080, iter [02700, 05004], lr: 0.001000, loss: 2.3805
2022-02-28 07:59:37 - train: epoch 0080, iter [02800, 05004], lr: 0.001000, loss: 2.4491
2022-02-28 08:00:10 - train: epoch 0080, iter [02900, 05004], lr: 0.001000, loss: 2.6339
2022-02-28 08:00:44 - train: epoch 0080, iter [03000, 05004], lr: 0.001000, loss: 2.3671
2022-02-28 08:01:16 - train: epoch 0080, iter [03100, 05004], lr: 0.001000, loss: 2.2067
2022-02-28 08:01:50 - train: epoch 0080, iter [03200, 05004], lr: 0.001000, loss: 2.1907
2022-02-28 08:02:23 - train: epoch 0080, iter [03300, 05004], lr: 0.001000, loss: 2.3579
2022-02-28 08:02:57 - train: epoch 0080, iter [03400, 05004], lr: 0.001000, loss: 2.3129
2022-02-28 08:03:29 - train: epoch 0080, iter [03500, 05004], lr: 0.001000, loss: 2.3630
2022-02-28 08:04:03 - train: epoch 0080, iter [03600, 05004], lr: 0.001000, loss: 2.3869
2022-02-28 08:04:36 - train: epoch 0080, iter [03700, 05004], lr: 0.001000, loss: 2.5281
2022-02-28 08:05:10 - train: epoch 0080, iter [03800, 05004], lr: 0.001000, loss: 2.4362
2022-02-28 08:05:42 - train: epoch 0080, iter [03900, 05004], lr: 0.001000, loss: 2.1979
2022-02-28 08:06:16 - train: epoch 0080, iter [04000, 05004], lr: 0.001000, loss: 2.6620
2022-02-28 08:06:49 - train: epoch 0080, iter [04100, 05004], lr: 0.001000, loss: 2.5324
2022-02-28 08:07:23 - train: epoch 0080, iter [04200, 05004], lr: 0.001000, loss: 2.3808
2022-02-28 08:07:55 - train: epoch 0080, iter [04300, 05004], lr: 0.001000, loss: 2.6477
2022-02-28 08:08:29 - train: epoch 0080, iter [04400, 05004], lr: 0.001000, loss: 2.3310
2022-02-28 08:09:03 - train: epoch 0080, iter [04500, 05004], lr: 0.001000, loss: 2.3591
2022-02-28 08:09:36 - train: epoch 0080, iter [04600, 05004], lr: 0.001000, loss: 2.4516
2022-02-28 08:10:09 - train: epoch 0080, iter [04700, 05004], lr: 0.001000, loss: 2.6791
2022-02-28 08:10:42 - train: epoch 0080, iter [04800, 05004], lr: 0.001000, loss: 2.4166
2022-02-28 08:11:16 - train: epoch 0080, iter [04900, 05004], lr: 0.001000, loss: 2.7853
2022-02-28 08:11:49 - train: epoch 0080, iter [05000, 05004], lr: 0.001000, loss: 2.3486
2022-02-28 08:11:51 - train: epoch 080, train_loss: 2.3984
2022-02-28 08:13:08 - eval: epoch: 080, acc1: 54.306%, acc5: 77.266%, test_loss: 2.0618, per_image_load_time: 2.812ms, per_image_inference_time: 0.129ms
2022-02-28 08:13:08 - until epoch: 080, best_acc1: 54.306%
2022-02-28 22:20:39 - epoch 081 lr: 0.0010000000000000002
2022-02-28 22:21:16 - train: epoch 0081, iter [00100, 05004], lr: 0.001000, loss: 2.3617
2022-02-28 22:21:48 - train: epoch 0081, iter [00200, 05004], lr: 0.001000, loss: 2.1789
2022-02-28 22:22:20 - train: epoch 0081, iter [00300, 05004], lr: 0.001000, loss: 2.5435
2022-02-28 22:22:53 - train: epoch 0081, iter [00400, 05004], lr: 0.001000, loss: 2.2191
2022-02-28 22:23:24 - train: epoch 0081, iter [00500, 05004], lr: 0.001000, loss: 2.6538
2022-02-28 22:23:58 - train: epoch 0081, iter [00600, 05004], lr: 0.001000, loss: 2.4622
2022-02-28 22:24:29 - train: epoch 0081, iter [00700, 05004], lr: 0.001000, loss: 2.3313
2022-02-28 22:25:02 - train: epoch 0081, iter [00800, 05004], lr: 0.001000, loss: 2.3835
2022-02-28 22:25:33 - train: epoch 0081, iter [00900, 05004], lr: 0.001000, loss: 2.4728
2022-02-28 22:26:06 - train: epoch 0081, iter [01000, 05004], lr: 0.001000, loss: 2.5791
2022-02-28 22:26:38 - train: epoch 0081, iter [01100, 05004], lr: 0.001000, loss: 2.3062
2022-02-28 22:27:10 - train: epoch 0081, iter [01200, 05004], lr: 0.001000, loss: 2.3720
2022-02-28 22:27:42 - train: epoch 0081, iter [01300, 05004], lr: 0.001000, loss: 2.3046
2022-02-28 22:28:14 - train: epoch 0081, iter [01400, 05004], lr: 0.001000, loss: 2.1491
2022-02-28 22:28:46 - train: epoch 0081, iter [01500, 05004], lr: 0.001000, loss: 2.4275
2022-02-28 22:29:18 - train: epoch 0081, iter [01600, 05004], lr: 0.001000, loss: 2.3083
2022-02-28 22:29:51 - train: epoch 0081, iter [01700, 05004], lr: 0.001000, loss: 2.3566
2022-02-28 22:30:26 - train: epoch 0081, iter [01800, 05004], lr: 0.001000, loss: 2.4176
2022-02-28 22:30:58 - train: epoch 0081, iter [01900, 05004], lr: 0.001000, loss: 2.3230
2022-02-28 22:31:31 - train: epoch 0081, iter [02000, 05004], lr: 0.001000, loss: 2.4333
2022-02-28 22:32:03 - train: epoch 0081, iter [02100, 05004], lr: 0.001000, loss: 2.2906
2022-02-28 22:32:35 - train: epoch 0081, iter [02200, 05004], lr: 0.001000, loss: 2.2492
2022-02-28 22:33:08 - train: epoch 0081, iter [02300, 05004], lr: 0.001000, loss: 2.3729
2022-02-28 22:33:39 - train: epoch 0081, iter [02400, 05004], lr: 0.001000, loss: 2.2696
2022-02-28 22:34:13 - train: epoch 0081, iter [02500, 05004], lr: 0.001000, loss: 2.4763
2022-02-28 22:34:44 - train: epoch 0081, iter [02600, 05004], lr: 0.001000, loss: 2.6280
2022-02-28 22:35:16 - train: epoch 0081, iter [02700, 05004], lr: 0.001000, loss: 2.4548
