2022-10-11 00:00:03 - train: epoch 0089, iter [00500, 05004], lr: 0.001000, loss: 0.6887
2022-10-11 00:00:37 - train: epoch 0089, iter [00600, 05004], lr: 0.001000, loss: 0.5884
2022-10-11 00:01:11 - train: epoch 0089, iter [00700, 05004], lr: 0.001000, loss: 0.7780
2022-10-11 00:01:45 - train: epoch 0089, iter [00800, 05004], lr: 0.001000, loss: 0.8549
2022-10-11 00:02:40 - train: epoch 0089, iter [00900, 05004], lr: 0.001000, loss: 0.8094
2022-10-11 00:03:14 - train: epoch 0089, iter [01000, 05004], lr: 0.001000, loss: 0.7357
2022-10-11 00:03:50 - train: epoch 0089, iter [01100, 05004], lr: 0.001000, loss: 0.5806
2022-10-11 00:04:24 - train: epoch 0089, iter [01200, 05004], lr: 0.001000, loss: 0.8417
2022-10-11 00:04:59 - train: epoch 0089, iter [01300, 05004], lr: 0.001000, loss: 0.7624
2022-10-11 00:05:33 - train: epoch 0089, iter [01400, 05004], lr: 0.001000, loss: 0.7033
2022-10-11 00:06:12 - train: epoch 0089, iter [01500, 05004], lr: 0.001000, loss: 0.7200
2022-10-11 00:06:48 - train: epoch 0089, iter [01600, 05004], lr: 0.001000, loss: 0.6440
2022-10-11 00:07:23 - train: epoch 0089, iter [01700, 05004], lr: 0.001000, loss: 0.7017
2022-10-11 00:07:57 - train: epoch 0089, iter [01800, 05004], lr: 0.001000, loss: 0.7989
2022-10-11 00:08:36 - train: epoch 0089, iter [01900, 05004], lr: 0.001000, loss: 0.8476
2022-10-11 00:09:18 - train: epoch 0089, iter [02000, 05004], lr: 0.001000, loss: 0.6689
2022-10-11 00:09:58 - train: epoch 0089, iter [02100, 05004], lr: 0.001000, loss: 0.7147
2022-10-11 00:10:55 - train: epoch 0089, iter [02200, 05004], lr: 0.001000, loss: 0.7417
2022-10-11 00:11:37 - train: epoch 0089, iter [02300, 05004], lr: 0.001000, loss: 0.7223
2022-10-11 00:12:23 - train: epoch 0089, iter [02400, 05004], lr: 0.001000, loss: 0.8953
2022-10-11 00:12:57 - train: epoch 0089, iter [02500, 05004], lr: 0.001000, loss: 0.8376
2022-10-11 00:13:31 - train: epoch 0089, iter [02600, 05004], lr: 0.001000, loss: 0.6202
2022-10-11 00:14:05 - train: epoch 0089, iter [02700, 05004], lr: 0.001000, loss: 0.7720
2022-10-11 00:14:40 - train: epoch 0089, iter [02800, 05004], lr: 0.001000, loss: 0.6565
2022-10-11 00:15:14 - train: epoch 0089, iter [02900, 05004], lr: 0.001000, loss: 0.8126
2022-10-11 00:15:53 - train: epoch 0089, iter [03000, 05004], lr: 0.001000, loss: 0.6682
2022-10-11 00:16:26 - train: epoch 0089, iter [03100, 05004], lr: 0.001000, loss: 0.6655
2022-10-11 00:17:01 - train: epoch 0089, iter [03200, 05004], lr: 0.001000, loss: 0.8793
2022-10-11 00:17:35 - train: epoch 0089, iter [03300, 05004], lr: 0.001000, loss: 0.8598
2022-10-11 00:18:21 - train: epoch 0089, iter [03400, 05004], lr: 0.001000, loss: 0.6516
2022-10-11 00:19:01 - train: epoch 0089, iter [03500, 05004], lr: 0.001000, loss: 0.5400
2022-10-11 00:19:59 - train: epoch 0089, iter [03600, 05004], lr: 0.001000, loss: 0.5767
2022-10-11 00:20:42 - train: epoch 0089, iter [03700, 05004], lr: 0.001000, loss: 0.7059
2022-10-11 00:21:18 - train: epoch 0089, iter [03800, 05004], lr: 0.001000, loss: 0.6996
2022-10-11 00:21:52 - train: epoch 0089, iter [03900, 05004], lr: 0.001000, loss: 0.9648
2022-10-11 00:22:32 - train: epoch 0089, iter [04000, 05004], lr: 0.001000, loss: 0.6329
2022-10-11 00:23:12 - train: epoch 0089, iter [04100, 05004], lr: 0.001000, loss: 0.7914
2022-10-11 00:24:08 - train: epoch 0089, iter [04200, 05004], lr: 0.001000, loss: 0.8115
2022-10-11 00:24:55 - train: epoch 0089, iter [04300, 05004], lr: 0.001000, loss: 0.9011
2022-10-11 00:25:59 - train: epoch 0089, iter [04400, 05004], lr: 0.001000, loss: 0.7335
2022-10-11 00:27:16 - train: epoch 0089, iter [04500, 05004], lr: 0.001000, loss: 0.5841
2022-10-11 00:28:19 - train: epoch 0089, iter [04600, 05004], lr: 0.001000, loss: 0.7415
2022-10-11 00:29:07 - train: epoch 0089, iter [04700, 05004], lr: 0.001000, loss: 0.6907
2022-10-11 00:30:17 - train: epoch 0089, iter [04800, 05004], lr: 0.001000, loss: 0.6900
2022-10-11 00:31:23 - train: epoch 0089, iter [04900, 05004], lr: 0.001000, loss: 0.7163
2022-10-11 00:32:30 - train: epoch 0089, iter [05000, 05004], lr: 0.001000, loss: 0.5014
2022-10-11 00:32:33 - train: epoch 089, train_loss: 0.7332
2022-10-11 00:33:52 - eval: epoch: 089, acc1: 76.426%, acc5: 93.266%, test_loss: 0.9386, per_image_load_time: 1.475ms, per_image_inference_time: 0.611ms
2022-10-11 00:33:52 - until epoch: 089, best_acc1: 76.632%
2022-10-11 00:33:52 - epoch 090 lr: 0.001000
2022-10-11 00:34:32 - train: epoch 0090, iter [00100, 05004], lr: 0.001000, loss: 0.6815
2022-10-11 00:35:07 - train: epoch 0090, iter [00200, 05004], lr: 0.001000, loss: 0.8242
2022-10-11 00:35:42 - train: epoch 0090, iter [00300, 05004], lr: 0.001000, loss: 0.6372
2022-10-11 00:36:16 - train: epoch 0090, iter [00400, 05004], lr: 0.001000, loss: 0.7232
2022-10-11 00:36:52 - train: epoch 0090, iter [00500, 05004], lr: 0.001000, loss: 0.6772
2022-10-11 00:37:26 - train: epoch 0090, iter [00600, 05004], lr: 0.001000, loss: 0.9444
2022-10-11 00:38:01 - train: epoch 0090, iter [00700, 05004], lr: 0.001000, loss: 0.7825
2022-10-11 00:38:36 - train: epoch 0090, iter [00800, 05004], lr: 0.001000, loss: 0.7961
2022-10-11 00:39:10 - train: epoch 0090, iter [00900, 05004], lr: 0.001000, loss: 0.7774
2022-10-11 00:39:47 - train: epoch 0090, iter [01000, 05004], lr: 0.001000, loss: 0.7208
2022-10-11 00:40:22 - train: epoch 0090, iter [01100, 05004], lr: 0.001000, loss: 0.5442
2022-10-11 00:40:59 - train: epoch 0090, iter [01200, 05004], lr: 0.001000, loss: 0.6910
2022-10-11 00:41:36 - train: epoch 0090, iter [01300, 05004], lr: 0.001000, loss: 0.6750
2022-10-11 00:42:14 - train: epoch 0090, iter [01400, 05004], lr: 0.001000, loss: 0.8202
2022-10-11 00:42:55 - train: epoch 0090, iter [01500, 05004], lr: 0.001000, loss: 0.7806
2022-10-11 00:43:34 - train: epoch 0090, iter [01600, 05004], lr: 0.001000, loss: 0.8068
2022-10-11 00:44:11 - train: epoch 0090, iter [01700, 05004], lr: 0.001000, loss: 0.8481
2022-10-11 00:44:54 - train: epoch 0090, iter [01800, 05004], lr: 0.001000, loss: 0.8967
2022-10-11 00:45:48 - train: epoch 0090, iter [01900, 05004], lr: 0.001000, loss: 0.6366
2022-10-11 00:46:23 - train: epoch 0090, iter [02000, 05004], lr: 0.001000, loss: 0.6498
2022-10-11 00:46:58 - train: epoch 0090, iter [02100, 05004], lr: 0.001000, loss: 0.8364
2022-10-11 00:47:47 - train: epoch 0090, iter [02200, 05004], lr: 0.001000, loss: 0.7961
2022-10-11 00:48:36 - train: epoch 0090, iter [02300, 05004], lr: 0.001000, loss: 0.7974
2022-10-11 00:49:40 - train: epoch 0090, iter [02400, 05004], lr: 0.001000, loss: 0.8523
2022-10-11 00:50:15 - train: epoch 0090, iter [02500, 05004], lr: 0.001000, loss: 0.8313
2022-10-11 00:51:05 - train: epoch 0090, iter [02600, 05004], lr: 0.001000, loss: 0.7601
2022-10-11 00:51:53 - train: epoch 0090, iter [02700, 05004], lr: 0.001000, loss: 0.6907
2022-10-11 00:52:32 - train: epoch 0090, iter [02800, 05004], lr: 0.001000, loss: 0.6932
2022-10-11 00:53:26 - train: epoch 0090, iter [02900, 05004], lr: 0.001000, loss: 0.7001
2022-10-11 00:54:09 - train: epoch 0090, iter [03000, 05004], lr: 0.001000, loss: 0.7140
2022-10-11 00:54:59 - train: epoch 0090, iter [03100, 05004], lr: 0.001000, loss: 0.6270
2022-10-11 00:55:48 - train: epoch 0090, iter [03200, 05004], lr: 0.001000, loss: 0.7487
2022-10-11 00:56:32 - train: epoch 0090, iter [03300, 05004], lr: 0.001000, loss: 0.9164
2022-10-11 00:57:06 - train: epoch 0090, iter [03400, 05004], lr: 0.001000, loss: 0.7127
2022-10-11 00:57:50 - train: epoch 0090, iter [03500, 05004], lr: 0.001000, loss: 0.6721
2022-10-11 00:58:39 - train: epoch 0090, iter [03600, 05004], lr: 0.001000, loss: 0.6633
2022-10-11 00:59:23 - train: epoch 0090, iter [03700, 05004], lr: 0.001000, loss: 0.6616
2022-10-11 01:00:19 - train: epoch 0090, iter [03800, 05004], lr: 0.001000, loss: 0.8216
2022-10-11 01:01:11 - train: epoch 0090, iter [03900, 05004], lr: 0.001000, loss: 0.7313
2022-10-11 01:02:26 - train: epoch 0090, iter [04000, 05004], lr: 0.001000, loss: 0.7040
2022-10-11 01:03:26 - train: epoch 0090, iter [04100, 05004], lr: 0.001000, loss: 1.0110
2022-10-11 01:04:42 - train: epoch 0090, iter [04200, 05004], lr: 0.001000, loss: 0.7974
2022-10-11 01:05:51 - train: epoch 0090, iter [04300, 05004], lr: 0.001000, loss: 0.7740
2022-10-11 01:06:58 - train: epoch 0090, iter [04400, 05004], lr: 0.001000, loss: 0.6955
2022-10-11 01:08:00 - train: epoch 0090, iter [04500, 05004], lr: 0.001000, loss: 0.6990
2022-10-11 01:08:51 - train: epoch 0090, iter [04600, 05004], lr: 0.001000, loss: 0.7868
2022-10-11 01:09:45 - train: epoch 0090, iter [04700, 05004], lr: 0.001000, loss: 0.8041
2022-10-11 01:10:26 - train: epoch 0090, iter [04800, 05004], lr: 0.001000, loss: 0.7335
2022-10-11 01:11:28 - train: epoch 0090, iter [04900, 05004], lr: 0.001000, loss: 0.6382
2022-10-11 01:12:12 - train: epoch 0090, iter [05000, 05004], lr: 0.001000, loss: 0.6758
2022-10-11 01:12:14 - train: epoch 090, train_loss: 0.7284
2022-10-11 01:13:32 - eval: epoch: 090, acc1: 76.478%, acc5: 93.344%, test_loss: 0.9391, per_image_load_time: 2.295ms, per_image_inference_time: 0.595ms
2022-10-11 01:13:33 - until epoch: 090, best_acc1: 76.632%
2022-10-11 01:13:33 - epoch 091 lr: 0.000100
2022-10-11 01:14:13 - train: epoch 0091, iter [00100, 05004], lr: 0.000100, loss: 0.6641
2022-10-11 01:14:48 - train: epoch 0091, iter [00200, 05004], lr: 0.000100, loss: 0.7196
2022-10-11 01:15:22 - train: epoch 0091, iter [00300, 05004], lr: 0.000100, loss: 0.7667
2022-10-11 01:15:57 - train: epoch 0091, iter [00400, 05004], lr: 0.000100, loss: 0.6662
2022-10-11 01:16:31 - train: epoch 0091, iter [00500, 05004], lr: 0.000100, loss: 0.6812
2022-10-11 01:17:05 - train: epoch 0091, iter [00600, 05004], lr: 0.000100, loss: 0.8715
2022-10-11 01:17:41 - train: epoch 0091, iter [00700, 05004], lr: 0.000100, loss: 0.7516
2022-10-11 01:18:15 - train: epoch 0091, iter [00800, 05004], lr: 0.000100, loss: 0.7122
2022-10-11 01:18:50 - train: epoch 0091, iter [00900, 05004], lr: 0.000100, loss: 0.7297
2022-10-11 01:19:24 - train: epoch 0091, iter [01000, 05004], lr: 0.000100, loss: 0.8203
2022-10-11 01:20:00 - train: epoch 0091, iter [01100, 05004], lr: 0.000100, loss: 0.6205
2022-10-11 01:20:38 - train: epoch 0091, iter [01200, 05004], lr: 0.000100, loss: 0.8128
2022-10-11 01:21:17 - train: epoch 0091, iter [01300, 05004], lr: 0.000100, loss: 0.5441
2022-10-11 01:21:57 - train: epoch 0091, iter [01400, 05004], lr: 0.000100, loss: 0.7242
2022-10-11 01:22:45 - train: epoch 0091, iter [01500, 05004], lr: 0.000100, loss: 0.7431
2022-10-11 01:23:31 - train: epoch 0091, iter [01600, 05004], lr: 0.000100, loss: 0.6016
2022-10-11 01:24:23 - train: epoch 0091, iter [01700, 05004], lr: 0.000100, loss: 0.6945
2022-10-11 01:25:04 - train: epoch 0091, iter [01800, 05004], lr: 0.000100, loss: 0.6526
2022-10-11 01:25:52 - train: epoch 0091, iter [01900, 05004], lr: 0.000100, loss: 0.7055
2022-10-11 01:26:43 - train: epoch 0091, iter [02000, 05004], lr: 0.000100, loss: 0.6441
2022-10-11 01:27:29 - train: epoch 0091, iter [02100, 05004], lr: 0.000100, loss: 0.6572
2022-10-11 01:28:15 - train: epoch 0091, iter [02200, 05004], lr: 0.000100, loss: 0.7760
2022-10-11 01:28:48 - train: epoch 0091, iter [02300, 05004], lr: 0.000100, loss: 0.7362
2022-10-11 01:29:57 - train: epoch 0091, iter [02400, 05004], lr: 0.000100, loss: 0.6138
2022-10-11 01:30:46 - train: epoch 0091, iter [02500, 05004], lr: 0.000100, loss: 0.7322
2022-10-11 01:31:35 - train: epoch 0091, iter [02600, 05004], lr: 0.000100, loss: 0.5167
2022-10-11 01:32:28 - train: epoch 0091, iter [02700, 05004], lr: 0.000100, loss: 0.6685
2022-10-11 01:33:45 - train: epoch 0091, iter [02800, 05004], lr: 0.000100, loss: 0.7254
2022-10-11 01:35:06 - train: epoch 0091, iter [02900, 05004], lr: 0.000100, loss: 0.7277
2022-10-11 01:36:16 - train: epoch 0091, iter [03000, 05004], lr: 0.000100, loss: 0.8045
2022-10-11 01:37:32 - train: epoch 0091, iter [03100, 05004], lr: 0.000100, loss: 0.6921
2022-10-11 01:38:37 - train: epoch 0091, iter [03200, 05004], lr: 0.000100, loss: 0.7891
2022-10-11 01:39:53 - train: epoch 0091, iter [03300, 05004], lr: 0.000100, loss: 0.6653
2022-10-11 01:41:17 - train: epoch 0091, iter [03400, 05004], lr: 0.000100, loss: 0.6804
2022-10-11 01:42:43 - train: epoch 0091, iter [03500, 05004], lr: 0.000100, loss: 0.7288
2022-10-11 01:43:59 - train: epoch 0091, iter [03600, 05004], lr: 0.000100, loss: 0.7959
2022-10-11 01:45:03 - train: epoch 0091, iter [03700, 05004], lr: 0.000100, loss: 0.6993
