2022-07-13 20:46:57 - train: epoch 0093, iter [02500, 05004], lr: 0.003060, loss: 0.8057
2022-07-13 20:47:49 - train: epoch 0093, iter [02600, 05004], lr: 0.003044, loss: 1.1064
2022-07-13 20:48:40 - train: epoch 0093, iter [02700, 05004], lr: 0.003028, loss: 0.7781
2022-07-13 20:49:33 - train: epoch 0093, iter [02800, 05004], lr: 0.003012, loss: 0.9639
2022-07-13 20:50:25 - train: epoch 0093, iter [02900, 05004], lr: 0.002996, loss: 0.7840
2022-07-13 20:51:17 - train: epoch 0093, iter [03000, 05004], lr: 0.002980, loss: 0.7907
2022-07-13 20:52:09 - train: epoch 0093, iter [03100, 05004], lr: 0.002964, loss: 0.8267
2022-07-13 20:53:02 - train: epoch 0093, iter [03200, 05004], lr: 0.002948, loss: 0.7983
2022-07-13 20:53:54 - train: epoch 0093, iter [03300, 05004], lr: 0.002932, loss: 0.9607
2022-07-13 20:54:47 - train: epoch 0093, iter [03400, 05004], lr: 0.002916, loss: 0.9229
2022-07-13 20:55:39 - train: epoch 0093, iter [03500, 05004], lr: 0.002900, loss: 0.6479
2022-07-13 20:56:32 - train: epoch 0093, iter [03600, 05004], lr: 0.002884, loss: 0.9009
2022-07-13 20:57:24 - train: epoch 0093, iter [03700, 05004], lr: 0.002869, loss: 0.7299
2022-07-13 20:58:16 - train: epoch 0093, iter [03800, 05004], lr: 0.002853, loss: 0.8500
2022-07-13 20:59:08 - train: epoch 0093, iter [03900, 05004], lr: 0.002837, loss: 0.7836
2022-07-13 21:00:03 - train: epoch 0093, iter [04000, 05004], lr: 0.002822, loss: 0.9340
2022-07-13 21:00:58 - train: epoch 0093, iter [04100, 05004], lr: 0.002806, loss: 0.9550
2022-07-13 21:01:50 - train: epoch 0093, iter [04200, 05004], lr: 0.002791, loss: 0.8230
2022-07-13 21:02:42 - train: epoch 0093, iter [04300, 05004], lr: 0.002775, loss: 0.9239
2022-07-13 21:03:34 - train: epoch 0093, iter [04400, 05004], lr: 0.002760, loss: 0.8149
2022-07-13 21:04:25 - train: epoch 0093, iter [04500, 05004], lr: 0.002744, loss: 0.8190
2022-07-13 21:05:18 - train: epoch 0093, iter [04600, 05004], lr: 0.002729, loss: 0.9076
2022-07-13 21:06:09 - train: epoch 0093, iter [04700, 05004], lr: 0.002714, loss: 0.8748
2022-07-13 21:07:00 - train: epoch 0093, iter [04800, 05004], lr: 0.002698, loss: 0.9483
2022-07-13 21:07:51 - train: epoch 0093, iter [04900, 05004], lr: 0.002683, loss: 0.8920
2022-07-13 21:08:42 - train: epoch 0093, iter [05000, 05004], lr: 0.002668, loss: 0.8373
2022-07-13 21:08:44 - train: epoch 093, train_loss: 0.8359
2022-07-13 21:10:51 - eval: epoch: 093, acc1: 76.172%, acc5: 92.968%, test_loss: 0.9764, per_image_load_time: 3.144ms, per_image_inference_time: 0.886ms
2022-07-13 21:10:51 - until epoch: 093, best_acc1: 76.172%
2022-07-13 21:10:51 - epoch 094 lr: 0.002667
2022-07-13 21:11:59 - train: epoch 0094, iter [00100, 05004], lr: 0.002652, loss: 0.7997
2022-07-13 21:12:53 - train: epoch 0094, iter [00200, 05004], lr: 0.002637, loss: 0.7089
2022-07-13 21:13:47 - train: epoch 0094, iter [00300, 05004], lr: 0.002622, loss: 0.9446
2022-07-13 21:14:39 - train: epoch 0094, iter [00400, 05004], lr: 0.002607, loss: 0.9352
2022-07-13 21:15:31 - train: epoch 0094, iter [00500, 05004], lr: 0.002592, loss: 0.7860
2022-07-13 21:16:23 - train: epoch 0094, iter [00600, 05004], lr: 0.002577, loss: 0.7064
2022-07-13 21:17:14 - train: epoch 0094, iter [00700, 05004], lr: 0.002562, loss: 1.0030
2022-07-13 21:18:06 - train: epoch 0094, iter [00800, 05004], lr: 0.002547, loss: 0.8202
2022-07-13 21:18:59 - train: epoch 0094, iter [00900, 05004], lr: 0.002533, loss: 0.7970
2022-07-13 21:19:52 - train: epoch 0094, iter [01000, 05004], lr: 0.002518, loss: 0.8706
2022-07-13 21:20:46 - train: epoch 0094, iter [01100, 05004], lr: 0.002503, loss: 1.0027
2022-07-13 21:21:40 - train: epoch 0094, iter [01200, 05004], lr: 0.002488, loss: 0.7919
2022-07-13 21:22:34 - train: epoch 0094, iter [01300, 05004], lr: 0.002474, loss: 0.8007
2022-07-13 21:23:26 - train: epoch 0094, iter [01400, 05004], lr: 0.002459, loss: 0.7841
2022-07-13 21:24:18 - train: epoch 0094, iter [01500, 05004], lr: 0.002445, loss: 0.8212
2022-07-13 21:25:11 - train: epoch 0094, iter [01600, 05004], lr: 0.002430, loss: 0.9868
2022-07-13 21:26:04 - train: epoch 0094, iter [01700, 05004], lr: 0.002416, loss: 0.8071
2022-07-13 21:26:57 - train: epoch 0094, iter [01800, 05004], lr: 0.002401, loss: 0.9282
2022-07-13 21:27:50 - train: epoch 0094, iter [01900, 05004], lr: 0.002387, loss: 0.7746
2022-07-13 21:28:42 - train: epoch 0094, iter [02000, 05004], lr: 0.002373, loss: 0.6936
2022-07-13 21:29:35 - train: epoch 0094, iter [02100, 05004], lr: 0.002358, loss: 0.7998
2022-07-13 21:30:29 - train: epoch 0094, iter [02200, 05004], lr: 0.002344, loss: 0.7813
2022-07-13 21:31:22 - train: epoch 0094, iter [02300, 05004], lr: 0.002330, loss: 0.7529
2022-07-13 21:32:15 - train: epoch 0094, iter [02400, 05004], lr: 0.002316, loss: 0.8111
2022-07-13 21:33:08 - train: epoch 0094, iter [02500, 05004], lr: 0.002302, loss: 0.6920
2022-07-13 21:34:01 - train: epoch 0094, iter [02600, 05004], lr: 0.002288, loss: 0.7350
2022-07-13 21:34:54 - train: epoch 0094, iter [02700, 05004], lr: 0.002273, loss: 0.7126
2022-07-13 21:35:48 - train: epoch 0094, iter [02800, 05004], lr: 0.002260, loss: 0.9662
2022-07-13 21:36:40 - train: epoch 0094, iter [02900, 05004], lr: 0.002246, loss: 0.7850
2022-07-13 21:37:33 - train: epoch 0094, iter [03000, 05004], lr: 0.002232, loss: 0.8798
2022-07-13 21:38:26 - train: epoch 0094, iter [03100, 05004], lr: 0.002218, loss: 0.9779
2022-07-13 21:39:19 - train: epoch 0094, iter [03200, 05004], lr: 0.002204, loss: 0.8154
2022-07-13 21:40:12 - train: epoch 0094, iter [03300, 05004], lr: 0.002190, loss: 0.6945
2022-07-13 21:41:06 - train: epoch 0094, iter [03400, 05004], lr: 0.002176, loss: 0.7124
2022-07-13 21:41:59 - train: epoch 0094, iter [03500, 05004], lr: 0.002163, loss: 0.9700
2022-07-13 21:42:52 - train: epoch 0094, iter [03600, 05004], lr: 0.002149, loss: 0.6592
2022-07-13 21:43:45 - train: epoch 0094, iter [03700, 05004], lr: 0.002136, loss: 0.8445
2022-07-13 21:44:38 - train: epoch 0094, iter [03800, 05004], lr: 0.002122, loss: 0.7764
2022-07-13 21:45:32 - train: epoch 0094, iter [03900, 05004], lr: 0.002108, loss: 0.6189
2022-07-13 21:46:26 - train: epoch 0094, iter [04000, 05004], lr: 0.002095, loss: 0.8486
2022-07-13 21:47:19 - train: epoch 0094, iter [04100, 05004], lr: 0.002082, loss: 0.8144
2022-07-13 21:48:11 - train: epoch 0094, iter [04200, 05004], lr: 0.002068, loss: 0.8234
2022-07-13 21:49:04 - train: epoch 0094, iter [04300, 05004], lr: 0.002055, loss: 0.8966
2022-07-13 21:49:56 - train: epoch 0094, iter [04400, 05004], lr: 0.002041, loss: 0.7173
2022-07-13 21:50:49 - train: epoch 0094, iter [04500, 05004], lr: 0.002028, loss: 0.9449
2022-07-13 21:51:42 - train: epoch 0094, iter [04600, 05004], lr: 0.002015, loss: 0.9539
2022-07-13 21:52:34 - train: epoch 0094, iter [04700, 05004], lr: 0.002002, loss: 0.9554
2022-07-13 21:53:26 - train: epoch 0094, iter [04800, 05004], lr: 0.001989, loss: 0.6561
2022-07-13 21:54:19 - train: epoch 0094, iter [04900, 05004], lr: 0.001976, loss: 0.9315
2022-07-13 21:55:10 - train: epoch 0094, iter [05000, 05004], lr: 0.001963, loss: 0.6856
2022-07-13 21:55:12 - train: epoch 094, train_loss: 0.8188
2022-07-13 21:57:25 - eval: epoch: 094, acc1: 76.270%, acc5: 93.042%, test_loss: 0.9705, per_image_load_time: 3.483ms, per_image_inference_time: 0.870ms
2022-07-13 21:57:26 - until epoch: 094, best_acc1: 76.270%
2022-07-13 21:57:26 - epoch 095 lr: 0.001962
