2022-07-30 07:16:52 - train: epoch 0088, iter [00100, 05004], lr: 0.009072, loss: 1.0967
2022-07-30 07:18:55 - train: epoch 0088, iter [00200, 05004], lr: 0.009044, loss: 1.0465
2022-07-30 07:20:59 - train: epoch 0088, iter [00300, 05004], lr: 0.009017, loss: 1.0998
2022-07-30 07:23:04 - train: epoch 0088, iter [00400, 05004], lr: 0.008989, loss: 1.2644
2022-07-30 07:25:06 - train: epoch 0088, iter [00500, 05004], lr: 0.008962, loss: 1.1276
2022-07-30 07:27:07 - train: epoch 0088, iter [00600, 05004], lr: 0.008935, loss: 1.0745
2022-07-30 07:29:13 - train: epoch 0088, iter [00700, 05004], lr: 0.008908, loss: 0.9640
2022-07-30 07:31:13 - train: epoch 0088, iter [00800, 05004], lr: 0.008880, loss: 1.1859
2022-07-30 07:33:17 - train: epoch 0088, iter [00900, 05004], lr: 0.008853, loss: 1.0817
2022-07-30 07:35:21 - train: epoch 0088, iter [01000, 05004], lr: 0.008826, loss: 1.1004
2022-07-30 07:37:24 - train: epoch 0088, iter [01100, 05004], lr: 0.008799, loss: 1.0045
2022-07-30 07:39:28 - train: epoch 0088, iter [01200, 05004], lr: 0.008772, loss: 1.1739
2022-07-30 07:41:27 - train: epoch 0088, iter [01300, 05004], lr: 0.008745, loss: 1.1444
2022-07-30 07:43:28 - train: epoch 0088, iter [01400, 05004], lr: 0.008718, loss: 1.0964
2022-07-30 07:45:28 - train: epoch 0088, iter [01500, 05004], lr: 0.008691, loss: 1.0745
2022-07-30 07:47:31 - train: epoch 0088, iter [01600, 05004], lr: 0.008664, loss: 0.8029
2022-07-30 07:49:30 - train: epoch 0088, iter [01700, 05004], lr: 0.008637, loss: 1.0473
2022-07-30 07:51:31 - train: epoch 0088, iter [01800, 05004], lr: 0.008610, loss: 0.9037
2022-07-30 07:53:33 - train: epoch 0088, iter [01900, 05004], lr: 0.008583, loss: 0.9926
2022-07-30 07:55:32 - train: epoch 0088, iter [02000, 05004], lr: 0.008556, loss: 1.0688
2022-07-30 07:57:37 - train: epoch 0088, iter [02100, 05004], lr: 0.008530, loss: 0.9286
2022-07-30 07:59:41 - train: epoch 0088, iter [02200, 05004], lr: 0.008503, loss: 1.1350
2022-07-30 08:01:42 - train: epoch 0088, iter [02300, 05004], lr: 0.008476, loss: 1.1592
2022-07-30 08:03:46 - train: epoch 0088, iter [02400, 05004], lr: 0.008450, loss: 1.1417
2022-07-30 08:05:51 - train: epoch 0088, iter [02500, 05004], lr: 0.008423, loss: 1.2460
2022-07-30 08:07:54 - train: epoch 0088, iter [02600, 05004], lr: 0.008397, loss: 1.0181
2022-07-30 08:09:53 - train: epoch 0088, iter [02700, 05004], lr: 0.008370, loss: 1.1683
2022-07-30 08:11:51 - train: epoch 0088, iter [02800, 05004], lr: 0.008344, loss: 0.9652
2022-07-30 08:13:58 - train: epoch 0088, iter [02900, 05004], lr: 0.008317, loss: 0.9346
2022-07-30 08:16:00 - train: epoch 0088, iter [03000, 05004], lr: 0.008291, loss: 1.2142
2022-07-30 08:18:01 - train: epoch 0088, iter [03100, 05004], lr: 0.008265, loss: 1.0175
2022-07-30 08:20:05 - train: epoch 0088, iter [03200, 05004], lr: 0.008238, loss: 1.0640
2022-07-30 08:22:07 - train: epoch 0088, iter [03300, 05004], lr: 0.008212, loss: 0.9126
2022-07-30 08:24:17 - train: epoch 0088, iter [03400, 05004], lr: 0.008186, loss: 0.9543
2022-07-30 08:26:16 - train: epoch 0088, iter [03500, 05004], lr: 0.008160, loss: 1.0218
2022-07-30 08:28:24 - train: epoch 0088, iter [03600, 05004], lr: 0.008134, loss: 1.0555
