2022-03-11 22:58:15 - train: epoch 0064, iter [03800, 05004], lr: 0.065971, loss: 2.1381
2022-03-11 22:58:57 - train: epoch 0064, iter [03900, 05004], lr: 0.065971, loss: 1.8937
2022-03-11 22:59:41 - train: epoch 0064, iter [04000, 05004], lr: 0.065971, loss: 1.9451
2022-03-11 23:00:24 - train: epoch 0064, iter [04100, 05004], lr: 0.065971, loss: 1.8627
2022-03-11 23:01:09 - train: epoch 0064, iter [04200, 05004], lr: 0.065971, loss: 1.8464
2022-03-11 23:01:53 - train: epoch 0064, iter [04300, 05004], lr: 0.065971, loss: 2.0881
2022-03-11 23:02:37 - train: epoch 0064, iter [04400, 05004], lr: 0.065971, loss: 1.7752
2022-03-11 23:03:20 - train: epoch 0064, iter [04500, 05004], lr: 0.065971, loss: 1.9102
2022-03-11 23:04:03 - train: epoch 0064, iter [04600, 05004], lr: 0.065971, loss: 2.0842
2022-03-11 23:04:46 - train: epoch 0064, iter [04700, 05004], lr: 0.065971, loss: 2.2450
2022-03-11 23:05:29 - train: epoch 0064, iter [04800, 05004], lr: 0.065971, loss: 2.1252
2022-03-11 23:06:12 - train: epoch 0064, iter [04900, 05004], lr: 0.065971, loss: 2.0233
2022-03-11 23:06:53 - train: epoch 0064, iter [05000, 05004], lr: 0.065971, loss: 1.7239
2022-03-11 23:06:55 - train: epoch 064, train_loss: 1.9862
2022-03-11 23:08:24 - eval: epoch: 064, acc1: 58.786%, acc5: 82.356%, test_loss: 1.7236, per_image_load_time: 3.163ms, per_image_inference_time: 0.269ms
2022-03-11 23:08:24 - until epoch: 064, best_acc1: 58.786%
2022-03-11 23:08:24 - epoch 065 lr: 0.06288027510817791
2022-03-11 23:09:11 - train: epoch 0065, iter [00100, 05004], lr: 0.062880, loss: 1.8671
2022-03-11 23:09:54 - train: epoch 0065, iter [00200, 05004], lr: 0.062880, loss: 1.9789
2022-03-11 23:10:37 - train: epoch 0065, iter [00300, 05004], lr: 0.062880, loss: 1.9985
2022-03-11 23:11:21 - train: epoch 0065, iter [00400, 05004], lr: 0.062880, loss: 1.9332
2022-03-11 23:12:03 - train: epoch 0065, iter [00500, 05004], lr: 0.062880, loss: 1.9582
