2022-06-28 20:53:52 - train: epoch 0097, iter [02700, 05004], lr: 0.009138, loss: 1.0299
2022-06-28 20:54:28 - train: epoch 0097, iter [02800, 05004], lr: 0.009123, loss: 1.1183
2022-06-28 20:55:02 - train: epoch 0097, iter [02900, 05004], lr: 0.009108, loss: 1.3905
2022-06-28 20:55:37 - train: epoch 0097, iter [03000, 05004], lr: 0.009093, loss: 1.2304
2022-06-28 20:56:11 - train: epoch 0097, iter [03100, 05004], lr: 0.009078, loss: 1.1732
2022-06-28 20:56:46 - train: epoch 0097, iter [03200, 05004], lr: 0.009063, loss: 1.3798
2022-06-28 20:57:20 - train: epoch 0097, iter [03300, 05004], lr: 0.009048, loss: 1.2909
2022-06-28 20:57:56 - train: epoch 0097, iter [03400, 05004], lr: 0.009033, loss: 1.4172
2022-06-28 20:58:30 - train: epoch 0097, iter [03500, 05004], lr: 0.009018, loss: 1.3020
2022-06-28 20:59:05 - train: epoch 0097, iter [03600, 05004], lr: 0.009003, loss: 1.1527
2022-06-28 20:59:39 - train: epoch 0097, iter [03700, 05004], lr: 0.008988, loss: 1.0226
2022-06-28 21:00:14 - train: epoch 0097, iter [03800, 05004], lr: 0.008973, loss: 1.0107
2022-06-28 21:00:48 - train: epoch 0097, iter [03900, 05004], lr: 0.008958, loss: 1.2332
2022-06-28 21:01:22 - train: epoch 0097, iter [04000, 05004], lr: 0.008943, loss: 1.2940
2022-06-28 21:01:57 - train: epoch 0097, iter [04100, 05004], lr: 0.008928, loss: 1.1868
2022-06-28 21:02:31 - train: epoch 0097, iter [04200, 05004], lr: 0.008913, loss: 1.1857
2022-06-28 21:03:06 - train: epoch 0097, iter [04300, 05004], lr: 0.008898, loss: 1.0714
2022-06-28 21:03:41 - train: epoch 0097, iter [04400, 05004], lr: 0.008883, loss: 1.1702
2022-06-28 21:04:16 - train: epoch 0097, iter [04500, 05004], lr: 0.008869, loss: 1.1479
2022-06-28 21:04:50 - train: epoch 0097, iter [04600, 05004], lr: 0.008854, loss: 1.4124
2022-06-28 21:05:25 - train: epoch 0097, iter [04700, 05004], lr: 0.008839, loss: 1.1815
2022-06-28 21:06:01 - train: epoch 0097, iter [04800, 05004], lr: 0.008824, loss: 1.2682
2022-06-28 21:06:35 - train: epoch 0097, iter [04900, 05004], lr: 0.008809, loss: 1.3885
2022-06-28 21:07:08 - train: epoch 0097, iter [05000, 05004], lr: 0.008794, loss: 1.2547
2022-06-28 21:07:09 - train: epoch 097, train_loss: 1.1998
2022-06-28 21:08:26 - eval: epoch: 097, acc1: 72.316%, acc5: 91.006%, test_loss: 1.1032, per_image_load_time: 1.704ms, per_image_inference_time: 0.431ms
2022-06-28 21:08:26 - until epoch: 097, best_acc1: 72.316%
2022-06-28 21:08:26 - epoch 098 lr: 0.008794
2022-06-28 21:09:06 - train: epoch 0098, iter [00100, 05004], lr: 0.008779, loss: 1.3511
2022-06-28 21:09:41 - train: epoch 0098, iter [00200, 05004], lr: 0.008764, loss: 1.3007
2022-06-28 21:10:16 - train: epoch 0098, iter [00300, 05004], lr: 0.008749, loss: 1.4167
2022-06-28 21:10:50 - train: epoch 0098, iter [00400, 05004], lr: 0.008735, loss: 0.9862
2022-06-28 21:11:24 - train: epoch 0098, iter [00500, 05004], lr: 0.008720, loss: 1.1760
2022-06-28 21:11:59 - train: epoch 0098, iter [00600, 05004], lr: 0.008705, loss: 1.2776
2022-06-28 21:12:34 - train: epoch 0098, iter [00700, 05004], lr: 0.008690, loss: 1.1186
2022-06-28 21:13:09 - train: epoch 0098, iter [00800, 05004], lr: 0.008676, loss: 1.2195
2022-06-28 21:13:43 - train: epoch 0098, iter [00900, 05004], lr: 0.008661, loss: 1.2023
2022-06-28 21:14:18 - train: epoch 0098, iter [01000, 05004], lr: 0.008646, loss: 1.0309
2022-06-28 21:14:53 - train: epoch 0098, iter [01100, 05004], lr: 0.008631, loss: 0.9416
2022-06-28 21:15:28 - train: epoch 0098, iter [01200, 05004], lr: 0.008617, loss: 1.0543
2022-06-28 21:16:03 - train: epoch 0098, iter [01300, 05004], lr: 0.008602, loss: 1.2522
2022-06-28 21:16:37 - train: epoch 0098, iter [01400, 05004], lr: 0.008587, loss: 1.1642
2022-06-28 21:17:11 - train: epoch 0098, iter [01500, 05004], lr: 0.008573, loss: 1.1380
2022-06-28 21:17:47 - train: epoch 0098, iter [01600, 05004], lr: 0.008558, loss: 1.1350
2022-06-28 21:18:21 - train: epoch 0098, iter [01700, 05004], lr: 0.008543, loss: 1.2122
