2022-07-11 20:48:16 - eval: epoch: 107, acc1: 73.296%, acc5: 91.376%, test_loss: 1.0657, per_image_load_time: 1.456ms, per_image_inference_time: 0.383ms
2022-07-11 20:48:17 - until epoch: 107, best_acc1: 73.296%
2022-07-11 20:48:17 - epoch 108 lr: 0.002868
2022-07-11 20:48:56 - train: epoch 0108, iter [00100, 05004], lr: 0.002859, loss: 1.0861
2022-07-11 20:49:31 - train: epoch 0108, iter [00200, 05004], lr: 0.002850, loss: 1.1241
2022-07-11 20:50:05 - train: epoch 0108, iter [00300, 05004], lr: 0.002842, loss: 1.1020
2022-07-11 20:50:39 - train: epoch 0108, iter [00400, 05004], lr: 0.002833, loss: 1.3722
2022-07-11 20:51:13 - train: epoch 0108, iter [00500, 05004], lr: 0.002824, loss: 1.0957
2022-07-11 20:51:47 - train: epoch 0108, iter [00600, 05004], lr: 0.002816, loss: 1.1326
2022-07-11 20:52:21 - train: epoch 0108, iter [00700, 05004], lr: 0.002807, loss: 0.9926
2022-07-11 20:52:54 - train: epoch 0108, iter [00800, 05004], lr: 0.002798, loss: 1.0429
2022-07-11 20:53:30 - train: epoch 0108, iter [00900, 05004], lr: 0.002790, loss: 1.0497
2022-07-11 20:54:03 - train: epoch 0108, iter [01000, 05004], lr: 0.002781, loss: 1.0894
2022-07-11 20:54:38 - train: epoch 0108, iter [01100, 05004], lr: 0.002773, loss: 0.9901
2022-07-11 20:55:11 - train: epoch 0108, iter [01200, 05004], lr: 0.002764, loss: 1.0729
2022-07-11 20:55:45 - train: epoch 0108, iter [01300, 05004], lr: 0.002755, loss: 0.9726
2022-07-11 20:56:19 - train: epoch 0108, iter [01400, 05004], lr: 0.002747, loss: 0.9334
2022-07-11 20:56:53 - train: epoch 0108, iter [01500, 05004], lr: 0.002738, loss: 1.1404
2022-07-11 20:57:27 - train: epoch 0108, iter [01600, 05004], lr: 0.002730, loss: 1.2024
2022-07-11 20:58:02 - train: epoch 0108, iter [01700, 05004], lr: 0.002721, loss: 1.0891
2022-07-11 20:58:36 - train: epoch 0108, iter [01800, 05004], lr: 0.002713, loss: 1.1626
2022-07-11 20:59:11 - train: epoch 0108, iter [01900, 05004], lr: 0.002704, loss: 1.0336
2022-07-11 20:59:45 - train: epoch 0108, iter [02000, 05004], lr: 0.002696, loss: 1.0913
2022-07-11 21:00:19 - train: epoch 0108, iter [02100, 05004], lr: 0.002687, loss: 1.0411
2022-07-11 21:00:53 - train: epoch 0108, iter [02200, 05004], lr: 0.002679, loss: 0.9755
2022-07-11 21:01:28 - train: epoch 0108, iter [02300, 05004], lr: 0.002671, loss: 1.0800
2022-07-11 21:02:03 - train: epoch 0108, iter [02400, 05004], lr: 0.002662, loss: 1.1580
2022-07-11 21:02:37 - train: epoch 0108, iter [02500, 05004], lr: 0.002654, loss: 1.1469
2022-07-11 21:03:10 - train: epoch 0108, iter [02600, 05004], lr: 0.002645, loss: 1.2369
2022-07-11 21:03:45 - train: epoch 0108, iter [02700, 05004], lr: 0.002637, loss: 1.2514
2022-07-11 21:04:19 - train: epoch 0108, iter [02800, 05004], lr: 0.002628, loss: 1.1737
2022-07-11 21:04:52 - train: epoch 0108, iter [02900, 05004], lr: 0.002620, loss: 1.1146
2022-07-11 21:05:27 - train: epoch 0108, iter [03000, 05004], lr: 0.002612, loss: 1.2228
2022-07-11 21:06:01 - train: epoch 0108, iter [03100, 05004], lr: 0.002603, loss: 1.0689
2022-07-11 21:06:35 - train: epoch 0108, iter [03200, 05004], lr: 0.002595, loss: 1.0383
2022-07-11 21:07:08 - train: epoch 0108, iter [03300, 05004], lr: 0.002587, loss: 1.1866
2022-07-11 21:07:43 - train: epoch 0108, iter [03400, 05004], lr: 0.002579, loss: 1.1996
2022-07-11 21:08:18 - train: epoch 0108, iter [03500, 05004], lr: 0.002570, loss: 1.1914
2022-07-11 21:08:52 - train: epoch 0108, iter [03600, 05004], lr: 0.002562, loss: 0.9886
2022-07-11 21:09:26 - train: epoch 0108, iter [03700, 05004], lr: 0.002554, loss: 1.0296
2022-07-11 21:10:00 - train: epoch 0108, iter [03800, 05004], lr: 0.002545, loss: 1.2613
2022-07-11 21:10:34 - train: epoch 0108, iter [03900, 05004], lr: 0.002537, loss: 1.1169
2022-07-11 21:11:09 - train: epoch 0108, iter [04000, 05004], lr: 0.002529, loss: 1.1923
2022-07-11 21:11:43 - train: epoch 0108, iter [04100, 05004], lr: 0.002521, loss: 1.1229
2022-07-11 21:12:16 - train: epoch 0108, iter [04200, 05004], lr: 0.002513, loss: 0.9967
2022-07-11 21:12:51 - train: epoch 0108, iter [04300, 05004], lr: 0.002504, loss: 1.0718
2022-07-11 21:13:25 - train: epoch 0108, iter [04400, 05004], lr: 0.002496, loss: 1.0566
2022-07-11 21:13:59 - train: epoch 0108, iter [04500, 05004], lr: 0.002488, loss: 1.1542
2022-07-11 21:14:33 - train: epoch 0108, iter [04600, 05004], lr: 0.002480, loss: 1.1310
2022-07-11 21:15:08 - train: epoch 0108, iter [04700, 05004], lr: 0.002472, loss: 1.1760
2022-07-11 21:15:42 - train: epoch 0108, iter [04800, 05004], lr: 0.002464, loss: 1.1835
2022-07-11 21:16:17 - train: epoch 0108, iter [04900, 05004], lr: 0.002456, loss: 1.1785
2022-07-11 21:16:50 - train: epoch 0108, iter [05000, 05004], lr: 0.002447, loss: 0.9348
2022-07-11 21:16:51 - train: epoch 108, train_loss: 1.1200
2022-07-11 21:18:07 - eval: epoch: 108, acc1: 73.668%, acc5: 91.588%, test_loss: 1.0540, per_image_load_time: 2.497ms, per_image_inference_time: 0.383ms
2022-07-11 21:18:07 - until epoch: 108, best_acc1: 73.668%
2022-07-11 21:18:07 - epoch 109 lr: 0.002447
2022-07-11 21:18:48 - train: epoch 0109, iter [00100, 05004], lr: 0.002439, loss: 1.2021
2022-07-11 21:19:22 - train: epoch 0109, iter [00200, 05004], lr: 0.002431, loss: 1.3226
2022-07-11 21:19:56 - train: epoch 0109, iter [00300, 05004], lr: 0.002423, loss: 1.1658
2022-07-11 21:20:30 - train: epoch 0109, iter [00400, 05004], lr: 0.002415, loss: 0.9937
2022-07-11 21:21:04 - train: epoch 0109, iter [00500, 05004], lr: 0.002407, loss: 1.2263
2022-07-11 21:21:39 - train: epoch 0109, iter [00600, 05004], lr: 0.002399, loss: 0.8937
