2022-07-08 07:54:12 - train: epoch 0074, iter [03200, 05004], lr: 0.032523, loss: 1.3000
2022-07-08 07:54:57 - train: epoch 0074, iter [03300, 05004], lr: 0.032498, loss: 1.4022
2022-07-08 07:55:42 - train: epoch 0074, iter [03400, 05004], lr: 0.032474, loss: 1.4602
2022-07-08 07:56:27 - train: epoch 0074, iter [03500, 05004], lr: 0.032449, loss: 1.2207
2022-07-08 07:57:13 - train: epoch 0074, iter [03600, 05004], lr: 0.032425, loss: 1.4107
2022-07-08 07:57:58 - train: epoch 0074, iter [03700, 05004], lr: 0.032400, loss: 1.4488
2022-07-08 07:58:43 - train: epoch 0074, iter [03800, 05004], lr: 0.032376, loss: 1.3224
2022-07-08 07:59:28 - train: epoch 0074, iter [03900, 05004], lr: 0.032352, loss: 1.1399
2022-07-08 08:00:14 - train: epoch 0074, iter [04000, 05004], lr: 0.032327, loss: 1.4338
2022-07-08 08:00:59 - train: epoch 0074, iter [04100, 05004], lr: 0.032303, loss: 1.4880
2022-07-08 08:01:44 - train: epoch 0074, iter [04200, 05004], lr: 0.032278, loss: 1.4058
2022-07-08 08:02:30 - train: epoch 0074, iter [04300, 05004], lr: 0.032254, loss: 1.3662
2022-07-08 08:03:15 - train: epoch 0074, iter [04400, 05004], lr: 0.032229, loss: 1.1946
2022-07-08 08:04:00 - train: epoch 0074, iter [04500, 05004], lr: 0.032205, loss: 1.2083
2022-07-08 08:04:45 - train: epoch 0074, iter [04600, 05004], lr: 0.032180, loss: 1.4234
2022-07-08 08:05:31 - train: epoch 0074, iter [04700, 05004], lr: 0.032156, loss: 1.3872
2022-07-08 08:06:16 - train: epoch 0074, iter [04800, 05004], lr: 0.032131, loss: 1.3283
2022-07-08 08:07:01 - train: epoch 0074, iter [04900, 05004], lr: 0.032107, loss: 1.6632
2022-07-08 08:07:46 - train: epoch 0074, iter [05000, 05004], lr: 0.032083, loss: 1.3636
2022-07-08 08:07:49 - train: epoch 074, train_loss: 1.3423
2022-07-08 08:09:06 - eval: epoch: 074, acc1: 70.078%, acc5: 89.928%, test_loss: 1.2151, per_image_load_time: 1.714ms, per_image_inference_time: 0.839ms
2022-07-08 08:09:07 - until epoch: 074, best_acc1: 70.366%
2022-07-08 08:09:07 - epoch 075 lr: 0.032081
2022-07-08 08:09:58 - train: epoch 0075, iter [00100, 05004], lr: 0.032057, loss: 1.4153
2022-07-08 08:10:43 - train: epoch 0075, iter [00200, 05004], lr: 0.032033, loss: 1.3321
2022-07-08 08:11:28 - train: epoch 0075, iter [00300, 05004], lr: 0.032008, loss: 1.2305
2022-07-08 08:12:13 - train: epoch 0075, iter [00400, 05004], lr: 0.031984, loss: 1.4288
2022-07-08 08:12:58 - train: epoch 0075, iter [00500, 05004], lr: 0.031960, loss: 1.2261
2022-07-08 08:13:43 - train: epoch 0075, iter [00600, 05004], lr: 0.031935, loss: 1.1422
2022-07-08 08:14:27 - train: epoch 0075, iter [00700, 05004], lr: 0.031911, loss: 1.5204
2022-07-08 08:15:13 - train: epoch 0075, iter [00800, 05004], lr: 0.031886, loss: 1.4491
2022-07-08 08:15:58 - train: epoch 0075, iter [00900, 05004], lr: 0.031862, loss: 1.4172
2022-07-08 08:16:43 - train: epoch 0075, iter [01000, 05004], lr: 0.031838, loss: 1.1513
2022-07-08 08:17:28 - train: epoch 0075, iter [01100, 05004], lr: 0.031813, loss: 1.3883
2022-07-08 08:18:13 - train: epoch 0075, iter [01200, 05004], lr: 0.031789, loss: 1.1842
2022-07-08 08:18:58 - train: epoch 0075, iter [01300, 05004], lr: 0.031765, loss: 1.1951
2022-07-08 08:19:43 - train: epoch 0075, iter [01400, 05004], lr: 0.031740, loss: 1.3773
2022-07-08 08:20:28 - train: epoch 0075, iter [01500, 05004], lr: 0.031716, loss: 1.3641
2022-07-08 08:21:13 - train: epoch 0075, iter [01600, 05004], lr: 0.031691, loss: 0.9523
2022-07-08 08:21:58 - train: epoch 0075, iter [01700, 05004], lr: 0.031667, loss: 1.2495
2022-07-08 08:22:43 - train: epoch 0075, iter [01800, 05004], lr: 0.031643, loss: 1.2693
2022-07-08 08:23:28 - train: epoch 0075, iter [01900, 05004], lr: 0.031618, loss: 1.1720
2022-07-08 08:24:13 - train: epoch 0075, iter [02000, 05004], lr: 0.031594, loss: 1.3133
2022-07-08 08:24:58 - train: epoch 0075, iter [02100, 05004], lr: 0.031570, loss: 1.2911
2022-07-08 08:25:43 - train: epoch 0075, iter [02200, 05004], lr: 0.031546, loss: 1.3710
2022-07-08 08:26:28 - train: epoch 0075, iter [02300, 05004], lr: 0.031521, loss: 1.3200
2022-07-08 08:27:13 - train: epoch 0075, iter [02400, 05004], lr: 0.031497, loss: 1.3425
2022-07-08 08:27:58 - train: epoch 0075, iter [02500, 05004], lr: 0.031473, loss: 1.4694
2022-07-08 08:28:43 - train: epoch 0075, iter [02600, 05004], lr: 0.031448, loss: 1.3883
2022-07-08 08:29:28 - train: epoch 0075, iter [02700, 05004], lr: 0.031424, loss: 1.1378
2022-07-08 08:30:13 - train: epoch 0075, iter [02800, 05004], lr: 0.031400, loss: 1.2670
2022-07-08 08:30:58 - train: epoch 0075, iter [02900, 05004], lr: 0.031375, loss: 1.4849
2022-07-08 08:31:43 - train: epoch 0075, iter [03000, 05004], lr: 0.031351, loss: 1.5276
2022-07-08 08:32:28 - train: epoch 0075, iter [03100, 05004], lr: 0.031327, loss: 1.3584
2022-07-08 08:33:13 - train: epoch 0075, iter [03200, 05004], lr: 0.031303, loss: 1.3802
2022-07-08 08:33:58 - train: epoch 0075, iter [03300, 05004], lr: 0.031278, loss: 1.2779
2022-07-08 08:34:43 - train: epoch 0075, iter [03400, 05004], lr: 0.031254, loss: 1.1850
2022-07-08 08:35:28 - train: epoch 0075, iter [03500, 05004], lr: 0.031230, loss: 1.2829
2022-07-08 08:36:13 - train: epoch 0075, iter [03600, 05004], lr: 0.031206, loss: 1.3138
2022-07-08 08:36:58 - train: epoch 0075, iter [03700, 05004], lr: 0.031181, loss: 1.3417
2022-07-08 08:37:44 - train: epoch 0075, iter [03800, 05004], lr: 0.031157, loss: 1.3050
2022-07-08 08:38:29 - train: epoch 0075, iter [03900, 05004], lr: 0.031133, loss: 1.5874
2022-07-08 08:39:14 - train: epoch 0075, iter [04000, 05004], lr: 0.031109, loss: 1.2167
2022-07-08 08:39:59 - train: epoch 0075, iter [04100, 05004], lr: 0.031085, loss: 1.0707
2022-07-08 08:40:44 - train: epoch 0075, iter [04200, 05004], lr: 0.031060, loss: 1.4778
2022-07-08 08:41:29 - train: epoch 0075, iter [04300, 05004], lr: 0.031036, loss: 1.6267
2022-07-08 08:42:14 - train: epoch 0075, iter [04400, 05004], lr: 0.031012, loss: 1.1856
2022-07-08 08:42:59 - train: epoch 0075, iter [04500, 05004], lr: 0.030988, loss: 1.3713
2022-07-08 08:43:45 - train: epoch 0075, iter [04600, 05004], lr: 0.030964, loss: 1.0928
2022-07-08 08:44:30 - train: epoch 0075, iter [04700, 05004], lr: 0.030939, loss: 1.4309
2022-07-08 08:45:15 - train: epoch 0075, iter [04800, 05004], lr: 0.030915, loss: 1.3453
2022-07-08 08:46:00 - train: epoch 0075, iter [04900, 05004], lr: 0.030891, loss: 1.1731
2022-07-08 08:46:45 - train: epoch 0075, iter [05000, 05004], lr: 0.030867, loss: 1.3587
2022-07-08 08:46:47 - train: epoch 075, train_loss: 1.3309
2022-07-08 08:48:03 - eval: epoch: 075, acc1: 70.522%, acc5: 90.030%, test_loss: 1.1988, per_image_load_time: 1.543ms, per_image_inference_time: 0.829ms
2022-07-08 08:48:04 - until epoch: 075, best_acc1: 70.522%
2022-07-08 08:48:04 - epoch 076 lr: 0.030866
2022-07-08 08:48:55 - train: epoch 0076, iter [00100, 05004], lr: 0.030842, loss: 1.0773
2022-07-08 08:49:40 - train: epoch 0076, iter [00200, 05004], lr: 0.030818, loss: 1.2345
2022-07-08 08:50:25 - train: epoch 0076, iter [00300, 05004], lr: 0.030793, loss: 1.4088
2022-07-08 08:51:10 - train: epoch 0076, iter [00400, 05004], lr: 0.030769, loss: 1.2981
2022-07-08 08:51:55 - train: epoch 0076, iter [00500, 05004], lr: 0.030745, loss: 1.2678
2022-07-08 08:52:40 - train: epoch 0076, iter [00600, 05004], lr: 0.030721, loss: 1.2770
2022-07-08 08:53:25 - train: epoch 0076, iter [00700, 05004], lr: 0.030697, loss: 1.3944
2022-07-08 08:54:10 - train: epoch 0076, iter [00800, 05004], lr: 0.030673, loss: 1.2269
2022-07-08 08:54:54 - train: epoch 0076, iter [00900, 05004], lr: 0.030649, loss: 1.2510
2022-07-08 08:55:40 - train: epoch 0076, iter [01000, 05004], lr: 0.030624, loss: 1.2033
2022-07-08 08:56:24 - train: epoch 0076, iter [01100, 05004], lr: 0.030600, loss: 1.1817
2022-07-08 08:57:09 - train: epoch 0076, iter [01200, 05004], lr: 0.030576, loss: 1.2706
2022-07-08 08:57:54 - train: epoch 0076, iter [01300, 05004], lr: 0.030552, loss: 1.2840
2022-07-08 08:58:39 - train: epoch 0076, iter [01400, 05004], lr: 0.030528, loss: 1.1877
2022-07-08 08:59:24 - train: epoch 0076, iter [01500, 05004], lr: 0.030504, loss: 1.1508
2022-07-08 09:00:09 - train: epoch 0076, iter [01600, 05004], lr: 0.030480, loss: 1.3171
2022-07-08 09:00:53 - train: epoch 0076, iter [01700, 05004], lr: 0.030456, loss: 1.3356
2022-07-08 09:01:38 - train: epoch 0076, iter [01800, 05004], lr: 0.030432, loss: 1.1677
