2022-02-22 05:11:55 - train: epoch 0098, iter [03400, 05004], lr: 0.000100, loss: 1.6545
2022-02-22 05:12:28 - train: epoch 0098, iter [03500, 05004], lr: 0.000100, loss: 1.4858
2022-02-22 05:13:01 - train: epoch 0098, iter [03600, 05004], lr: 0.000100, loss: 1.8043
2022-02-22 05:13:34 - train: epoch 0098, iter [03700, 05004], lr: 0.000100, loss: 1.5219
2022-02-22 05:14:07 - train: epoch 0098, iter [03800, 05004], lr: 0.000100, loss: 1.4632
2022-02-22 05:14:41 - train: epoch 0098, iter [03900, 05004], lr: 0.000100, loss: 1.4850
2022-02-22 05:15:14 - train: epoch 0098, iter [04000, 05004], lr: 0.000100, loss: 1.5107
2022-02-22 05:15:47 - train: epoch 0098, iter [04100, 05004], lr: 0.000100, loss: 1.6824
2022-02-22 05:16:21 - train: epoch 0098, iter [04200, 05004], lr: 0.000100, loss: 1.4642
2022-02-22 05:16:54 - train: epoch 0098, iter [04300, 05004], lr: 0.000100, loss: 1.3877
2022-02-22 05:17:27 - train: epoch 0098, iter [04400, 05004], lr: 0.000100, loss: 1.7590
2022-02-22 05:18:00 - train: epoch 0098, iter [04500, 05004], lr: 0.000100, loss: 1.5632
2022-02-22 05:18:35 - train: epoch 0098, iter [04600, 05004], lr: 0.000100, loss: 1.5795
2022-02-22 05:19:07 - train: epoch 0098, iter [04700, 05004], lr: 0.000100, loss: 1.3801
2022-02-22 05:19:41 - train: epoch 0098, iter [04800, 05004], lr: 0.000100, loss: 1.2954
2022-02-22 05:20:14 - train: epoch 0098, iter [04900, 05004], lr: 0.000100, loss: 1.5364
2022-02-22 05:20:46 - train: epoch 0098, iter [05000, 05004], lr: 0.000100, loss: 1.5457
2022-02-22 05:20:48 - train: epoch 098, train_loss: 1.5054
2022-02-22 05:22:04 - eval: epoch: 098, acc1: 67.612%, acc5: 87.918%, test_loss: 1.3173, per_image_load_time: 2.590ms, per_image_inference_time: 0.151ms
2022-02-22 05:22:04 - until epoch: 098, best_acc1: 67.612%
2022-02-22 05:22:04 - epoch 099 lr: 0.00010000000000000003
2022-02-22 05:22:43 - train: epoch 0099, iter [00100, 05004], lr: 0.000100, loss: 1.3571
2022-02-22 05:23:15 - train: epoch 0099, iter [00200, 05004], lr: 0.000100, loss: 1.4134
2022-02-22 05:23:49 - train: epoch 0099, iter [00300, 05004], lr: 0.000100, loss: 1.4057
2022-02-22 05:24:22 - train: epoch 0099, iter [00400, 05004], lr: 0.000100, loss: 1.5655
2022-02-22 05:24:56 - train: epoch 0099, iter [00500, 05004], lr: 0.000100, loss: 1.6283
2022-02-22 05:25:29 - train: epoch 0099, iter [00600, 05004], lr: 0.000100, loss: 1.4601
2022-02-22 05:26:02 - train: epoch 0099, iter [00700, 05004], lr: 0.000100, loss: 1.5311
2022-02-22 05:26:35 - train: epoch 0099, iter [00800, 05004], lr: 0.000100, loss: 1.4518
2022-02-22 05:27:08 - train: epoch 0099, iter [00900, 05004], lr: 0.000100, loss: 1.3998
2022-02-22 05:27:41 - train: epoch 0099, iter [01000, 05004], lr: 0.000100, loss: 1.6002
2022-02-22 05:28:15 - train: epoch 0099, iter [01100, 05004], lr: 0.000100, loss: 1.5418
2022-02-22 05:28:49 - train: epoch 0099, iter [01200, 05004], lr: 0.000100, loss: 1.3633
2022-02-22 05:29:21 - train: epoch 0099, iter [01300, 05004], lr: 0.000100, loss: 1.7338
2022-02-22 05:29:54 - train: epoch 0099, iter [01400, 05004], lr: 0.000100, loss: 1.4939
