2022-10-11 00:00:16 - train: epoch 0022, iter [01900, 05004], lr: 0.089140, loss: 4.1299
2022-10-11 00:01:08 - train: epoch 0022, iter [02000, 05004], lr: 0.089121, loss: 4.4641
2022-10-11 00:01:58 - train: epoch 0022, iter [02100, 05004], lr: 0.089101, loss: 5.1150
2022-10-11 00:02:47 - train: epoch 0022, iter [02200, 05004], lr: 0.089082, loss: 3.9921
2022-10-11 00:03:36 - train: epoch 0022, iter [02300, 05004], lr: 0.089062, loss: 4.8941
2022-10-11 00:04:26 - train: epoch 0022, iter [02400, 05004], lr: 0.089043, loss: 4.6373
2022-10-11 00:05:17 - train: epoch 0022, iter [02500, 05004], lr: 0.089023, loss: 3.7484
2022-10-11 00:06:05 - train: epoch 0022, iter [02600, 05004], lr: 0.089003, loss: 4.1498
2022-10-11 00:06:56 - train: epoch 0022, iter [02700, 05004], lr: 0.088984, loss: 4.6871
2022-10-11 00:07:45 - train: epoch 0022, iter [02800, 05004], lr: 0.088964, loss: 4.8634
2022-10-11 00:08:35 - train: epoch 0022, iter [02900, 05004], lr: 0.088944, loss: 3.7627
2022-10-11 00:09:26 - train: epoch 0022, iter [03000, 05004], lr: 0.088925, loss: 4.1037
2022-10-11 00:10:17 - train: epoch 0022, iter [03100, 05004], lr: 0.088905, loss: 4.0746
2022-10-11 00:11:06 - train: epoch 0022, iter [03200, 05004], lr: 0.088885, loss: 3.9399
2022-10-11 00:11:54 - train: epoch 0022, iter [03300, 05004], lr: 0.088866, loss: 4.3292
2022-10-11 00:12:45 - train: epoch 0022, iter [03400, 05004], lr: 0.088846, loss: 4.9551
2022-10-11 00:13:35 - train: epoch 0022, iter [03500, 05004], lr: 0.088826, loss: 4.6159
2022-10-11 00:14:26 - train: epoch 0022, iter [03600, 05004], lr: 0.088806, loss: 4.4127
2022-10-11 00:15:16 - train: epoch 0022, iter [03700, 05004], lr: 0.088786, loss: 5.2461
2022-10-11 00:16:06 - train: epoch 0022, iter [03800, 05004], lr: 0.088767, loss: 4.7031
2022-10-11 00:16:54 - train: epoch 0022, iter [03900, 05004], lr: 0.088747, loss: 4.1542
2022-10-11 00:17:44 - train: epoch 0022, iter [04000, 05004], lr: 0.088727, loss: 4.5840
2022-10-11 00:18:33 - train: epoch 0022, iter [04100, 05004], lr: 0.088707, loss: 4.1714
2022-10-11 00:19:23 - train: epoch 0022, iter [04200, 05004], lr: 0.088687, loss: 4.6516
2022-10-11 00:20:14 - train: epoch 0022, iter [04300, 05004], lr: 0.088667, loss: 4.9991
2022-10-11 00:21:02 - train: epoch 0022, iter [04400, 05004], lr: 0.088647, loss: 3.9821
2022-10-11 00:21:51 - train: epoch 0022, iter [04500, 05004], lr: 0.088627, loss: 4.7429
2022-10-11 00:22:42 - train: epoch 0022, iter [04600, 05004], lr: 0.088608, loss: 5.1181
2022-10-11 00:23:32 - train: epoch 0022, iter [04700, 05004], lr: 0.088588, loss: 4.5443
2022-10-11 00:24:20 - train: epoch 0022, iter [04800, 05004], lr: 0.088568, loss: 4.4106
2022-10-11 00:25:10 - train: epoch 0022, iter [04900, 05004], lr: 0.088548, loss: 4.9211
2022-10-11 00:25:57 - train: epoch 0022, iter [05000, 05004], lr: 0.088528, loss: 4.4199
2022-10-11 00:25:59 - train: epoch 022, train_loss: 4.5222
2022-10-11 00:27:44 - eval: epoch: 022, acc1: 54.280%, acc5: 79.532%, test_loss: 2.1845, per_image_load_time: 3.118ms, per_image_inference_time: 0.514ms
2022-10-11 00:27:44 - until epoch: 022, best_acc1: 54.286%
2022-10-11 00:27:44 - epoch 023 lr: 0.088527
2022-10-11 00:28:41 - train: epoch 0023, iter [00100, 05004], lr: 0.088507, loss: 4.3786
2022-10-11 00:29:30 - train: epoch 0023, iter [00200, 05004], lr: 0.088487, loss: 4.6477
2022-10-11 00:30:20 - train: epoch 0023, iter [00300, 05004], lr: 0.088467, loss: 4.9509
2022-10-11 00:31:10 - train: epoch 0023, iter [00400, 05004], lr: 0.088447, loss: 5.1295
2022-10-11 00:31:59 - train: epoch 0023, iter [00500, 05004], lr: 0.088427, loss: 5.0100
2022-10-11 00:32:49 - train: epoch 0023, iter [00600, 05004], lr: 0.088406, loss: 4.7284
2022-10-11 00:33:38 - train: epoch 0023, iter [00700, 05004], lr: 0.088386, loss: 4.9663
2022-10-11 00:34:28 - train: epoch 0023, iter [00800, 05004], lr: 0.088366, loss: 4.5749
2022-10-11 00:35:18 - train: epoch 0023, iter [00900, 05004], lr: 0.088346, loss: 4.3755
2022-10-11 00:36:07 - train: epoch 0023, iter [01000, 05004], lr: 0.088326, loss: 4.1293
2022-10-11 00:36:58 - train: epoch 0023, iter [01100, 05004], lr: 0.088306, loss: 4.5895
2022-10-11 00:37:48 - train: epoch 0023, iter [01200, 05004], lr: 0.088286, loss: 4.7657
2022-10-11 00:38:38 - train: epoch 0023, iter [01300, 05004], lr: 0.088265, loss: 5.0189
2022-10-11 00:39:28 - train: epoch 0023, iter [01400, 05004], lr: 0.088245, loss: 4.8009
2022-10-11 00:40:19 - train: epoch 0023, iter [01500, 05004], lr: 0.088225, loss: 4.7063
2022-10-11 00:41:08 - train: epoch 0023, iter [01600, 05004], lr: 0.088205, loss: 4.0634
2022-10-11 00:41:56 - train: epoch 0023, iter [01700, 05004], lr: 0.088184, loss: 4.2390
2022-10-11 00:42:47 - train: epoch 0023, iter [01800, 05004], lr: 0.088164, loss: 4.5152
2022-10-11 00:43:35 - train: epoch 0023, iter [01900, 05004], lr: 0.088144, loss: 4.2291
2022-10-11 00:44:25 - train: epoch 0023, iter [02000, 05004], lr: 0.088124, loss: 3.2984
2022-10-11 00:45:16 - train: epoch 0023, iter [02100, 05004], lr: 0.088103, loss: 4.1127
2022-10-11 00:46:05 - train: epoch 0023, iter [02200, 05004], lr: 0.088083, loss: 4.6427
2022-10-11 00:46:55 - train: epoch 0023, iter [02300, 05004], lr: 0.088063, loss: 4.6064
2022-10-11 00:47:45 - train: epoch 0023, iter [02400, 05004], lr: 0.088042, loss: 4.2477
2022-10-11 00:48:34 - train: epoch 0023, iter [02500, 05004], lr: 0.088022, loss: 5.0215
2022-10-11 00:49:25 - train: epoch 0023, iter [02600, 05004], lr: 0.088002, loss: 4.4151
2022-10-11 00:50:15 - train: epoch 0023, iter [02700, 05004], lr: 0.087981, loss: 4.0713
2022-10-11 00:51:05 - train: epoch 0023, iter [02800, 05004], lr: 0.087961, loss: 3.9457
2022-10-11 00:51:55 - train: epoch 0023, iter [02900, 05004], lr: 0.087940, loss: 4.0573
2022-10-11 00:52:45 - train: epoch 0023, iter [03000, 05004], lr: 0.087920, loss: 3.7514
2022-10-11 00:53:33 - train: epoch 0023, iter [03100, 05004], lr: 0.087899, loss: 4.7165
2022-10-11 00:54:22 - train: epoch 0023, iter [03200, 05004], lr: 0.087879, loss: 4.4529
2022-10-11 00:55:11 - train: epoch 0023, iter [03300, 05004], lr: 0.087858, loss: 4.2793
2022-10-11 00:56:01 - train: epoch 0023, iter [03400, 05004], lr: 0.087838, loss: 4.4128
2022-10-11 00:56:51 - train: epoch 0023, iter [03500, 05004], lr: 0.087817, loss: 4.7100
2022-10-11 00:57:41 - train: epoch 0023, iter [03600, 05004], lr: 0.087797, loss: 4.3899
2022-10-11 00:58:31 - train: epoch 0023, iter [03700, 05004], lr: 0.087776, loss: 4.3003
2022-10-11 00:59:20 - train: epoch 0023, iter [03800, 05004], lr: 0.087756, loss: 4.0819
2022-10-11 01:00:10 - train: epoch 0023, iter [03900, 05004], lr: 0.087735, loss: 4.0481
2022-10-11 01:01:00 - train: epoch 0023, iter [04000, 05004], lr: 0.087714, loss: 4.0779
2022-10-11 01:01:49 - train: epoch 0023, iter [04100, 05004], lr: 0.087694, loss: 4.6460
2022-10-11 01:02:40 - train: epoch 0023, iter [04200, 05004], lr: 0.087673, loss: 4.5106
2022-10-11 01:03:28 - train: epoch 0023, iter [04300, 05004], lr: 0.087653, loss: 4.8925
2022-10-11 01:04:18 - train: epoch 0023, iter [04400, 05004], lr: 0.087632, loss: 4.1813
2022-10-11 01:05:08 - train: epoch 0023, iter [04500, 05004], lr: 0.087611, loss: 4.5346
2022-10-11 01:05:57 - train: epoch 0023, iter [04600, 05004], lr: 0.087591, loss: 4.9452
2022-10-11 01:06:47 - train: epoch 0023, iter [04700, 05004], lr: 0.087570, loss: 4.4967
2022-10-11 01:07:38 - train: epoch 0023, iter [04800, 05004], lr: 0.087549, loss: 4.7133
2022-10-11 01:08:27 - train: epoch 0023, iter [04900, 05004], lr: 0.087528, loss: 4.0498
2022-10-11 01:09:13 - train: epoch 0023, iter [05000, 05004], lr: 0.087508, loss: 4.8280
2022-10-11 01:09:16 - train: epoch 023, train_loss: 4.5134
2022-10-11 01:11:02 - eval: epoch: 023, acc1: 53.972%, acc5: 79.296%, test_loss: 2.1781, per_image_load_time: 3.429ms, per_image_inference_time: 0.499ms
2022-10-11 01:11:02 - until epoch: 023, best_acc1: 54.286%
2022-10-11 01:11:02 - epoch 024 lr: 0.087507
2022-10-11 01:11:59 - train: epoch 0024, iter [00100, 05004], lr: 0.087486, loss: 5.1321
2022-10-11 01:12:49 - train: epoch 0024, iter [00200, 05004], lr: 0.087465, loss: 3.6035
2022-10-11 01:13:40 - train: epoch 0024, iter [00300, 05004], lr: 0.087444, loss: 4.9888
2022-10-11 01:14:29 - train: epoch 0024, iter [00400, 05004], lr: 0.087424, loss: 4.0592
2022-10-11 01:15:19 - train: epoch 0024, iter [00500, 05004], lr: 0.087403, loss: 3.8941
2022-10-11 01:16:09 - train: epoch 0024, iter [00600, 05004], lr: 0.087382, loss: 5.0308
2022-10-11 01:16:59 - train: epoch 0024, iter [00700, 05004], lr: 0.087361, loss: 4.5575
2022-10-11 01:17:48 - train: epoch 0024, iter [00800, 05004], lr: 0.087340, loss: 4.1529
2022-10-11 01:18:38 - train: epoch 0024, iter [00900, 05004], lr: 0.087319, loss: 4.1382
2022-10-11 01:19:28 - train: epoch 0024, iter [01000, 05004], lr: 0.087298, loss: 3.8170
2022-10-11 01:20:17 - train: epoch 0024, iter [01100, 05004], lr: 0.087278, loss: 4.3771
2022-10-11 01:21:08 - train: epoch 0024, iter [01200, 05004], lr: 0.087257, loss: 4.3924
2022-10-11 01:21:56 - train: epoch 0024, iter [01300, 05004], lr: 0.087236, loss: 4.4927
2022-10-11 01:22:44 - train: epoch 0024, iter [01400, 05004], lr: 0.087215, loss: 4.9154
2022-10-11 01:23:33 - train: epoch 0024, iter [01500, 05004], lr: 0.087194, loss: 4.4555
2022-10-11 01:24:21 - train: epoch 0024, iter [01600, 05004], lr: 0.087173, loss: 4.3386
2022-10-11 01:25:10 - train: epoch 0024, iter [01700, 05004], lr: 0.087152, loss: 4.2174
2022-10-11 01:25:58 - train: epoch 0024, iter [01800, 05004], lr: 0.087131, loss: 4.5751
2022-10-11 01:26:47 - train: epoch 0024, iter [01900, 05004], lr: 0.087110, loss: 3.9655
2022-10-11 01:27:36 - train: epoch 0024, iter [02000, 05004], lr: 0.087089, loss: 4.2013
2022-10-11 01:28:23 - train: epoch 0024, iter [02100, 05004], lr: 0.087068, loss: 4.3007
2022-10-11 01:29:12 - train: epoch 0024, iter [02200, 05004], lr: 0.087047, loss: 4.2632
2022-10-11 01:30:01 - train: epoch 0024, iter [02300, 05004], lr: 0.087025, loss: 4.1525
2022-10-11 01:30:51 - train: epoch 0024, iter [02400, 05004], lr: 0.087004, loss: 4.6742
2022-10-11 01:31:39 - train: epoch 0024, iter [02500, 05004], lr: 0.086983, loss: 5.2639
2022-10-11 01:32:28 - train: epoch 0024, iter [02600, 05004], lr: 0.086962, loss: 4.4244
2022-10-11 01:33:16 - train: epoch 0024, iter [02700, 05004], lr: 0.086941, loss: 4.3068
2022-10-11 01:34:04 - train: epoch 0024, iter [02800, 05004], lr: 0.086920, loss: 4.8514
2022-10-11 01:34:52 - train: epoch 0024, iter [02900, 05004], lr: 0.086899, loss: 4.4575
