2022-10-11 00:00:06 - train: epoch 0029, iter [04200, 05004], lr: 0.080846, loss: 3.7783
2022-10-11 00:00:43 - train: epoch 0029, iter [04300, 05004], lr: 0.080822, loss: 4.2342
2022-10-11 00:01:19 - train: epoch 0029, iter [04400, 05004], lr: 0.080797, loss: 4.5275
2022-10-11 00:01:57 - train: epoch 0029, iter [04500, 05004], lr: 0.080772, loss: 4.3119
2022-10-11 00:02:34 - train: epoch 0029, iter [04600, 05004], lr: 0.080747, loss: 4.4592
2022-10-11 00:03:10 - train: epoch 0029, iter [04700, 05004], lr: 0.080723, loss: 4.1184
2022-10-11 00:03:47 - train: epoch 0029, iter [04800, 05004], lr: 0.080698, loss: 5.1674
2022-10-11 00:04:24 - train: epoch 0029, iter [04900, 05004], lr: 0.080673, loss: 4.5793
2022-10-11 00:04:59 - train: epoch 0029, iter [05000, 05004], lr: 0.080648, loss: 3.8456
2022-10-11 00:05:01 - train: epoch 029, train_loss: 4.5168
2022-10-11 00:06:20 - eval: epoch: 029, acc1: 52.522%, acc5: 78.244%, test_loss: 2.2292, per_image_load_time: 2.287ms, per_image_inference_time: 0.537ms
2022-10-11 00:06:20 - until epoch: 029, best_acc1: 55.340%
2022-10-11 00:06:20 - epoch 030 lr: 0.080647
2022-10-11 00:07:03 - train: epoch 0030, iter [00100, 05004], lr: 0.080622, loss: 4.4120
2022-10-11 00:07:39 - train: epoch 0030, iter [00200, 05004], lr: 0.080598, loss: 4.8835
2022-10-11 00:08:16 - train: epoch 0030, iter [00300, 05004], lr: 0.080573, loss: 4.1113
2022-10-11 00:08:52 - train: epoch 0030, iter [00400, 05004], lr: 0.080548, loss: 5.1960
2022-10-11 00:09:29 - train: epoch 0030, iter [00500, 05004], lr: 0.080523, loss: 4.5199
2022-10-11 00:10:05 - train: epoch 0030, iter [00600, 05004], lr: 0.080498, loss: 5.2931
2022-10-11 00:10:41 - train: epoch 0030, iter [00700, 05004], lr: 0.080473, loss: 4.7925
2022-10-11 00:11:18 - train: epoch 0030, iter [00800, 05004], lr: 0.080448, loss: 4.8125
2022-10-11 00:11:54 - train: epoch 0030, iter [00900, 05004], lr: 0.080424, loss: 4.9738
2022-10-11 00:12:31 - train: epoch 0030, iter [01000, 05004], lr: 0.080399, loss: 4.5288
2022-10-11 00:13:07 - train: epoch 0030, iter [01100, 05004], lr: 0.080374, loss: 4.7235
2022-10-11 00:13:44 - train: epoch 0030, iter [01200, 05004], lr: 0.080349, loss: 4.7739
2022-10-11 00:14:22 - train: epoch 0030, iter [01300, 05004], lr: 0.080324, loss: 4.9684
2022-10-11 00:14:58 - train: epoch 0030, iter [01400, 05004], lr: 0.080299, loss: 4.4761
2022-10-11 00:15:35 - train: epoch 0030, iter [01500, 05004], lr: 0.080274, loss: 4.2811
2022-10-11 00:16:12 - train: epoch 0030, iter [01600, 05004], lr: 0.080249, loss: 4.1236
2022-10-11 00:16:49 - train: epoch 0030, iter [01700, 05004], lr: 0.080224, loss: 4.8341
2022-10-11 00:17:25 - train: epoch 0030, iter [01800, 05004], lr: 0.080199, loss: 5.0602
2022-10-11 00:18:02 - train: epoch 0030, iter [01900, 05004], lr: 0.080174, loss: 4.4450
2022-10-11 00:18:38 - train: epoch 0030, iter [02000, 05004], lr: 0.080149, loss: 4.7696
2022-10-11 00:19:15 - train: epoch 0030, iter [02100, 05004], lr: 0.080124, loss: 4.5149
2022-10-11 00:19:51 - train: epoch 0030, iter [02200, 05004], lr: 0.080099, loss: 4.8304
2022-10-11 00:20:28 - train: epoch 0030, iter [02300, 05004], lr: 0.080074, loss: 4.3738
2022-10-11 00:21:06 - train: epoch 0030, iter [02400, 05004], lr: 0.080049, loss: 4.8696
2022-10-11 00:21:42 - train: epoch 0030, iter [02500, 05004], lr: 0.080024, loss: 4.8821
2022-10-11 00:22:20 - train: epoch 0030, iter [02600, 05004], lr: 0.079998, loss: 4.3617
2022-10-11 00:22:56 - train: epoch 0030, iter [02700, 05004], lr: 0.079973, loss: 4.5000
2022-10-11 00:23:34 - train: epoch 0030, iter [02800, 05004], lr: 0.079948, loss: 4.7348
2022-10-11 00:24:11 - train: epoch 0030, iter [02900, 05004], lr: 0.079923, loss: 4.8749
2022-10-11 00:24:48 - train: epoch 0030, iter [03000, 05004], lr: 0.079898, loss: 4.8696
2022-10-11 00:25:26 - train: epoch 0030, iter [03100, 05004], lr: 0.079873, loss: 4.8738
2022-10-11 00:26:02 - train: epoch 0030, iter [03200, 05004], lr: 0.079848, loss: 4.7186
2022-10-11 00:26:40 - train: epoch 0030, iter [03300, 05004], lr: 0.079822, loss: 5.0482
2022-10-11 00:27:16 - train: epoch 0030, iter [03400, 05004], lr: 0.079797, loss: 5.0258
2022-10-11 00:27:54 - train: epoch 0030, iter [03500, 05004], lr: 0.079772, loss: 4.4138
2022-10-11 00:28:31 - train: epoch 0030, iter [03600, 05004], lr: 0.079747, loss: 4.5639
2022-10-11 00:29:08 - train: epoch 0030, iter [03700, 05004], lr: 0.079721, loss: 4.7277
2022-10-11 00:29:45 - train: epoch 0030, iter [03800, 05004], lr: 0.079696, loss: 4.7237
2022-10-11 00:30:23 - train: epoch 0030, iter [03900, 05004], lr: 0.079671, loss: 4.6126
2022-10-11 00:30:59 - train: epoch 0030, iter [04000, 05004], lr: 0.079646, loss: 4.9602
2022-10-11 00:31:36 - train: epoch 0030, iter [04100, 05004], lr: 0.079620, loss: 4.0236
2022-10-11 00:32:13 - train: epoch 0030, iter [04200, 05004], lr: 0.079595, loss: 4.6382
2022-10-11 00:32:51 - train: epoch 0030, iter [04300, 05004], lr: 0.079570, loss: 5.2117
2022-10-11 00:33:27 - train: epoch 0030, iter [04400, 05004], lr: 0.079544, loss: 4.5231
2022-10-11 00:34:05 - train: epoch 0030, iter [04500, 05004], lr: 0.079519, loss: 4.2842
2022-10-11 00:34:42 - train: epoch 0030, iter [04600, 05004], lr: 0.079494, loss: 4.1446
2022-10-11 00:35:19 - train: epoch 0030, iter [04700, 05004], lr: 0.079468, loss: 5.1245
2022-10-11 00:35:56 - train: epoch 0030, iter [04800, 05004], lr: 0.079443, loss: 4.7987
2022-10-11 00:36:33 - train: epoch 0030, iter [04900, 05004], lr: 0.079418, loss: 4.5928
2022-10-11 00:37:08 - train: epoch 0030, iter [05000, 05004], lr: 0.079392, loss: 4.2358
2022-10-11 00:37:10 - train: epoch 030, train_loss: 4.5126
2022-10-11 00:38:30 - eval: epoch: 030, acc1: 55.260%, acc5: 80.460%, test_loss: 2.1418, per_image_load_time: 2.331ms, per_image_inference_time: 0.518ms
2022-10-11 00:38:30 - until epoch: 030, best_acc1: 55.340%
2022-10-11 00:38:30 - epoch 031 lr: 0.079391
2022-10-11 00:39:15 - train: epoch 0031, iter [00100, 05004], lr: 0.079366, loss: 4.8018
2022-10-11 00:39:51 - train: epoch 0031, iter [00200, 05004], lr: 0.079341, loss: 4.2469
2022-10-11 00:40:27 - train: epoch 0031, iter [00300, 05004], lr: 0.079315, loss: 4.3359
2022-10-11 00:41:02 - train: epoch 0031, iter [00400, 05004], lr: 0.079290, loss: 4.6545
2022-10-11 00:41:39 - train: epoch 0031, iter [00500, 05004], lr: 0.079264, loss: 4.8162
2022-10-11 00:42:15 - train: epoch 0031, iter [00600, 05004], lr: 0.079239, loss: 4.0912
2022-10-11 00:42:52 - train: epoch 0031, iter [00700, 05004], lr: 0.079213, loss: 3.4544
2022-10-11 00:43:29 - train: epoch 0031, iter [00800, 05004], lr: 0.079188, loss: 4.0455
2022-10-11 00:44:05 - train: epoch 0031, iter [00900, 05004], lr: 0.079162, loss: 3.9913
2022-10-11 00:44:42 - train: epoch 0031, iter [01000, 05004], lr: 0.079137, loss: 4.4237
2022-10-11 00:45:19 - train: epoch 0031, iter [01100, 05004], lr: 0.079111, loss: 4.9464
2022-10-11 00:45:55 - train: epoch 0031, iter [01200, 05004], lr: 0.079086, loss: 4.7190
2022-10-11 00:46:33 - train: epoch 0031, iter [01300, 05004], lr: 0.079060, loss: 4.0094
2022-10-11 00:47:09 - train: epoch 0031, iter [01400, 05004], lr: 0.079035, loss: 4.5550
2022-10-11 00:47:46 - train: epoch 0031, iter [01500, 05004], lr: 0.079009, loss: 5.3380
2022-10-11 00:48:23 - train: epoch 0031, iter [01600, 05004], lr: 0.078984, loss: 4.4519
2022-10-11 00:48:59 - train: epoch 0031, iter [01700, 05004], lr: 0.078958, loss: 3.8895
2022-10-11 00:49:36 - train: epoch 0031, iter [01800, 05004], lr: 0.078932, loss: 5.3441
2022-10-11 00:50:13 - train: epoch 0031, iter [01900, 05004], lr: 0.078907, loss: 4.5688
2022-10-11 00:50:49 - train: epoch 0031, iter [02000, 05004], lr: 0.078881, loss: 4.4575
2022-10-11 00:51:26 - train: epoch 0031, iter [02100, 05004], lr: 0.078856, loss: 4.7944
2022-10-11 00:52:03 - train: epoch 0031, iter [02200, 05004], lr: 0.078830, loss: 4.7749
2022-10-11 00:52:40 - train: epoch 0031, iter [02300, 05004], lr: 0.078804, loss: 4.6490
2022-10-11 00:53:17 - train: epoch 0031, iter [02400, 05004], lr: 0.078779, loss: 4.9658
2022-10-11 00:53:54 - train: epoch 0031, iter [02500, 05004], lr: 0.078753, loss: 3.8822
2022-10-11 00:54:30 - train: epoch 0031, iter [02600, 05004], lr: 0.078727, loss: 4.6272
2022-10-11 00:55:07 - train: epoch 0031, iter [02700, 05004], lr: 0.078702, loss: 4.7787
2022-10-11 00:55:44 - train: epoch 0031, iter [02800, 05004], lr: 0.078676, loss: 4.3917
2022-10-11 00:56:21 - train: epoch 0031, iter [02900, 05004], lr: 0.078650, loss: 4.1831
2022-10-11 00:56:58 - train: epoch 0031, iter [03000, 05004], lr: 0.078624, loss: 4.3029
