2022-03-04 23:11:58 - train: epoch 0173, iter [01800, 05004], lr: 0.005002, loss: 1.7275
2022-03-04 23:12:31 - train: epoch 0173, iter [01900, 05004], lr: 0.005002, loss: 1.6670
2022-03-04 23:13:04 - train: epoch 0173, iter [02000, 05004], lr: 0.005002, loss: 1.9090
2022-03-04 23:13:37 - train: epoch 0173, iter [02100, 05004], lr: 0.005002, loss: 1.5238
2022-03-04 23:14:09 - train: epoch 0173, iter [02200, 05004], lr: 0.005002, loss: 1.5401
2022-03-04 23:14:42 - train: epoch 0173, iter [02300, 05004], lr: 0.005002, loss: 1.5919
2022-03-04 23:15:15 - train: epoch 0173, iter [02400, 05004], lr: 0.005002, loss: 1.6146
2022-03-04 23:15:47 - train: epoch 0173, iter [02500, 05004], lr: 0.005002, loss: 1.5334
2022-03-04 23:16:20 - train: epoch 0173, iter [02600, 05004], lr: 0.005002, loss: 1.6790
2022-03-04 23:16:53 - train: epoch 0173, iter [02700, 05004], lr: 0.005002, loss: 1.4559
2022-03-04 23:17:27 - train: epoch 0173, iter [02800, 05004], lr: 0.005002, loss: 1.8013
2022-03-04 23:17:59 - train: epoch 0173, iter [02900, 05004], lr: 0.005002, loss: 1.5512
2022-03-04 23:18:31 - train: epoch 0173, iter [03000, 05004], lr: 0.005002, loss: 1.4578
2022-03-04 23:19:03 - train: epoch 0173, iter [03100, 05004], lr: 0.005002, loss: 1.5619
2022-03-04 23:19:36 - train: epoch 0173, iter [03200, 05004], lr: 0.005002, loss: 2.0210
2022-03-04 23:20:09 - train: epoch 0173, iter [03300, 05004], lr: 0.005002, loss: 1.6028
2022-03-04 23:20:42 - train: epoch 0173, iter [03400, 05004], lr: 0.005002, loss: 1.4929
2022-03-04 23:21:15 - train: epoch 0173, iter [03500, 05004], lr: 0.005002, loss: 1.8459
2022-03-04 23:21:47 - train: epoch 0173, iter [03600, 05004], lr: 0.005002, loss: 1.6274
2022-03-04 23:22:21 - train: epoch 0173, iter [03700, 05004], lr: 0.005002, loss: 1.6855
2022-03-04 23:22:54 - train: epoch 0173, iter [03800, 05004], lr: 0.005002, loss: 1.6711
2022-03-04 23:23:27 - train: epoch 0173, iter [03900, 05004], lr: 0.005002, loss: 1.3552
2022-03-04 23:24:00 - train: epoch 0173, iter [04000, 05004], lr: 0.005002, loss: 1.8469
2022-03-04 23:24:33 - train: epoch 0173, iter [04100, 05004], lr: 0.005002, loss: 1.6713
2022-03-04 23:25:06 - train: epoch 0173, iter [04200, 05004], lr: 0.005002, loss: 1.5733
2022-03-04 23:25:39 - train: epoch 0173, iter [04300, 05004], lr: 0.005002, loss: 1.4987
2022-03-04 23:26:12 - train: epoch 0173, iter [04400, 05004], lr: 0.005002, loss: 1.6124
2022-03-04 23:26:44 - train: epoch 0173, iter [04500, 05004], lr: 0.005002, loss: 1.4427
2022-03-04 23:27:17 - train: epoch 0173, iter [04600, 05004], lr: 0.005002, loss: 1.4058
2022-03-04 23:27:51 - train: epoch 0173, iter [04700, 05004], lr: 0.005002, loss: 1.6496
2022-03-04 23:28:23 - train: epoch 0173, iter [04800, 05004], lr: 0.005002, loss: 1.8032
2022-03-04 23:28:55 - train: epoch 0173, iter [04900, 05004], lr: 0.005002, loss: 1.6124
2022-03-04 23:29:27 - train: epoch 0173, iter [05000, 05004], lr: 0.005002, loss: 1.6455
2022-03-04 23:29:28 - train: epoch 173, train_loss: 1.6567
2022-03-04 23:30:41 - eval: epoch: 173, acc1: 73.942%, acc5: 91.870%, test_loss: 1.0381, per_image_load_time: 0.765ms, per_image_inference_time: 0.440ms
