2022-07-08 07:41:40 - train: epoch 0147, iter [03400, 05004], lr: 0.017341, loss: 1.3717
2022-07-08 07:42:14 - train: epoch 0147, iter [03500, 05004], lr: 0.017329, loss: 1.1268
2022-07-08 07:42:47 - train: epoch 0147, iter [03600, 05004], lr: 0.017317, loss: 1.1877
2022-07-08 07:43:21 - train: epoch 0147, iter [03700, 05004], lr: 0.017305, loss: 1.1920
2022-07-08 07:43:55 - train: epoch 0147, iter [03800, 05004], lr: 0.017293, loss: 0.9254
2022-07-08 07:44:29 - train: epoch 0147, iter [03900, 05004], lr: 0.017281, loss: 1.3514
2022-07-08 07:45:03 - train: epoch 0147, iter [04000, 05004], lr: 0.017268, loss: 1.1208
2022-07-08 07:45:36 - train: epoch 0147, iter [04100, 05004], lr: 0.017256, loss: 1.0974
2022-07-08 07:46:10 - train: epoch 0147, iter [04200, 05004], lr: 0.017244, loss: 1.4109
2022-07-08 07:46:44 - train: epoch 0147, iter [04300, 05004], lr: 0.017232, loss: 1.1234
2022-07-08 07:47:18 - train: epoch 0147, iter [04400, 05004], lr: 0.017220, loss: 1.1220
2022-07-08 07:47:52 - train: epoch 0147, iter [04500, 05004], lr: 0.017208, loss: 1.2099
2022-07-08 07:48:27 - train: epoch 0147, iter [04600, 05004], lr: 0.017195, loss: 1.2063
2022-07-08 07:49:00 - train: epoch 0147, iter [04700, 05004], lr: 0.017183, loss: 1.2514
2022-07-08 07:49:34 - train: epoch 0147, iter [04800, 05004], lr: 0.017171, loss: 1.0893
2022-07-08 07:50:09 - train: epoch 0147, iter [04900, 05004], lr: 0.017159, loss: 0.9681
2022-07-08 07:50:41 - train: epoch 0147, iter [05000, 05004], lr: 0.017147, loss: 1.2212
2022-07-08 07:50:42 - train: epoch 147, train_loss: 1.1841
2022-07-08 07:51:55 - eval: epoch: 147, acc1: 71.114%, acc5: 90.528%, test_loss: 1.1568, per_image_load_time: 1.444ms, per_image_inference_time: 0.484ms
2022-07-08 07:51:56 - until epoch: 147, best_acc1: 71.284%
2022-07-08 07:51:56 - epoch 148 lr: 0.017146
2022-07-08 07:52:34 - train: epoch 0148, iter [00100, 05004], lr: 0.017134, loss: 1.1379
2022-07-08 07:53:08 - train: epoch 0148, iter [00200, 05004], lr: 0.017122, loss: 0.9920
2022-07-08 07:53:41 - train: epoch 0148, iter [00300, 05004], lr: 0.017110, loss: 1.1523
2022-07-08 07:54:14 - train: epoch 0148, iter [00400, 05004], lr: 0.017098, loss: 1.1476
2022-07-08 07:54:47 - train: epoch 0148, iter [00500, 05004], lr: 0.017086, loss: 1.1385
2022-07-08 07:55:20 - train: epoch 0148, iter [00600, 05004], lr: 0.017074, loss: 1.0958
2022-07-08 07:55:54 - train: epoch 0148, iter [00700, 05004], lr: 0.017062, loss: 0.9983
2022-07-08 07:56:28 - train: epoch 0148, iter [00800, 05004], lr: 0.017049, loss: 1.0916
2022-07-08 07:57:02 - train: epoch 0148, iter [00900, 05004], lr: 0.017037, loss: 1.0546
2022-07-08 07:57:35 - train: epoch 0148, iter [01000, 05004], lr: 0.017025, loss: 0.9994
2022-07-08 07:58:09 - train: epoch 0148, iter [01100, 05004], lr: 0.017013, loss: 0.9678
2022-07-08 07:58:42 - train: epoch 0148, iter [01200, 05004], lr: 0.017001, loss: 1.1887
2022-07-08 07:59:16 - train: epoch 0148, iter [01300, 05004], lr: 0.016989, loss: 1.0660
2022-07-08 07:59:51 - train: epoch 0148, iter [01400, 05004], lr: 0.016977, loss: 1.1177
2022-07-08 08:00:24 - train: epoch 0148, iter [01500, 05004], lr: 0.016965, loss: 1.0359
