2022-07-12 20:50:11 - train: epoch 0165, iter [03500, 05004], lr: 0.007870, loss: 2.0552
2022-07-12 20:50:44 - train: epoch 0165, iter [03600, 05004], lr: 0.007862, loss: 1.8280
2022-07-12 20:51:19 - train: epoch 0165, iter [03700, 05004], lr: 0.007853, loss: 1.3143
2022-07-12 20:51:52 - train: epoch 0165, iter [03800, 05004], lr: 0.007844, loss: 1.7506
2022-07-12 20:52:27 - train: epoch 0165, iter [03900, 05004], lr: 0.007836, loss: 1.6726
2022-07-12 20:53:00 - train: epoch 0165, iter [04000, 05004], lr: 0.007827, loss: 1.5762
2022-07-12 20:53:34 - train: epoch 0165, iter [04100, 05004], lr: 0.007818, loss: 1.5475
2022-07-12 20:54:08 - train: epoch 0165, iter [04200, 05004], lr: 0.007810, loss: 1.8628
2022-07-12 20:54:42 - train: epoch 0165, iter [04300, 05004], lr: 0.007801, loss: 1.5774
2022-07-12 20:55:15 - train: epoch 0165, iter [04400, 05004], lr: 0.007793, loss: 1.4629
2022-07-12 20:55:49 - train: epoch 0165, iter [04500, 05004], lr: 0.007784, loss: 1.5216
2022-07-12 20:56:23 - train: epoch 0165, iter [04600, 05004], lr: 0.007775, loss: 1.5951
2022-07-12 20:56:57 - train: epoch 0165, iter [04700, 05004], lr: 0.007767, loss: 1.5258
2022-07-12 20:57:30 - train: epoch 0165, iter [04800, 05004], lr: 0.007758, loss: 1.3275
2022-07-12 20:58:04 - train: epoch 0165, iter [04900, 05004], lr: 0.007749, loss: 1.4985
2022-07-12 20:58:37 - train: epoch 0165, iter [05000, 05004], lr: 0.007741, loss: 1.6063
2022-07-12 20:58:38 - train: epoch 165, train_loss: 1.5880
2022-07-12 20:59:51 - eval: epoch: 165, acc1: 74.102%, acc5: 91.896%, test_loss: 1.0412, per_image_load_time: 1.745ms, per_image_inference_time: 0.470ms
2022-07-12 20:59:51 - until epoch: 165, best_acc1: 74.102%
2022-07-12 20:59:51 - epoch 166 lr: 0.007740
2022-07-12 21:00:31 - train: epoch 0166, iter [00100, 05004], lr: 0.007732, loss: 1.6381
2022-07-12 21:01:04 - train: epoch 0166, iter [00200, 05004], lr: 0.007723, loss: 1.5376
2022-07-12 21:01:39 - train: epoch 0166, iter [00300, 05004], lr: 0.007715, loss: 1.7136
2022-07-12 21:02:12 - train: epoch 0166, iter [00400, 05004], lr: 0.007706, loss: 1.5836
2022-07-12 21:02:46 - train: epoch 0166, iter [00500, 05004], lr: 0.007698, loss: 1.4476
2022-07-12 21:03:19 - train: epoch 0166, iter [00600, 05004], lr: 0.007689, loss: 1.5964
2022-07-12 21:03:53 - train: epoch 0166, iter [00700, 05004], lr: 0.007680, loss: 1.7208
2022-07-12 21:04:27 - train: epoch 0166, iter [00800, 05004], lr: 0.007672, loss: 1.6228
2022-07-12 21:05:02 - train: epoch 0166, iter [00900, 05004], lr: 0.007663, loss: 1.6002
