2022-07-17 18:35:36 - train: epoch 0196, iter [04900, 05004], lr: 0.000105, loss: 1.7646
2022-07-17 18:36:09 - train: epoch 0196, iter [05000, 05004], lr: 0.000104, loss: 1.5064
2022-07-17 18:36:10 - train: epoch 196, train_loss: 1.6099
2022-07-17 18:37:24 - eval: epoch: 196, acc1: 77.804%, acc5: 93.790%, test_loss: 0.8836, per_image_load_time: 2.395ms, per_image_inference_time: 0.452ms
2022-07-17 18:37:25 - until epoch: 196, best_acc1: 77.804%
2022-07-17 18:37:25 - epoch 197 lr: 0.000104
2022-07-17 18:38:04 - train: epoch 0197, iter [00100, 05004], lr: 0.000103, loss: 1.6257
2022-07-17 18:38:38 - train: epoch 0197, iter [00200, 05004], lr: 0.000102, loss: 1.7117
2022-07-17 18:39:11 - train: epoch 0197, iter [00300, 05004], lr: 0.000101, loss: 1.6134
2022-07-17 18:39:45 - train: epoch 0197, iter [00400, 05004], lr: 0.000100, loss: 1.6325
2022-07-17 18:40:19 - train: epoch 0197, iter [00500, 05004], lr: 0.000099, loss: 1.5006
2022-07-17 18:40:52 - train: epoch 0197, iter [00600, 05004], lr: 0.000098, loss: 1.7081
2022-07-17 18:41:26 - train: epoch 0197, iter [00700, 05004], lr: 0.000097, loss: 1.6947
2022-07-17 18:42:00 - train: epoch 0197, iter [00800, 05004], lr: 0.000096, loss: 1.6537
2022-07-17 18:42:34 - train: epoch 0197, iter [00900, 05004], lr: 0.000095, loss: 1.3665
2022-07-17 18:43:07 - train: epoch 0197, iter [01000, 05004], lr: 0.000094, loss: 1.4057
2022-07-17 18:43:41 - train: epoch 0197, iter [01100, 05004], lr: 0.000093, loss: 1.4056
2022-07-17 18:44:14 - train: epoch 0197, iter [01200, 05004], lr: 0.000092, loss: 1.7295
2022-07-17 18:44:50 - train: epoch 0197, iter [01300, 05004], lr: 0.000091, loss: 1.3897
2022-07-17 18:45:24 - train: epoch 0197, iter [01400, 05004], lr: 0.000090, loss: 1.5659
2022-07-17 18:45:57 - train: epoch 0197, iter [01500, 05004], lr: 0.000089, loss: 1.6896
2022-07-17 18:46:32 - train: epoch 0197, iter [01600, 05004], lr: 0.000088, loss: 1.2415
2022-07-17 18:47:05 - train: epoch 0197, iter [01700, 05004], lr: 0.000087, loss: 1.5558
2022-07-17 18:47:39 - train: epoch 0197, iter [01800, 05004], lr: 0.000086, loss: 1.4469
2022-07-17 18:48:13 - train: epoch 0197, iter [01900, 05004], lr: 0.000085, loss: 1.5547
2022-07-17 18:48:47 - train: epoch 0197, iter [02000, 05004], lr: 0.000084, loss: 1.7052
2022-07-17 18:49:21 - train: epoch 0197, iter [02100, 05004], lr: 0.000083, loss: 1.7895
