2022-03-04 22:34:52 - train: epoch 0190, iter [02700, 05004], lr: 0.000783, loss: 0.7491
2022-03-04 22:35:25 - train: epoch 0190, iter [02800, 05004], lr: 0.000783, loss: 0.6635
2022-03-04 22:35:57 - train: epoch 0190, iter [02900, 05004], lr: 0.000783, loss: 0.7721
2022-03-04 22:36:30 - train: epoch 0190, iter [03000, 05004], lr: 0.000783, loss: 0.7381
2022-03-04 22:37:04 - train: epoch 0190, iter [03100, 05004], lr: 0.000783, loss: 0.7156
2022-03-04 22:37:37 - train: epoch 0190, iter [03200, 05004], lr: 0.000783, loss: 0.9383
2022-03-04 22:38:10 - train: epoch 0190, iter [03300, 05004], lr: 0.000783, loss: 0.8086
2022-03-04 22:38:43 - train: epoch 0190, iter [03400, 05004], lr: 0.000783, loss: 0.7750
2022-03-04 22:39:16 - train: epoch 0190, iter [03500, 05004], lr: 0.000783, loss: 0.6076
2022-03-04 22:39:49 - train: epoch 0190, iter [03600, 05004], lr: 0.000783, loss: 0.6288
2022-03-04 22:40:23 - train: epoch 0190, iter [03700, 05004], lr: 0.000783, loss: 0.6426
2022-03-04 22:40:55 - train: epoch 0190, iter [03800, 05004], lr: 0.000783, loss: 0.6727
2022-03-04 22:41:28 - train: epoch 0190, iter [03900, 05004], lr: 0.000783, loss: 0.7071
2022-03-04 22:42:00 - train: epoch 0190, iter [04000, 05004], lr: 0.000783, loss: 0.7732
2022-03-04 22:42:33 - train: epoch 0190, iter [04100, 05004], lr: 0.000783, loss: 0.7827
2022-03-04 22:43:07 - train: epoch 0190, iter [04200, 05004], lr: 0.000783, loss: 0.7037
2022-03-04 22:43:40 - train: epoch 0190, iter [04300, 05004], lr: 0.000783, loss: 0.7729
2022-03-04 22:44:13 - train: epoch 0190, iter [04400, 05004], lr: 0.000783, loss: 0.6799
2022-03-04 22:44:47 - train: epoch 0190, iter [04500, 05004], lr: 0.000783, loss: 0.7855
2022-03-04 22:45:19 - train: epoch 0190, iter [04600, 05004], lr: 0.000783, loss: 0.9053
2022-03-04 22:45:53 - train: epoch 0190, iter [04700, 05004], lr: 0.000783, loss: 0.8380
2022-03-04 22:46:26 - train: epoch 0190, iter [04800, 05004], lr: 0.000783, loss: 0.7794
2022-03-04 22:47:00 - train: epoch 0190, iter [04900, 05004], lr: 0.000783, loss: 0.6789
2022-03-04 22:47:31 - train: epoch 0190, iter [05000, 05004], lr: 0.000783, loss: 0.9025
2022-03-04 22:47:32 - train: epoch 190, train_loss: 0.7644
2022-03-04 22:48:46 - eval: epoch: 190, acc1: 76.888%, acc5: 93.446%, test_loss: 0.9245, per_image_load_time: 2.361ms, per_image_inference_time: 0.525ms
2022-03-04 22:48:47 - until epoch: 190, best_acc1: 76.888%
2022-03-04 22:48:47 - epoch 191 lr: 0.0006474868681043578
2022-03-04 22:49:25 - train: epoch 0191, iter [00100, 05004], lr: 0.000647, loss: 0.7047
2022-03-04 22:49:58 - train: epoch 0191, iter [00200, 05004], lr: 0.000647, loss: 0.7747
2022-03-04 22:50:31 - train: epoch 0191, iter [00300, 05004], lr: 0.000647, loss: 0.7990
2022-03-04 22:51:04 - train: epoch 0191, iter [00400, 05004], lr: 0.000647, loss: 0.8428
2022-03-04 22:51:38 - train: epoch 0191, iter [00500, 05004], lr: 0.000647, loss: 0.7345
2022-03-04 22:52:10 - train: epoch 0191, iter [00600, 05004], lr: 0.000647, loss: 0.7729
2022-03-04 22:52:43 - train: epoch 0191, iter [00700, 05004], lr: 0.000647, loss: 1.0322
2022-03-04 22:53:17 - train: epoch 0191, iter [00800, 05004], lr: 0.000647, loss: 0.6594
2022-03-04 22:53:50 - train: epoch 0191, iter [00900, 05004], lr: 0.000647, loss: 0.6973
2022-03-04 22:54:23 - train: epoch 0191, iter [01000, 05004], lr: 0.000647, loss: 0.7178
2022-03-04 22:54:57 - train: epoch 0191, iter [01100, 05004], lr: 0.000647, loss: 0.6934
2022-03-04 22:55:31 - train: epoch 0191, iter [01200, 05004], lr: 0.000647, loss: 0.8469
2022-03-04 22:56:04 - train: epoch 0191, iter [01300, 05004], lr: 0.000647, loss: 0.7422
2022-03-04 22:56:37 - train: epoch 0191, iter [01400, 05004], lr: 0.000647, loss: 0.6308
2022-03-04 22:57:10 - train: epoch 0191, iter [01500, 05004], lr: 0.000647, loss: 0.6608
2022-03-04 22:57:44 - train: epoch 0191, iter [01600, 05004], lr: 0.000647, loss: 0.8057
2022-03-04 22:58:18 - train: epoch 0191, iter [01700, 05004], lr: 0.000647, loss: 0.8616
2022-03-04 22:58:51 - train: epoch 0191, iter [01800, 05004], lr: 0.000647, loss: 0.8395
2022-03-04 22:59:23 - train: epoch 0191, iter [01900, 05004], lr: 0.000647, loss: 0.7243
2022-03-04 22:59:57 - train: epoch 0191, iter [02000, 05004], lr: 0.000647, loss: 0.8348
2022-03-04 23:00:30 - train: epoch 0191, iter [02100, 05004], lr: 0.000647, loss: 0.8673
2022-03-04 23:01:04 - train: epoch 0191, iter [02200, 05004], lr: 0.000647, loss: 0.6698
2022-03-04 23:01:37 - train: epoch 0191, iter [02300, 05004], lr: 0.000647, loss: 0.5598
2022-03-04 23:02:10 - train: epoch 0191, iter [02400, 05004], lr: 0.000647, loss: 0.6962
2022-03-04 23:02:44 - train: epoch 0191, iter [02500, 05004], lr: 0.000647, loss: 0.6361
2022-03-04 23:03:17 - train: epoch 0191, iter [02600, 05004], lr: 0.000647, loss: 0.8753
2022-03-04 23:03:50 - train: epoch 0191, iter [02700, 05004], lr: 0.000647, loss: 0.8457
2022-03-04 23:04:23 - train: epoch 0191, iter [02800, 05004], lr: 0.000647, loss: 0.8102
2022-03-04 23:04:56 - train: epoch 0191, iter [02900, 05004], lr: 0.000647, loss: 0.5495
2022-03-04 23:05:30 - train: epoch 0191, iter [03000, 05004], lr: 0.000647, loss: 0.7989
2022-03-04 23:06:03 - train: epoch 0191, iter [03100, 05004], lr: 0.000647, loss: 0.7926
2022-03-04 23:06:37 - train: epoch 0191, iter [03200, 05004], lr: 0.000647, loss: 0.8681
2022-03-04 23:07:10 - train: epoch 0191, iter [03300, 05004], lr: 0.000647, loss: 0.7291
2022-03-04 23:07:44 - train: epoch 0191, iter [03400, 05004], lr: 0.000647, loss: 0.6887
2022-03-04 23:08:17 - train: epoch 0191, iter [03500, 05004], lr: 0.000647, loss: 0.7987
2022-03-04 23:08:50 - train: epoch 0191, iter [03600, 05004], lr: 0.000647, loss: 0.7228
2022-03-04 23:09:24 - train: epoch 0191, iter [03700, 05004], lr: 0.000647, loss: 0.6585
2022-03-04 23:09:56 - train: epoch 0191, iter [03800, 05004], lr: 0.000647, loss: 0.6313
2022-03-04 23:10:30 - train: epoch 0191, iter [03900, 05004], lr: 0.000647, loss: 0.8461
2022-03-04 23:11:03 - train: epoch 0191, iter [04000, 05004], lr: 0.000647, loss: 0.7729
2022-03-04 23:11:37 - train: epoch 0191, iter [04100, 05004], lr: 0.000647, loss: 0.7853
2022-03-04 23:12:10 - train: epoch 0191, iter [04200, 05004], lr: 0.000647, loss: 0.7275
2022-03-04 23:12:43 - train: epoch 0191, iter [04300, 05004], lr: 0.000647, loss: 0.7101
2022-03-04 23:13:17 - train: epoch 0191, iter [04400, 05004], lr: 0.000647, loss: 0.8719
2022-03-04 23:13:50 - train: epoch 0191, iter [04500, 05004], lr: 0.000647, loss: 0.6183
2022-03-04 23:14:23 - train: epoch 0191, iter [04600, 05004], lr: 0.000647, loss: 0.6823
2022-03-04 23:14:56 - train: epoch 0191, iter [04700, 05004], lr: 0.000647, loss: 0.7280
2022-03-04 23:15:29 - train: epoch 0191, iter [04800, 05004], lr: 0.000647, loss: 0.8003
2022-03-04 23:16:02 - train: epoch 0191, iter [04900, 05004], lr: 0.000647, loss: 0.6925
2022-03-04 23:16:34 - train: epoch 0191, iter [05000, 05004], lr: 0.000647, loss: 0.8510
2022-03-04 23:16:36 - train: epoch 191, train_loss: 0.7550
2022-03-04 23:17:49 - eval: epoch: 191, acc1: 76.834%, acc5: 93.452%, test_loss: 0.9260, per_image_load_time: 2.301ms, per_image_inference_time: 0.512ms
2022-03-04 23:17:50 - until epoch: 191, best_acc1: 76.888%
2022-03-04 23:17:50 - epoch 192 lr: 0.000524680027447444
2022-03-04 23:18:27 - train: epoch 0192, iter [00100, 05004], lr: 0.000525, loss: 0.8080
2022-03-04 23:19:00 - train: epoch 0192, iter [00200, 05004], lr: 0.000525, loss: 0.8592
2022-03-04 23:19:34 - train: epoch 0192, iter [00300, 05004], lr: 0.000525, loss: 0.6124
2022-03-04 23:20:06 - train: epoch 0192, iter [00400, 05004], lr: 0.000525, loss: 0.7435
2022-03-04 23:20:40 - train: epoch 0192, iter [00500, 05004], lr: 0.000525, loss: 0.7606
2022-03-04 23:21:12 - train: epoch 0192, iter [00600, 05004], lr: 0.000525, loss: 0.7678
2022-03-04 23:21:46 - train: epoch 0192, iter [00700, 05004], lr: 0.000525, loss: 1.0333
2022-03-04 23:22:19 - train: epoch 0192, iter [00800, 05004], lr: 0.000525, loss: 0.6469
2022-03-04 23:22:52 - train: epoch 0192, iter [00900, 05004], lr: 0.000525, loss: 0.7515
2022-03-04 23:23:26 - train: epoch 0192, iter [01000, 05004], lr: 0.000525, loss: 0.7302
2022-03-04 23:23:59 - train: epoch 0192, iter [01100, 05004], lr: 0.000525, loss: 0.7094
2022-03-04 23:24:32 - train: epoch 0192, iter [01200, 05004], lr: 0.000525, loss: 0.7827
2022-03-04 23:25:06 - train: epoch 0192, iter [01300, 05004], lr: 0.000525, loss: 0.7896
2022-03-04 23:25:39 - train: epoch 0192, iter [01400, 05004], lr: 0.000525, loss: 0.6770
2022-03-04 23:26:12 - train: epoch 0192, iter [01500, 05004], lr: 0.000525, loss: 0.7465
2022-03-04 23:26:45 - train: epoch 0192, iter [01600, 05004], lr: 0.000525, loss: 0.6557
2022-03-04 23:27:19 - train: epoch 0192, iter [01700, 05004], lr: 0.000525, loss: 0.6570
2022-03-04 23:27:52 - train: epoch 0192, iter [01800, 05004], lr: 0.000525, loss: 0.5916
2022-03-04 23:28:25 - train: epoch 0192, iter [01900, 05004], lr: 0.000525, loss: 0.7926
2022-03-04 23:28:58 - train: epoch 0192, iter [02000, 05004], lr: 0.000525, loss: 0.8635
2022-03-04 23:29:31 - train: epoch 0192, iter [02100, 05004], lr: 0.000525, loss: 0.6874
2022-03-04 23:30:05 - train: epoch 0192, iter [02200, 05004], lr: 0.000525, loss: 0.9231
2022-03-04 23:30:38 - train: epoch 0192, iter [02300, 05004], lr: 0.000525, loss: 0.6780
2022-03-04 23:31:12 - train: epoch 0192, iter [02400, 05004], lr: 0.000525, loss: 0.6770
2022-03-04 23:31:45 - train: epoch 0192, iter [02500, 05004], lr: 0.000525, loss: 0.7619
2022-03-04 23:32:19 - train: epoch 0192, iter [02600, 05004], lr: 0.000525, loss: 0.8928
2022-03-04 23:32:52 - train: epoch 0192, iter [02700, 05004], lr: 0.000525, loss: 0.7487
2022-03-04 23:33:25 - train: epoch 0192, iter [02800, 05004], lr: 0.000525, loss: 0.8930
2022-03-04 23:33:59 - train: epoch 0192, iter [02900, 05004], lr: 0.000525, loss: 0.7380
2022-03-04 23:34:32 - train: epoch 0192, iter [03000, 05004], lr: 0.000525, loss: 0.8279
2022-03-04 23:35:05 - train: epoch 0192, iter [03100, 05004], lr: 0.000525, loss: 0.7378
2022-03-04 23:35:39 - train: epoch 0192, iter [03200, 05004], lr: 0.000525, loss: 0.5791
2022-03-04 23:36:13 - train: epoch 0192, iter [03300, 05004], lr: 0.000525, loss: 0.7528
2022-03-04 23:36:46 - train: epoch 0192, iter [03400, 05004], lr: 0.000525, loss: 0.8965
2022-03-04 23:37:19 - train: epoch 0192, iter [03500, 05004], lr: 0.000525, loss: 0.7226
2022-03-04 23:37:52 - train: epoch 0192, iter [03600, 05004], lr: 0.000525, loss: 0.8460
2022-03-04 23:38:25 - train: epoch 0192, iter [03700, 05004], lr: 0.000525, loss: 0.7506
2022-03-04 23:38:58 - train: epoch 0192, iter [03800, 05004], lr: 0.000525, loss: 0.7037
2022-03-04 23:39:32 - train: epoch 0192, iter [03900, 05004], lr: 0.000525, loss: 0.7462
2022-03-04 23:40:05 - train: epoch 0192, iter [04000, 05004], lr: 0.000525, loss: 0.7484
2022-03-04 23:40:39 - train: epoch 0192, iter [04100, 05004], lr: 0.000525, loss: 0.6817
2022-03-04 23:41:12 - train: epoch 0192, iter [04200, 05004], lr: 0.000525, loss: 0.8768
2022-03-04 23:41:46 - train: epoch 0192, iter [04300, 05004], lr: 0.000525, loss: 0.6806
2022-03-04 23:42:20 - train: epoch 0192, iter [04400, 05004], lr: 0.000525, loss: 0.6991
2022-03-04 23:42:52 - train: epoch 0192, iter [04500, 05004], lr: 0.000525, loss: 0.7944
2022-03-04 23:43:25 - train: epoch 0192, iter [04600, 05004], lr: 0.000525, loss: 0.7888
2022-03-04 23:43:59 - train: epoch 0192, iter [04700, 05004], lr: 0.000525, loss: 0.6937
2022-03-04 23:44:33 - train: epoch 0192, iter [04800, 05004], lr: 0.000525, loss: 0.6981
2022-03-04 23:45:05 - train: epoch 0192, iter [04900, 05004], lr: 0.000525, loss: 0.8346
2022-03-04 23:45:38 - train: epoch 0192, iter [05000, 05004], lr: 0.000525, loss: 0.7146
