2022-03-08 13:19:03 - train: epoch 0148, iter [00500, 05004], lr: 0.017146, loss: 2.1122
2022-03-08 13:19:36 - train: epoch 0148, iter [00600, 05004], lr: 0.017146, loss: 2.2621
2022-03-08 13:20:11 - train: epoch 0148, iter [00700, 05004], lr: 0.017146, loss: 2.1097
2022-03-08 13:20:44 - train: epoch 0148, iter [00800, 05004], lr: 0.017146, loss: 2.0181
2022-03-08 13:21:19 - train: epoch 0148, iter [00900, 05004], lr: 0.017146, loss: 2.2497
2022-03-08 13:21:52 - train: epoch 0148, iter [01000, 05004], lr: 0.017146, loss: 2.3243
2022-03-08 13:22:25 - train: epoch 0148, iter [01100, 05004], lr: 0.017146, loss: 2.3350
2022-03-08 13:22:59 - train: epoch 0148, iter [01200, 05004], lr: 0.017146, loss: 2.2442
2022-03-08 13:23:34 - train: epoch 0148, iter [01300, 05004], lr: 0.017146, loss: 2.4320
2022-03-08 13:24:07 - train: epoch 0148, iter [01400, 05004], lr: 0.017146, loss: 2.3390
2022-03-08 13:24:42 - train: epoch 0148, iter [01500, 05004], lr: 0.017146, loss: 2.2574
2022-03-08 13:25:16 - train: epoch 0148, iter [01600, 05004], lr: 0.017146, loss: 2.5477
2022-03-08 13:25:50 - train: epoch 0148, iter [01700, 05004], lr: 0.017146, loss: 2.6773
2022-03-08 13:26:24 - train: epoch 0148, iter [01800, 05004], lr: 0.017146, loss: 2.3592
2022-03-08 13:26:58 - train: epoch 0148, iter [01900, 05004], lr: 0.017146, loss: 2.3085
2022-03-08 13:27:31 - train: epoch 0148, iter [02000, 05004], lr: 0.017146, loss: 2.3623
2022-03-08 13:28:05 - train: epoch 0148, iter [02100, 05004], lr: 0.017146, loss: 2.2204
2022-03-08 13:28:39 - train: epoch 0148, iter [02200, 05004], lr: 0.017146, loss: 2.2456
2022-03-08 13:29:12 - train: epoch 0148, iter [02300, 05004], lr: 0.017146, loss: 2.4961
2022-03-08 13:29:46 - train: epoch 0148, iter [02400, 05004], lr: 0.017146, loss: 2.1750
2022-03-08 13:30:21 - train: epoch 0148, iter [02500, 05004], lr: 0.017146, loss: 2.1769
2022-03-08 13:30:55 - train: epoch 0148, iter [02600, 05004], lr: 0.017146, loss: 2.2443
2022-03-08 13:31:29 - train: epoch 0148, iter [02700, 05004], lr: 0.017146, loss: 2.2003
2022-03-08 13:32:03 - train: epoch 0148, iter [02800, 05004], lr: 0.017146, loss: 2.4475
2022-03-08 13:32:37 - train: epoch 0148, iter [02900, 05004], lr: 0.017146, loss: 2.5029
2022-03-08 13:33:10 - train: epoch 0148, iter [03000, 05004], lr: 0.017146, loss: 2.4446
2022-03-08 13:33:44 - train: epoch 0148, iter [03100, 05004], lr: 0.017146, loss: 2.2788
2022-03-08 13:34:18 - train: epoch 0148, iter [03200, 05004], lr: 0.017146, loss: 2.2389
2022-03-08 13:34:52 - train: epoch 0148, iter [03300, 05004], lr: 0.017146, loss: 2.2626
2022-03-08 13:35:27 - train: epoch 0148, iter [03400, 05004], lr: 0.017146, loss: 2.5395
2022-03-08 13:36:00 - train: epoch 0148, iter [03500, 05004], lr: 0.017146, loss: 2.5090
2022-03-08 13:36:34 - train: epoch 0148, iter [03600, 05004], lr: 0.017146, loss: 2.2666
2022-03-08 13:37:09 - train: epoch 0148, iter [03700, 05004], lr: 0.017146, loss: 2.2374
2022-03-08 13:37:42 - train: epoch 0148, iter [03800, 05004], lr: 0.017146, loss: 2.4215
2022-03-08 13:38:16 - train: epoch 0148, iter [03900, 05004], lr: 0.017146, loss: 2.2138
2022-03-08 13:38:49 - train: epoch 0148, iter [04000, 05004], lr: 0.017146, loss: 2.2680
2022-03-08 13:39:24 - train: epoch 0148, iter [04100, 05004], lr: 0.017146, loss: 2.2448
2022-03-08 13:39:57 - train: epoch 0148, iter [04200, 05004], lr: 0.017146, loss: 2.2466
2022-03-08 13:40:32 - train: epoch 0148, iter [04300, 05004], lr: 0.017146, loss: 2.3971
2022-03-08 13:41:06 - train: epoch 0148, iter [04400, 05004], lr: 0.017146, loss: 2.2052
2022-03-08 13:41:40 - train: epoch 0148, iter [04500, 05004], lr: 0.017146, loss: 2.3576
2022-03-08 13:42:14 - train: epoch 0148, iter [04600, 05004], lr: 0.017146, loss: 2.3619
2022-03-08 13:42:49 - train: epoch 0148, iter [04700, 05004], lr: 0.017146, loss: 2.0928
2022-03-08 13:43:22 - train: epoch 0148, iter [04800, 05004], lr: 0.017146, loss: 2.0945
2022-03-08 13:43:56 - train: epoch 0148, iter [04900, 05004], lr: 0.017146, loss: 2.7430
2022-03-08 13:44:28 - train: epoch 0148, iter [05000, 05004], lr: 0.017146, loss: 2.7417
2022-03-08 13:44:30 - train: epoch 148, train_loss: 2.3406
2022-03-08 13:45:43 - eval: epoch: 148, acc1: 67.630%, acc5: 88.506%, test_loss: 1.3130, per_image_load_time: 0.891ms, per_image_inference_time: 0.500ms
2022-03-08 13:45:44 - until epoch: 148, best_acc1: 68.366%
2022-03-08 13:45:44 - epoch 149 lr: 0.016543469682057107
2022-03-08 13:46:23 - train: epoch 0149, iter [00100, 05004], lr: 0.016543, loss: 2.3803
2022-03-08 13:46:57 - train: epoch 0149, iter [00200, 05004], lr: 0.016543, loss: 2.2133
2022-03-08 13:47:31 - train: epoch 0149, iter [00300, 05004], lr: 0.016543, loss: 2.5145
2022-03-08 13:48:05 - train: epoch 0149, iter [00400, 05004], lr: 0.016543, loss: 2.0442
2022-03-08 13:48:38 - train: epoch 0149, iter [00500, 05004], lr: 0.016543, loss: 2.2528
2022-03-08 13:49:12 - train: epoch 0149, iter [00600, 05004], lr: 0.016543, loss: 2.3409
2022-03-08 13:49:46 - train: epoch 0149, iter [00700, 05004], lr: 0.016543, loss: 2.5722
2022-03-08 13:50:20 - train: epoch 0149, iter [00800, 05004], lr: 0.016543, loss: 2.4865
2022-03-08 13:50:54 - train: epoch 0149, iter [00900, 05004], lr: 0.016543, loss: 2.4558
2022-03-08 13:51:29 - train: epoch 0149, iter [01000, 05004], lr: 0.016543, loss: 2.4859
2022-03-08 13:52:03 - train: epoch 0149, iter [01100, 05004], lr: 0.016543, loss: 2.2960
2022-03-08 13:52:36 - train: epoch 0149, iter [01200, 05004], lr: 0.016543, loss: 2.3871
2022-03-08 13:53:10 - train: epoch 0149, iter [01300, 05004], lr: 0.016543, loss: 2.4994
2022-03-08 13:53:45 - train: epoch 0149, iter [01400, 05004], lr: 0.016543, loss: 2.0830
2022-03-08 13:54:19 - train: epoch 0149, iter [01500, 05004], lr: 0.016543, loss: 2.1808
2022-03-08 13:54:53 - train: epoch 0149, iter [01600, 05004], lr: 0.016543, loss: 2.2954
2022-03-08 13:55:27 - train: epoch 0149, iter [01700, 05004], lr: 0.016543, loss: 2.2593
2022-03-08 13:56:02 - train: epoch 0149, iter [01800, 05004], lr: 0.016543, loss: 2.0189
2022-03-08 13:56:37 - train: epoch 0149, iter [01900, 05004], lr: 0.016543, loss: 2.3643
2022-03-08 13:57:11 - train: epoch 0149, iter [02000, 05004], lr: 0.016543, loss: 2.5393
2022-03-08 13:57:45 - train: epoch 0149, iter [02100, 05004], lr: 0.016543, loss: 2.5331
2022-03-08 13:58:19 - train: epoch 0149, iter [02200, 05004], lr: 0.016543, loss: 2.2141
2022-03-08 13:58:53 - train: epoch 0149, iter [02300, 05004], lr: 0.016543, loss: 2.3811
2022-03-08 13:59:28 - train: epoch 0149, iter [02400, 05004], lr: 0.016543, loss: 2.2873
2022-03-08 14:00:01 - train: epoch 0149, iter [02500, 05004], lr: 0.016543, loss: 2.2997
2022-03-08 14:00:35 - train: epoch 0149, iter [02600, 05004], lr: 0.016543, loss: 2.4362
2022-03-08 14:01:08 - train: epoch 0149, iter [02700, 05004], lr: 0.016543, loss: 2.5872
2022-03-08 14:01:43 - train: epoch 0149, iter [02800, 05004], lr: 0.016543, loss: 2.0638
2022-03-08 14:02:16 - train: epoch 0149, iter [02900, 05004], lr: 0.016543, loss: 2.2595
2022-03-08 14:02:50 - train: epoch 0149, iter [03000, 05004], lr: 0.016543, loss: 2.3328
2022-03-08 14:03:23 - train: epoch 0149, iter [03100, 05004], lr: 0.016543, loss: 2.2354
2022-03-08 14:03:57 - train: epoch 0149, iter [03200, 05004], lr: 0.016543, loss: 2.1936
2022-03-08 14:04:31 - train: epoch 0149, iter [03300, 05004], lr: 0.016543, loss: 2.2927
2022-03-08 14:05:05 - train: epoch 0149, iter [03400, 05004], lr: 0.016543, loss: 2.3096
2022-03-08 14:05:38 - train: epoch 0149, iter [03500, 05004], lr: 0.016543, loss: 2.4339
2022-03-08 14:06:12 - train: epoch 0149, iter [03600, 05004], lr: 0.016543, loss: 2.3735
2022-03-08 14:06:45 - train: epoch 0149, iter [03700, 05004], lr: 0.016543, loss: 1.8748
2022-03-08 14:07:19 - train: epoch 0149, iter [03800, 05004], lr: 0.016543, loss: 2.2680
2022-03-08 14:07:53 - train: epoch 0149, iter [03900, 05004], lr: 0.016543, loss: 2.4088
2022-03-08 14:08:28 - train: epoch 0149, iter [04000, 05004], lr: 0.016543, loss: 2.4181
2022-03-08 14:09:01 - train: epoch 0149, iter [04100, 05004], lr: 0.016543, loss: 2.3093
2022-03-08 14:09:36 - train: epoch 0149, iter [04200, 05004], lr: 0.016543, loss: 1.8061
2022-03-08 14:10:08 - train: epoch 0149, iter [04300, 05004], lr: 0.016543, loss: 2.4083
2022-03-08 14:10:43 - train: epoch 0149, iter [04400, 05004], lr: 0.016543, loss: 2.5934
2022-03-08 14:11:16 - train: epoch 0149, iter [04500, 05004], lr: 0.016543, loss: 2.2898
2022-03-08 14:11:51 - train: epoch 0149, iter [04600, 05004], lr: 0.016543, loss: 2.2159
2022-03-08 14:12:25 - train: epoch 0149, iter [04700, 05004], lr: 0.016543, loss: 2.3865
2022-03-08 14:13:01 - train: epoch 0149, iter [04800, 05004], lr: 0.016543, loss: 2.2801
2022-03-08 14:13:34 - train: epoch 0149, iter [04900, 05004], lr: 0.016543, loss: 2.2280
2022-03-08 14:14:07 - train: epoch 0149, iter [05000, 05004], lr: 0.016543, loss: 2.1686
2022-03-08 14:14:08 - train: epoch 149, train_loss: 2.3269
2022-03-08 14:15:22 - eval: epoch: 149, acc1: 68.352%, acc5: 88.824%, test_loss: 1.2862, per_image_load_time: 0.810ms, per_image_inference_time: 0.513ms
2022-03-08 14:15:23 - until epoch: 149, best_acc1: 68.366%
2022-03-08 14:15:23 - epoch 150 lr: 0.015949207060660137
2022-03-08 14:16:02 - train: epoch 0150, iter [00100, 05004], lr: 0.015949, loss: 2.1920
2022-03-08 14:16:36 - train: epoch 0150, iter [00200, 05004], lr: 0.015949, loss: 2.2113
2022-03-08 14:17:10 - train: epoch 0150, iter [00300, 05004], lr: 0.015949, loss: 2.4499
2022-03-08 14:17:44 - train: epoch 0150, iter [00400, 05004], lr: 0.015949, loss: 2.2980
2022-03-08 14:18:18 - train: epoch 0150, iter [00500, 05004], lr: 0.015949, loss: 2.1541
2022-03-08 14:18:52 - train: epoch 0150, iter [00600, 05004], lr: 0.015949, loss: 2.1271
2022-03-08 14:19:26 - train: epoch 0150, iter [00700, 05004], lr: 0.015949, loss: 2.1472
2022-03-08 14:20:00 - train: epoch 0150, iter [00800, 05004], lr: 0.015949, loss: 2.4785
2022-03-08 14:20:35 - train: epoch 0150, iter [00900, 05004], lr: 0.015949, loss: 2.2315
2022-03-08 14:21:09 - train: epoch 0150, iter [01000, 05004], lr: 0.015949, loss: 2.4322
2022-03-08 14:21:43 - train: epoch 0150, iter [01100, 05004], lr: 0.015949, loss: 2.6633
2022-03-08 14:22:16 - train: epoch 0150, iter [01200, 05004], lr: 0.015949, loss: 2.1210
2022-03-08 14:22:51 - train: epoch 0150, iter [01300, 05004], lr: 0.015949, loss: 2.4297
2022-03-08 14:23:26 - train: epoch 0150, iter [01400, 05004], lr: 0.015949, loss: 2.0926
2022-03-08 14:23:59 - train: epoch 0150, iter [01500, 05004], lr: 0.015949, loss: 2.0559
2022-03-08 14:24:34 - train: epoch 0150, iter [01600, 05004], lr: 0.015949, loss: 2.3659
2022-03-08 14:25:09 - train: epoch 0150, iter [01700, 05004], lr: 0.015949, loss: 2.4211
2022-03-08 14:25:43 - train: epoch 0150, iter [01800, 05004], lr: 0.015949, loss: 2.6642
2022-03-08 14:26:17 - train: epoch 0150, iter [01900, 05004], lr: 0.015949, loss: 2.1058
2022-03-08 14:26:51 - train: epoch 0150, iter [02000, 05004], lr: 0.015949, loss: 2.3161
2022-03-08 14:27:25 - train: epoch 0150, iter [02100, 05004], lr: 0.015949, loss: 2.1174
2022-03-08 14:28:00 - train: epoch 0150, iter [02200, 05004], lr: 0.015949, loss: 2.2869
2022-03-08 14:28:34 - train: epoch 0150, iter [02300, 05004], lr: 0.015949, loss: 2.5586
2022-03-08 14:29:08 - train: epoch 0150, iter [02400, 05004], lr: 0.015949, loss: 2.6337
2022-03-08 14:29:42 - train: epoch 0150, iter [02500, 05004], lr: 0.015949, loss: 2.1493
2022-03-08 14:30:17 - train: epoch 0150, iter [02600, 05004], lr: 0.015949, loss: 2.1851
2022-03-08 14:30:51 - train: epoch 0150, iter [02700, 05004], lr: 0.015949, loss: 2.1578
2022-03-08 14:31:25 - train: epoch 0150, iter [02800, 05004], lr: 0.015949, loss: 2.3679
2022-03-08 14:31:59 - train: epoch 0150, iter [02900, 05004], lr: 0.015949, loss: 2.0762
2022-03-08 14:32:34 - train: epoch 0150, iter [03000, 05004], lr: 0.015949, loss: 2.2033
2022-03-08 14:33:09 - train: epoch 0150, iter [03100, 05004], lr: 0.015949, loss: 2.3711
2022-03-08 14:33:42 - train: epoch 0150, iter [03200, 05004], lr: 0.015949, loss: 2.3346
2022-03-08 14:34:16 - train: epoch 0150, iter [03300, 05004], lr: 0.015949, loss: 2.4429
2022-03-08 14:34:50 - train: epoch 0150, iter [03400, 05004], lr: 0.015949, loss: 2.4078
2022-03-08 14:35:25 - train: epoch 0150, iter [03500, 05004], lr: 0.015949, loss: 2.3146
