2022-03-04 02:14:46 - train: epoch 0079, iter [05000, 05004], lr: 0.001000, loss: 1.1145
2022-03-04 02:14:50 - train: epoch 079, train_loss: 1.2074
2022-03-04 02:16:07 - eval: epoch: 079, acc1: 72.270%, acc5: 90.870%, test_loss: 1.0940, per_image_load_time: 1.618ms, per_image_inference_time: 0.948ms
2022-03-04 02:16:07 - until epoch: 079, best_acc1: 72.474%
2022-03-04 02:16:07 - epoch 080 lr: 0.0010000000000000002
2022-03-04 02:16:54 - train: epoch 0080, iter [00100, 05004], lr: 0.001000, loss: 1.0125
2022-03-04 02:17:35 - train: epoch 0080, iter [00200, 05004], lr: 0.001000, loss: 1.1040
2022-03-04 02:18:17 - train: epoch 0080, iter [00300, 05004], lr: 0.001000, loss: 1.2910
2022-03-04 02:18:58 - train: epoch 0080, iter [00400, 05004], lr: 0.001000, loss: 1.0431
2022-03-04 02:19:40 - train: epoch 0080, iter [00500, 05004], lr: 0.001000, loss: 1.2974
2022-03-04 02:20:22 - train: epoch 0080, iter [00600, 05004], lr: 0.001000, loss: 1.0972
2022-03-04 02:21:03 - train: epoch 0080, iter [00700, 05004], lr: 0.001000, loss: 1.1098
2022-03-04 02:21:45 - train: epoch 0080, iter [00800, 05004], lr: 0.001000, loss: 1.0939
2022-03-04 02:22:26 - train: epoch 0080, iter [00900, 05004], lr: 0.001000, loss: 1.2130
2022-03-04 02:23:08 - train: epoch 0080, iter [01000, 05004], lr: 0.001000, loss: 1.1397
2022-03-04 02:23:49 - train: epoch 0080, iter [01100, 05004], lr: 0.001000, loss: 1.1622
2022-03-04 02:24:31 - train: epoch 0080, iter [01200, 05004], lr: 0.001000, loss: 1.1526
2022-03-04 02:25:13 - train: epoch 0080, iter [01300, 05004], lr: 0.001000, loss: 1.1010
2022-03-04 02:25:54 - train: epoch 0080, iter [01400, 05004], lr: 0.001000, loss: 1.2435
2022-03-04 02:26:35 - train: epoch 0080, iter [01500, 05004], lr: 0.001000, loss: 1.0607
2022-03-04 02:27:17 - train: epoch 0080, iter [01600, 05004], lr: 0.001000, loss: 1.1204
2022-03-04 02:27:58 - train: epoch 0080, iter [01700, 05004], lr: 0.001000, loss: 1.2286
2022-03-04 02:28:40 - train: epoch 0080, iter [01800, 05004], lr: 0.001000, loss: 1.3455
2022-03-04 02:29:22 - train: epoch 0080, iter [01900, 05004], lr: 0.001000, loss: 1.1598
2022-03-04 02:30:03 - train: epoch 0080, iter [02000, 05004], lr: 0.001000, loss: 1.2415
2022-03-04 02:30:45 - train: epoch 0080, iter [02100, 05004], lr: 0.001000, loss: 1.3156
2022-03-04 02:31:26 - train: epoch 0080, iter [02200, 05004], lr: 0.001000, loss: 1.1940
2022-03-04 02:32:08 - train: epoch 0080, iter [02300, 05004], lr: 0.001000, loss: 1.1268
2022-03-04 02:32:49 - train: epoch 0080, iter [02400, 05004], lr: 0.001000, loss: 1.2878
2022-03-04 02:33:31 - train: epoch 0080, iter [02500, 05004], lr: 0.001000, loss: 1.0927
2022-03-04 02:34:13 - train: epoch 0080, iter [02600, 05004], lr: 0.001000, loss: 1.1447
2022-03-04 02:34:54 - train: epoch 0080, iter [02700, 05004], lr: 0.001000, loss: 1.3384
2022-03-04 02:35:36 - train: epoch 0080, iter [02800, 05004], lr: 0.001000, loss: 1.2389
2022-03-04 02:36:18 - train: epoch 0080, iter [02900, 05004], lr: 0.001000, loss: 1.0974
2022-03-04 02:37:00 - train: epoch 0080, iter [03000, 05004], lr: 0.001000, loss: 1.1770
2022-03-04 02:37:42 - train: epoch 0080, iter [03100, 05004], lr: 0.001000, loss: 1.3262
2022-03-04 02:38:24 - train: epoch 0080, iter [03200, 05004], lr: 0.001000, loss: 0.9170
