2022-02-26 22:58:49 - train: epoch 0089, iter [04300, 05004], lr: 0.001000, loss: 1.3470
2022-02-26 22:59:25 - train: epoch 0089, iter [04400, 05004], lr: 0.001000, loss: 1.2615
2022-02-26 23:00:00 - train: epoch 0089, iter [04500, 05004], lr: 0.001000, loss: 1.1087
2022-02-26 23:00:38 - train: epoch 0089, iter [04600, 05004], lr: 0.001000, loss: 1.2102
2022-02-26 23:01:15 - train: epoch 0089, iter [04700, 05004], lr: 0.001000, loss: 1.2922
2022-02-26 23:01:52 - train: epoch 0089, iter [04800, 05004], lr: 0.001000, loss: 1.3557
2022-02-26 23:02:28 - train: epoch 0089, iter [04900, 05004], lr: 0.001000, loss: 1.3064
2022-02-26 23:03:06 - train: epoch 0089, iter [05000, 05004], lr: 0.001000, loss: 1.0674
2022-02-26 23:03:07 - train: epoch 089, train_loss: 1.2954
2022-02-26 23:04:31 - eval: epoch: 089, acc1: 71.552%, acc5: 90.230%, test_loss: 1.1402, per_image_load_time: 1.039ms, per_image_inference_time: 0.575ms
2022-02-26 23:04:31 - until epoch: 089, best_acc1: 71.592%
2022-02-26 23:04:31 - epoch 090 lr: 0.0010000000000000002
2022-02-26 23:05:15 - train: epoch 0090, iter [00100, 05004], lr: 0.001000, loss: 1.3114
2022-02-26 23:05:52 - train: epoch 0090, iter [00200, 05004], lr: 0.001000, loss: 1.3270
2022-02-26 23:06:29 - train: epoch 0090, iter [00300, 05004], lr: 0.001000, loss: 1.2468
2022-02-26 23:07:06 - train: epoch 0090, iter [00400, 05004], lr: 0.001000, loss: 1.1425
2022-02-26 23:07:43 - train: epoch 0090, iter [00500, 05004], lr: 0.001000, loss: 1.3250
2022-02-26 23:08:23 - train: epoch 0090, iter [00600, 05004], lr: 0.001000, loss: 1.4692
2022-02-26 23:09:02 - train: epoch 0090, iter [00700, 05004], lr: 0.001000, loss: 1.3661
2022-02-26 23:09:41 - train: epoch 0090, iter [00800, 05004], lr: 0.001000, loss: 1.1951
2022-02-26 23:10:20 - train: epoch 0090, iter [00900, 05004], lr: 0.001000, loss: 1.2556
2022-02-26 23:10:57 - train: epoch 0090, iter [01000, 05004], lr: 0.001000, loss: 1.0419
2022-02-26 23:11:35 - train: epoch 0090, iter [01100, 05004], lr: 0.001000, loss: 1.4033
2022-02-26 23:12:15 - train: epoch 0090, iter [01200, 05004], lr: 0.001000, loss: 1.2962
2022-02-26 23:12:54 - train: epoch 0090, iter [01300, 05004], lr: 0.001000, loss: 1.5000
2022-02-26 23:13:34 - train: epoch 0090, iter [01400, 05004], lr: 0.001000, loss: 1.1175
2022-02-26 23:14:13 - train: epoch 0090, iter [01500, 05004], lr: 0.001000, loss: 1.6325
2022-02-26 23:14:52 - train: epoch 0090, iter [01600, 05004], lr: 0.001000, loss: 1.2059
2022-02-26 23:15:29 - train: epoch 0090, iter [01700, 05004], lr: 0.001000, loss: 1.1200
2022-02-26 23:16:06 - train: epoch 0090, iter [01800, 05004], lr: 0.001000, loss: 1.2040
2022-02-26 23:16:43 - train: epoch 0090, iter [01900, 05004], lr: 0.001000, loss: 1.2152
2022-02-26 23:17:20 - train: epoch 0090, iter [02000, 05004], lr: 0.001000, loss: 1.4485
2022-02-26 23:17:59 - train: epoch 0090, iter [02100, 05004], lr: 0.001000, loss: 1.4401
2022-02-26 23:18:39 - train: epoch 0090, iter [02200, 05004], lr: 0.001000, loss: 1.3242
2022-02-26 23:19:16 - train: epoch 0090, iter [02300, 05004], lr: 0.001000, loss: 1.4256
2022-02-26 23:19:54 - train: epoch 0090, iter [02400, 05004], lr: 0.001000, loss: 1.3061
2022-02-26 23:20:32 - train: epoch 0090, iter [02500, 05004], lr: 0.001000, loss: 1.4044
2022-02-26 23:21:08 - train: epoch 0090, iter [02600, 05004], lr: 0.001000, loss: 1.3340
2022-02-26 23:21:45 - train: epoch 0090, iter [02700, 05004], lr: 0.001000, loss: 1.2010
2022-02-26 23:22:22 - train: epoch 0090, iter [02800, 05004], lr: 0.001000, loss: 1.3787
2022-02-26 23:23:00 - train: epoch 0090, iter [02900, 05004], lr: 0.001000, loss: 1.2433
2022-02-26 23:23:41 - train: epoch 0090, iter [03000, 05004], lr: 0.001000, loss: 1.2145
2022-02-26 23:24:18 - train: epoch 0090, iter [03100, 05004], lr: 0.001000, loss: 1.1681
2022-02-26 23:24:56 - train: epoch 0090, iter [03200, 05004], lr: 0.001000, loss: 1.2787
2022-02-26 23:25:33 - train: epoch 0090, iter [03300, 05004], lr: 0.001000, loss: 1.4524
2022-02-26 23:26:10 - train: epoch 0090, iter [03400, 05004], lr: 0.001000, loss: 1.1429
2022-02-26 23:26:48 - train: epoch 0090, iter [03500, 05004], lr: 0.001000, loss: 1.3044
2022-02-26 23:27:24 - train: epoch 0090, iter [03600, 05004], lr: 0.001000, loss: 1.2730
2022-02-26 23:28:02 - train: epoch 0090, iter [03700, 05004], lr: 0.001000, loss: 1.2888
2022-02-26 23:28:42 - train: epoch 0090, iter [03800, 05004], lr: 0.001000, loss: 1.3183
2022-02-26 23:29:20 - train: epoch 0090, iter [03900, 05004], lr: 0.001000, loss: 1.0967
2022-02-26 23:29:58 - train: epoch 0090, iter [04000, 05004], lr: 0.001000, loss: 1.1604
2022-02-26 23:30:37 - train: epoch 0090, iter [04100, 05004], lr: 0.001000, loss: 1.6141
2022-02-26 23:31:14 - train: epoch 0090, iter [04200, 05004], lr: 0.001000, loss: 1.4544
2022-02-26 23:31:50 - train: epoch 0090, iter [04300, 05004], lr: 0.001000, loss: 1.3497
