2022-02-25 21:59:01 - eval: epoch: 073, acc1: 54.450%, acc5: 78.620%, test_loss: 1.9621, per_image_load_time: 1.925ms, per_image_inference_time: 0.219ms
2022-02-25 21:59:01 - until epoch: 073, best_acc1: 54.518%
2022-02-25 21:59:01 - epoch 074 lr: 0.0010000000000000002
2022-02-25 21:59:40 - train: epoch 0074, iter [00100, 05004], lr: 0.001000, loss: 2.4637
2022-02-25 22:00:15 - train: epoch 0074, iter [00200, 05004], lr: 0.001000, loss: 2.5502
2022-02-25 22:00:49 - train: epoch 0074, iter [00300, 05004], lr: 0.001000, loss: 2.3648
2022-02-25 22:01:22 - train: epoch 0074, iter [00400, 05004], lr: 0.001000, loss: 2.4165
2022-02-25 22:01:56 - train: epoch 0074, iter [00500, 05004], lr: 0.001000, loss: 2.4107
2022-02-25 22:02:30 - train: epoch 0074, iter [00600, 05004], lr: 0.001000, loss: 2.3677
2022-02-25 22:03:03 - train: epoch 0074, iter [00700, 05004], lr: 0.001000, loss: 2.2474
2022-02-25 22:03:37 - train: epoch 0074, iter [00800, 05004], lr: 0.001000, loss: 2.3350
2022-02-25 22:04:11 - train: epoch 0074, iter [00900, 05004], lr: 0.001000, loss: 2.1061
2022-02-25 22:04:45 - train: epoch 0074, iter [01000, 05004], lr: 0.001000, loss: 2.5076
2022-02-25 22:05:18 - train: epoch 0074, iter [01100, 05004], lr: 0.001000, loss: 2.2192
2022-02-25 22:05:52 - train: epoch 0074, iter [01200, 05004], lr: 0.001000, loss: 2.3696
2022-02-25 22:06:26 - train: epoch 0074, iter [01300, 05004], lr: 0.001000, loss: 2.3144
2022-02-25 22:07:01 - train: epoch 0074, iter [01400, 05004], lr: 0.001000, loss: 2.1808
2022-02-25 22:07:34 - train: epoch 0074, iter [01500, 05004], lr: 0.001000, loss: 2.2732
2022-02-25 22:08:07 - train: epoch 0074, iter [01600, 05004], lr: 0.001000, loss: 2.1498
2022-02-25 22:08:41 - train: epoch 0074, iter [01700, 05004], lr: 0.001000, loss: 2.3882
2022-02-25 22:09:15 - train: epoch 0074, iter [01800, 05004], lr: 0.001000, loss: 2.5492
