2022-03-07 10:55:51 - train: epoch 0082, iter [04400, 10009], lr: 0.001000, loss: 1.4143
2022-03-07 10:56:11 - train: epoch 0082, iter [04500, 10009], lr: 0.001000, loss: 0.7817
2022-03-07 10:56:31 - train: epoch 0082, iter [04600, 10009], lr: 0.001000, loss: 1.4199
2022-03-07 10:56:51 - train: epoch 0082, iter [04700, 10009], lr: 0.001000, loss: 1.2636
2022-03-07 10:57:11 - train: epoch 0082, iter [04800, 10009], lr: 0.001000, loss: 1.3656
2022-03-07 10:57:30 - train: epoch 0082, iter [04900, 10009], lr: 0.001000, loss: 1.0410
2022-03-07 10:57:50 - train: epoch 0082, iter [05000, 10009], lr: 0.001000, loss: 1.3612
2022-03-07 10:58:10 - train: epoch 0082, iter [05100, 10009], lr: 0.001000, loss: 1.2566
2022-03-07 10:58:29 - train: epoch 0082, iter [05200, 10009], lr: 0.001000, loss: 1.2594
2022-03-07 10:58:49 - train: epoch 0082, iter [05300, 10009], lr: 0.001000, loss: 1.5079
2022-03-07 10:59:09 - train: epoch 0082, iter [05400, 10009], lr: 0.001000, loss: 1.0261
2022-03-07 10:59:29 - train: epoch 0082, iter [05500, 10009], lr: 0.001000, loss: 1.1584
2022-03-07 10:59:49 - train: epoch 0082, iter [05600, 10009], lr: 0.001000, loss: 1.2321
2022-03-07 11:00:08 - train: epoch 0082, iter [05700, 10009], lr: 0.001000, loss: 1.5305
2022-03-07 11:00:28 - train: epoch 0082, iter [05800, 10009], lr: 0.001000, loss: 1.1881
2022-03-07 11:00:48 - train: epoch 0082, iter [05900, 10009], lr: 0.001000, loss: 1.1408
2022-03-07 11:01:08 - train: epoch 0082, iter [06000, 10009], lr: 0.001000, loss: 1.1556
2022-03-07 11:01:28 - train: epoch 0082, iter [06100, 10009], lr: 0.001000, loss: 0.9932
2022-03-07 11:01:47 - train: epoch 0082, iter [06200, 10009], lr: 0.001000, loss: 1.2812
2022-03-07 11:02:07 - train: epoch 0082, iter [06300, 10009], lr: 0.001000, loss: 1.2688
2022-03-07 11:02:27 - train: epoch 0082, iter [06400, 10009], lr: 0.001000, loss: 1.2017
2022-03-07 11:02:47 - train: epoch 0082, iter [06500, 10009], lr: 0.001000, loss: 1.2058
2022-03-07 11:03:07 - train: epoch 0082, iter [06600, 10009], lr: 0.001000, loss: 1.2942
2022-03-07 11:03:26 - train: epoch 0082, iter [06700, 10009], lr: 0.001000, loss: 1.0009
2022-03-07 11:03:46 - train: epoch 0082, iter [06800, 10009], lr: 0.001000, loss: 1.3782
2022-03-07 11:04:06 - train: epoch 0082, iter [06900, 10009], lr: 0.001000, loss: 1.4268
2022-03-07 11:04:26 - train: epoch 0082, iter [07000, 10009], lr: 0.001000, loss: 1.0999
2022-03-07 11:04:46 - train: epoch 0082, iter [07100, 10009], lr: 0.001000, loss: 1.3230
2022-03-07 11:05:06 - train: epoch 0082, iter [07200, 10009], lr: 0.001000, loss: 1.0760
2022-03-07 11:05:26 - train: epoch 0082, iter [07300, 10009], lr: 0.001000, loss: 1.2340
2022-03-07 11:05:46 - train: epoch 0082, iter [07400, 10009], lr: 0.001000, loss: 1.0282
2022-03-07 11:06:05 - train: epoch 0082, iter [07500, 10009], lr: 0.001000, loss: 1.4924
2022-03-07 11:06:25 - train: epoch 0082, iter [07600, 10009], lr: 0.001000, loss: 1.1785
2022-03-07 11:06:45 - train: epoch 0082, iter [07700, 10009], lr: 0.001000, loss: 1.3476
2022-03-07 11:07:05 - train: epoch 0082, iter [07800, 10009], lr: 0.001000, loss: 1.1515
2022-03-07 11:07:25 - train: epoch 0082, iter [07900, 10009], lr: 0.001000, loss: 1.2368
2022-03-07 11:07:45 - train: epoch 0082, iter [08000, 10009], lr: 0.001000, loss: 1.0465
2022-03-07 11:08:05 - train: epoch 0082, iter [08100, 10009], lr: 0.001000, loss: 1.1424
2022-03-07 11:08:24 - train: epoch 0082, iter [08200, 10009], lr: 0.001000, loss: 1.3411
2022-03-07 11:08:44 - train: epoch 0082, iter [08300, 10009], lr: 0.001000, loss: 1.3897
2022-03-07 11:09:04 - train: epoch 0082, iter [08400, 10009], lr: 0.001000, loss: 1.3150
2022-03-07 11:09:24 - train: epoch 0082, iter [08500, 10009], lr: 0.001000, loss: 1.2595
2022-03-07 11:09:44 - train: epoch 0082, iter [08600, 10009], lr: 0.001000, loss: 1.1774
2022-03-07 11:10:04 - train: epoch 0082, iter [08700, 10009], lr: 0.001000, loss: 1.2284
2022-03-07 11:10:25 - train: epoch 0082, iter [08800, 10009], lr: 0.001000, loss: 1.2177
2022-03-07 11:10:44 - train: epoch 0082, iter [08900, 10009], lr: 0.001000, loss: 1.4356
2022-03-07 11:11:05 - train: epoch 0082, iter [09000, 10009], lr: 0.001000, loss: 0.9640
2022-03-07 11:11:25 - train: epoch 0082, iter [09100, 10009], lr: 0.001000, loss: 1.0298
2022-03-07 11:11:45 - train: epoch 0082, iter [09200, 10009], lr: 0.001000, loss: 1.1075
2022-03-07 11:12:05 - train: epoch 0082, iter [09300, 10009], lr: 0.001000, loss: 1.3006
2022-03-07 11:12:24 - train: epoch 0082, iter [09400, 10009], lr: 0.001000, loss: 1.0695
2022-03-07 11:12:45 - train: epoch 0082, iter [09500, 10009], lr: 0.001000, loss: 1.0213
2022-03-07 11:13:05 - train: epoch 0082, iter [09600, 10009], lr: 0.001000, loss: 1.0502
2022-03-07 11:13:24 - train: epoch 0082, iter [09700, 10009], lr: 0.001000, loss: 0.7891
2022-03-07 11:13:44 - train: epoch 0082, iter [09800, 10009], lr: 0.001000, loss: 1.3425
2022-03-07 11:14:04 - train: epoch 0082, iter [09900, 10009], lr: 0.001000, loss: 1.3413
2022-03-07 11:14:24 - train: epoch 0082, iter [10000, 10009], lr: 0.001000, loss: 1.1009
2022-03-07 11:14:27 - train: epoch 082, train_loss: 1.2504
2022-03-07 11:15:42 - eval: epoch: 082, acc1: 72.524%, acc5: 90.644%, test_loss: 1.1077, per_image_load_time: 1.484ms, per_image_inference_time: 0.908ms
2022-03-07 11:15:43 - until epoch: 082, best_acc1: 72.524%
2022-03-07 11:15:43 - epoch 083 lr: 0.0010000000000000002
2022-03-07 11:16:06 - train: epoch 0083, iter [00100, 10009], lr: 0.001000, loss: 1.2938
2022-03-07 11:16:25 - train: epoch 0083, iter [00200, 10009], lr: 0.001000, loss: 1.4435
2022-03-07 11:16:45 - train: epoch 0083, iter [00300, 10009], lr: 0.001000, loss: 1.3964
2022-03-07 11:17:05 - train: epoch 0083, iter [00400, 10009], lr: 0.001000, loss: 1.1438
2022-03-07 11:17:24 - train: epoch 0083, iter [00500, 10009], lr: 0.001000, loss: 1.1999
2022-03-07 11:17:44 - train: epoch 0083, iter [00600, 10009], lr: 0.001000, loss: 1.2654
2022-03-07 11:18:04 - train: epoch 0083, iter [00700, 10009], lr: 0.001000, loss: 1.0782
2022-03-07 11:18:23 - train: epoch 0083, iter [00800, 10009], lr: 0.001000, loss: 1.4858
2022-03-07 11:18:43 - train: epoch 0083, iter [00900, 10009], lr: 0.001000, loss: 1.1910
2022-03-07 11:19:03 - train: epoch 0083, iter [01000, 10009], lr: 0.001000, loss: 1.1764
2022-03-07 11:19:23 - train: epoch 0083, iter [01100, 10009], lr: 0.001000, loss: 1.2459
2022-03-07 11:19:43 - train: epoch 0083, iter [01200, 10009], lr: 0.001000, loss: 1.2406
2022-03-07 11:20:03 - train: epoch 0083, iter [01300, 10009], lr: 0.001000, loss: 1.4967
2022-03-07 11:20:22 - train: epoch 0083, iter [01400, 10009], lr: 0.001000, loss: 1.1672
2022-03-07 11:20:42 - train: epoch 0083, iter [01500, 10009], lr: 0.001000, loss: 1.4926
2022-03-07 11:21:02 - train: epoch 0083, iter [01600, 10009], lr: 0.001000, loss: 1.2967
2022-03-07 11:21:22 - train: epoch 0083, iter [01700, 10009], lr: 0.001000, loss: 1.3162
2022-03-07 11:21:42 - train: epoch 0083, iter [01800, 10009], lr: 0.001000, loss: 1.1939
2022-03-07 11:22:02 - train: epoch 0083, iter [01900, 10009], lr: 0.001000, loss: 1.5702
2022-03-07 11:22:21 - train: epoch 0083, iter [02000, 10009], lr: 0.001000, loss: 1.3933
2022-03-07 11:22:41 - train: epoch 0083, iter [02100, 10009], lr: 0.001000, loss: 1.0254
2022-03-07 11:23:01 - train: epoch 0083, iter [02200, 10009], lr: 0.001000, loss: 1.2735
2022-03-07 11:23:21 - train: epoch 0083, iter [02300, 10009], lr: 0.001000, loss: 1.5338
2022-03-07 11:23:41 - train: epoch 0083, iter [02400, 10009], lr: 0.001000, loss: 1.3538
2022-03-07 11:24:01 - train: epoch 0083, iter [02500, 10009], lr: 0.001000, loss: 1.4288
2022-03-07 11:24:21 - train: epoch 0083, iter [02600, 10009], lr: 0.001000, loss: 1.4732
2022-03-07 11:24:41 - train: epoch 0083, iter [02700, 10009], lr: 0.001000, loss: 1.6254
2022-03-07 11:25:00 - train: epoch 0083, iter [02800, 10009], lr: 0.001000, loss: 1.4890
2022-03-07 11:25:20 - train: epoch 0083, iter [02900, 10009], lr: 0.001000, loss: 1.1645
2022-03-07 11:25:40 - train: epoch 0083, iter [03000, 10009], lr: 0.001000, loss: 1.3424
2022-03-07 11:26:00 - train: epoch 0083, iter [03100, 10009], lr: 0.001000, loss: 1.1621
2022-03-07 11:26:20 - train: epoch 0083, iter [03200, 10009], lr: 0.001000, loss: 1.3178
2022-03-07 11:26:40 - train: epoch 0083, iter [03300, 10009], lr: 0.001000, loss: 1.0994
2022-03-07 11:27:00 - train: epoch 0083, iter [03400, 10009], lr: 0.001000, loss: 1.1008
2022-03-07 11:27:19 - train: epoch 0083, iter [03500, 10009], lr: 0.001000, loss: 1.0903
2022-03-07 11:27:39 - train: epoch 0083, iter [03600, 10009], lr: 0.001000, loss: 1.3445
2022-03-07 11:27:59 - train: epoch 0083, iter [03700, 10009], lr: 0.001000, loss: 1.2482
2022-03-07 11:28:19 - train: epoch 0083, iter [03800, 10009], lr: 0.001000, loss: 1.1362
2022-03-07 11:28:39 - train: epoch 0083, iter [03900, 10009], lr: 0.001000, loss: 1.2286
2022-03-07 11:28:59 - train: epoch 0083, iter [04000, 10009], lr: 0.001000, loss: 0.9863
2022-03-07 11:29:19 - train: epoch 0083, iter [04100, 10009], lr: 0.001000, loss: 1.2748
2022-03-07 11:29:39 - train: epoch 0083, iter [04200, 10009], lr: 0.001000, loss: 1.2664
2022-03-07 11:29:59 - train: epoch 0083, iter [04300, 10009], lr: 0.001000, loss: 1.0501
2022-03-07 11:30:19 - train: epoch 0083, iter [04400, 10009], lr: 0.001000, loss: 1.1506
2022-03-07 11:30:39 - train: epoch 0083, iter [04500, 10009], lr: 0.001000, loss: 1.1626
2022-03-07 11:30:59 - train: epoch 0083, iter [04600, 10009], lr: 0.001000, loss: 1.3882
2022-03-07 11:31:19 - train: epoch 0083, iter [04700, 10009], lr: 0.001000, loss: 1.4348
2022-03-07 11:31:39 - train: epoch 0083, iter [04800, 10009], lr: 0.001000, loss: 1.2963
2022-03-07 11:31:59 - train: epoch 0083, iter [04900, 10009], lr: 0.001000, loss: 1.1065
2022-03-07 11:32:18 - train: epoch 0083, iter [05000, 10009], lr: 0.001000, loss: 0.9602
2022-03-07 11:32:38 - train: epoch 0083, iter [05100, 10009], lr: 0.001000, loss: 1.3210
2022-03-07 11:32:58 - train: epoch 0083, iter [05200, 10009], lr: 0.001000, loss: 1.2294
2022-03-07 11:33:18 - train: epoch 0083, iter [05300, 10009], lr: 0.001000, loss: 1.3369
2022-03-07 11:33:38 - train: epoch 0083, iter [05400, 10009], lr: 0.001000, loss: 1.3156
2022-03-07 11:33:58 - train: epoch 0083, iter [05500, 10009], lr: 0.001000, loss: 1.2411
2022-03-07 11:34:18 - train: epoch 0083, iter [05600, 10009], lr: 0.001000, loss: 1.2080
2022-03-07 11:34:38 - train: epoch 0083, iter [05700, 10009], lr: 0.001000, loss: 1.1963
2022-03-07 11:34:58 - train: epoch 0083, iter [05800, 10009], lr: 0.001000, loss: 1.1557
2022-03-07 11:35:18 - train: epoch 0083, iter [05900, 10009], lr: 0.001000, loss: 1.0216
2022-03-07 11:35:38 - train: epoch 0083, iter [06000, 10009], lr: 0.001000, loss: 1.4045
2022-03-07 11:35:58 - train: epoch 0083, iter [06100, 10009], lr: 0.001000, loss: 1.0655
2022-03-07 11:36:18 - train: epoch 0083, iter [06200, 10009], lr: 0.001000, loss: 1.3377
2022-03-07 11:36:38 - train: epoch 0083, iter [06300, 10009], lr: 0.001000, loss: 1.0892
2022-03-07 11:36:58 - train: epoch 0083, iter [06400, 10009], lr: 0.001000, loss: 1.2269
2022-03-07 11:37:18 - train: epoch 0083, iter [06500, 10009], lr: 0.001000, loss: 1.0340
2022-03-07 11:37:38 - train: epoch 0083, iter [06600, 10009], lr: 0.001000, loss: 1.3537
2022-03-07 11:37:58 - train: epoch 0083, iter [06700, 10009], lr: 0.001000, loss: 1.0643
2022-03-07 11:38:17 - train: epoch 0083, iter [06800, 10009], lr: 0.001000, loss: 1.6055
2022-03-07 11:38:37 - train: epoch 0083, iter [06900, 10009], lr: 0.001000, loss: 1.3178
2022-03-07 11:38:57 - train: epoch 0083, iter [07000, 10009], lr: 0.001000, loss: 1.2516
2022-03-07 11:39:17 - train: epoch 0083, iter [07100, 10009], lr: 0.001000, loss: 1.1711
2022-03-07 11:39:37 - train: epoch 0083, iter [07200, 10009], lr: 0.001000, loss: 1.3242
2022-03-07 11:39:57 - train: epoch 0083, iter [07300, 10009], lr: 0.001000, loss: 1.4527
2022-03-07 11:40:17 - train: epoch 0083, iter [07400, 10009], lr: 0.001000, loss: 0.9854
2022-03-07 11:40:37 - train: epoch 0083, iter [07500, 10009], lr: 0.001000, loss: 0.9184
2022-03-07 11:40:57 - train: epoch 0083, iter [07600, 10009], lr: 0.001000, loss: 1.3080
2022-03-07 11:41:17 - train: epoch 0083, iter [07700, 10009], lr: 0.001000, loss: 1.1600
2022-03-07 11:41:37 - train: epoch 0083, iter [07800, 10009], lr: 0.001000, loss: 1.5186
