2022-03-18 21:39:25 - train: epoch 0089, iter [02200, 05004], lr: 0.001000, loss: 1.1111
2022-03-18 21:39:57 - train: epoch 0089, iter [02300, 05004], lr: 0.001000, loss: 1.0279
2022-03-18 21:40:30 - train: epoch 0089, iter [02400, 05004], lr: 0.001000, loss: 1.3908
2022-03-18 21:41:02 - train: epoch 0089, iter [02500, 05004], lr: 0.001000, loss: 1.2456
2022-03-18 21:41:34 - train: epoch 0089, iter [02600, 05004], lr: 0.001000, loss: 1.0124
2022-03-18 21:42:06 - train: epoch 0089, iter [02700, 05004], lr: 0.001000, loss: 1.1450
2022-03-18 21:42:38 - train: epoch 0089, iter [02800, 05004], lr: 0.001000, loss: 0.9220
2022-03-18 21:43:10 - train: epoch 0089, iter [02900, 05004], lr: 0.001000, loss: 1.1709
2022-03-18 21:43:42 - train: epoch 0089, iter [03000, 05004], lr: 0.001000, loss: 1.1169
2022-03-18 21:44:14 - train: epoch 0089, iter [03100, 05004], lr: 0.001000, loss: 1.1961
2022-03-18 21:44:45 - train: epoch 0089, iter [03200, 05004], lr: 0.001000, loss: 1.2793
2022-03-18 21:45:18 - train: epoch 0089, iter [03300, 05004], lr: 0.001000, loss: 1.2165
2022-03-18 21:45:50 - train: epoch 0089, iter [03400, 05004], lr: 0.001000, loss: 1.0943
2022-03-18 21:46:22 - train: epoch 0089, iter [03500, 05004], lr: 0.001000, loss: 0.9644
2022-03-18 21:46:53 - train: epoch 0089, iter [03600, 05004], lr: 0.001000, loss: 1.1492
2022-03-18 21:47:25 - train: epoch 0089, iter [03700, 05004], lr: 0.001000, loss: 1.2988
2022-03-18 21:47:58 - train: epoch 0089, iter [03800, 05004], lr: 0.001000, loss: 1.1046
2022-03-18 21:48:31 - train: epoch 0089, iter [03900, 05004], lr: 0.001000, loss: 1.0963
2022-03-18 21:49:03 - train: epoch 0089, iter [04000, 05004], lr: 0.001000, loss: 1.0334
2022-03-18 21:49:35 - train: epoch 0089, iter [04100, 05004], lr: 0.001000, loss: 1.1378
2022-03-18 21:50:07 - train: epoch 0089, iter [04200, 05004], lr: 0.001000, loss: 1.0483
2022-03-18 21:50:39 - train: epoch 0089, iter [04300, 05004], lr: 0.001000, loss: 1.0983
2022-03-18 21:51:11 - train: epoch 0089, iter [04400, 05004], lr: 0.001000, loss: 1.0704
2022-03-18 21:51:43 - train: epoch 0089, iter [04500, 05004], lr: 0.001000, loss: 0.8656
2022-03-18 21:52:15 - train: epoch 0089, iter [04600, 05004], lr: 0.001000, loss: 1.0872
2022-03-18 21:52:47 - train: epoch 0089, iter [04700, 05004], lr: 0.001000, loss: 1.0665
2022-03-18 21:53:18 - train: epoch 0089, iter [04800, 05004], lr: 0.001000, loss: 1.1014
2022-03-18 21:53:51 - train: epoch 0089, iter [04900, 05004], lr: 0.001000, loss: 1.3192
2022-03-18 21:54:22 - train: epoch 0089, iter [05000, 05004], lr: 0.001000, loss: 0.9607
2022-03-18 21:54:23 - train: epoch 089, train_loss: 1.1225
2022-03-18 21:55:37 - eval: epoch: 089, acc1: 73.380%, acc5: 91.440%, test_loss: 1.0547, per_image_load_time: 2.331ms, per_image_inference_time: 0.539ms
2022-03-18 21:55:37 - until epoch: 089, best_acc1: 73.534%
2022-03-18 21:55:37 - epoch 090 lr: 0.0010000000000000002
2022-03-18 21:56:16 - train: epoch 0090, iter [00100, 05004], lr: 0.001000, loss: 0.9649
2022-03-18 21:56:47 - train: epoch 0090, iter [00200, 05004], lr: 0.001000, loss: 1.0445
2022-03-18 21:57:19 - train: epoch 0090, iter [00300, 05004], lr: 0.001000, loss: 1.0546
2022-03-18 21:57:51 - train: epoch 0090, iter [00400, 05004], lr: 0.001000, loss: 1.1015
2022-03-18 21:58:23 - train: epoch 0090, iter [00500, 05004], lr: 0.001000, loss: 1.1669
2022-03-18 21:58:55 - train: epoch 0090, iter [00600, 05004], lr: 0.001000, loss: 1.4807
2022-03-18 21:59:27 - train: epoch 0090, iter [00700, 05004], lr: 0.001000, loss: 1.0994
2022-03-18 22:00:00 - train: epoch 0090, iter [00800, 05004], lr: 0.001000, loss: 1.2201
2022-03-18 22:00:31 - train: epoch 0090, iter [00900, 05004], lr: 0.001000, loss: 0.9911
2022-03-18 22:01:03 - train: epoch 0090, iter [01000, 05004], lr: 0.001000, loss: 1.0557
2022-03-18 22:01:35 - train: epoch 0090, iter [01100, 05004], lr: 0.001000, loss: 1.0953
2022-03-18 22:02:06 - train: epoch 0090, iter [01200, 05004], lr: 0.001000, loss: 0.9727
2022-03-18 22:02:38 - train: epoch 0090, iter [01300, 05004], lr: 0.001000, loss: 1.2413
2022-03-18 22:03:10 - train: epoch 0090, iter [01400, 05004], lr: 0.001000, loss: 1.0438
2022-03-18 22:03:42 - train: epoch 0090, iter [01500, 05004], lr: 0.001000, loss: 1.1980
2022-03-18 22:04:14 - train: epoch 0090, iter [01600, 05004], lr: 0.001000, loss: 1.0902
2022-03-18 22:04:46 - train: epoch 0090, iter [01700, 05004], lr: 0.001000, loss: 0.9509
2022-03-18 22:05:18 - train: epoch 0090, iter [01800, 05004], lr: 0.001000, loss: 1.0894
2022-03-18 22:05:49 - train: epoch 0090, iter [01900, 05004], lr: 0.001000, loss: 0.9638
2022-03-18 22:06:21 - train: epoch 0090, iter [02000, 05004], lr: 0.001000, loss: 1.1166
2022-03-18 22:06:54 - train: epoch 0090, iter [02100, 05004], lr: 0.001000, loss: 1.0215
2022-03-18 22:07:26 - train: epoch 0090, iter [02200, 05004], lr: 0.001000, loss: 1.2025
2022-03-18 22:07:58 - train: epoch 0090, iter [02300, 05004], lr: 0.001000, loss: 1.2757
2022-03-18 22:08:30 - train: epoch 0090, iter [02400, 05004], lr: 0.001000, loss: 1.0715
2022-03-18 22:09:02 - train: epoch 0090, iter [02500, 05004], lr: 0.001000, loss: 0.9429
2022-03-18 22:09:34 - train: epoch 0090, iter [02600, 05004], lr: 0.001000, loss: 1.0446
2022-03-18 22:10:06 - train: epoch 0090, iter [02700, 05004], lr: 0.001000, loss: 1.0044
2022-03-18 22:10:38 - train: epoch 0090, iter [02800, 05004], lr: 0.001000, loss: 1.1623
2022-03-18 22:11:10 - train: epoch 0090, iter [02900, 05004], lr: 0.001000, loss: 1.2203
2022-03-18 22:11:42 - train: epoch 0090, iter [03000, 05004], lr: 0.001000, loss: 1.0683
2022-03-18 22:12:14 - train: epoch 0090, iter [03100, 05004], lr: 0.001000, loss: 1.1139
2022-03-18 22:12:46 - train: epoch 0090, iter [03200, 05004], lr: 0.001000, loss: 1.1923
2022-03-18 22:13:18 - train: epoch 0090, iter [03300, 05004], lr: 0.001000, loss: 1.3269
2022-03-18 22:13:50 - train: epoch 0090, iter [03400, 05004], lr: 0.001000, loss: 1.0490
2022-03-18 22:14:22 - train: epoch 0090, iter [03500, 05004], lr: 0.001000, loss: 1.1971
2022-03-18 22:14:55 - train: epoch 0090, iter [03600, 05004], lr: 0.001000, loss: 0.8564
2022-03-18 22:15:27 - train: epoch 0090, iter [03700, 05004], lr: 0.001000, loss: 1.0645
2022-03-18 22:15:59 - train: epoch 0090, iter [03800, 05004], lr: 0.001000, loss: 1.2090
2022-03-18 22:16:31 - train: epoch 0090, iter [03900, 05004], lr: 0.001000, loss: 1.0823
2022-03-18 22:17:04 - train: epoch 0090, iter [04000, 05004], lr: 0.001000, loss: 0.9623
2022-03-18 22:17:36 - train: epoch 0090, iter [04100, 05004], lr: 0.001000, loss: 1.4335
2022-03-18 22:18:08 - train: epoch 0090, iter [04200, 05004], lr: 0.001000, loss: 1.2185
2022-03-18 22:18:40 - train: epoch 0090, iter [04300, 05004], lr: 0.001000, loss: 1.0633
2022-03-18 22:19:12 - train: epoch 0090, iter [04400, 05004], lr: 0.001000, loss: 1.0315
2022-03-18 22:19:44 - train: epoch 0090, iter [04500, 05004], lr: 0.001000, loss: 1.0591
2022-03-18 22:20:17 - train: epoch 0090, iter [04600, 05004], lr: 0.001000, loss: 0.9170
2022-03-18 22:20:48 - train: epoch 0090, iter [04700, 05004], lr: 0.001000, loss: 1.0723
2022-03-18 22:21:21 - train: epoch 0090, iter [04800, 05004], lr: 0.001000, loss: 1.2819
2022-03-18 22:21:52 - train: epoch 0090, iter [04900, 05004], lr: 0.001000, loss: 1.0512
2022-03-18 22:22:24 - train: epoch 0090, iter [05000, 05004], lr: 0.001000, loss: 1.0487
2022-03-18 22:22:25 - train: epoch 090, train_loss: 1.1215
2022-03-18 22:23:39 - eval: epoch: 090, acc1: 73.446%, acc5: 91.378%, test_loss: 1.0533, per_image_load_time: 2.285ms, per_image_inference_time: 0.513ms
2022-03-18 22:23:40 - until epoch: 090, best_acc1: 73.534%
2022-03-18 22:23:40 - epoch 091 lr: 0.00010000000000000003
2022-03-18 22:24:18 - train: epoch 0091, iter [00100, 05004], lr: 0.000100, loss: 0.9387
2022-03-18 22:24:50 - train: epoch 0091, iter [00200, 05004], lr: 0.000100, loss: 1.0856
2022-03-18 22:25:22 - train: epoch 0091, iter [00300, 05004], lr: 0.000100, loss: 1.0165
2022-03-18 22:25:53 - train: epoch 0091, iter [00400, 05004], lr: 0.000100, loss: 1.2027
2022-03-18 22:26:25 - train: epoch 0091, iter [00500, 05004], lr: 0.000100, loss: 1.0523
2022-03-18 22:26:57 - train: epoch 0091, iter [00600, 05004], lr: 0.000100, loss: 1.1070
2022-03-18 22:27:28 - train: epoch 0091, iter [00700, 05004], lr: 0.000100, loss: 1.3093
2022-03-18 22:28:00 - train: epoch 0091, iter [00800, 05004], lr: 0.000100, loss: 0.9719
2022-03-18 22:28:32 - train: epoch 0091, iter [00900, 05004], lr: 0.000100, loss: 1.0231
