2022-03-16 23:24:56 - train: epoch 0096, iter [01300, 05004], lr: 0.000100, loss: 1.2533
2022-03-16 23:25:30 - train: epoch 0096, iter [01400, 05004], lr: 0.000100, loss: 1.1712
2022-03-16 23:26:04 - train: epoch 0096, iter [01500, 05004], lr: 0.000100, loss: 1.1358
2022-03-16 23:26:37 - train: epoch 0096, iter [01600, 05004], lr: 0.000100, loss: 1.0060
2022-03-16 23:27:11 - train: epoch 0096, iter [01700, 05004], lr: 0.000100, loss: 1.2166
2022-03-16 23:27:44 - train: epoch 0096, iter [01800, 05004], lr: 0.000100, loss: 1.2592
2022-03-16 23:28:17 - train: epoch 0096, iter [01900, 05004], lr: 0.000100, loss: 1.3546
2022-03-16 23:28:51 - train: epoch 0096, iter [02000, 05004], lr: 0.000100, loss: 1.1012
2022-03-16 23:29:24 - train: epoch 0096, iter [02100, 05004], lr: 0.000100, loss: 1.1605
2022-03-16 23:29:58 - train: epoch 0096, iter [02200, 05004], lr: 0.000100, loss: 0.9612
2022-03-16 23:30:31 - train: epoch 0096, iter [02300, 05004], lr: 0.000100, loss: 1.1437
2022-03-16 23:31:04 - train: epoch 0096, iter [02400, 05004], lr: 0.000100, loss: 1.0386
2022-03-16 23:31:38 - train: epoch 0096, iter [02500, 05004], lr: 0.000100, loss: 1.0638
2022-03-16 23:32:12 - train: epoch 0096, iter [02600, 05004], lr: 0.000100, loss: 1.0827
2022-03-16 23:32:45 - train: epoch 0096, iter [02700, 05004], lr: 0.000100, loss: 1.3402
2022-03-16 23:33:20 - train: epoch 0096, iter [02800, 05004], lr: 0.000100, loss: 1.2563
2022-03-16 23:33:53 - train: epoch 0096, iter [02900, 05004], lr: 0.000100, loss: 1.1281
2022-03-16 23:34:27 - train: epoch 0096, iter [03000, 05004], lr: 0.000100, loss: 1.2289
2022-03-16 23:35:01 - train: epoch 0096, iter [03100, 05004], lr: 0.000100, loss: 1.2927
2022-03-16 23:35:34 - train: epoch 0096, iter [03200, 05004], lr: 0.000100, loss: 1.2061
2022-03-16 23:36:08 - train: epoch 0096, iter [03300, 05004], lr: 0.000100, loss: 1.3524
2022-03-16 23:36:41 - train: epoch 0096, iter [03400, 05004], lr: 0.000100, loss: 0.9955
2022-03-16 23:37:15 - train: epoch 0096, iter [03500, 05004], lr: 0.000100, loss: 1.1114
2022-03-16 23:37:49 - train: epoch 0096, iter [03600, 05004], lr: 0.000100, loss: 1.0615
2022-03-16 23:38:22 - train: epoch 0096, iter [03700, 05004], lr: 0.000100, loss: 1.2324
2022-03-16 23:38:56 - train: epoch 0096, iter [03800, 05004], lr: 0.000100, loss: 1.1338
2022-03-16 23:39:30 - train: epoch 0096, iter [03900, 05004], lr: 0.000100, loss: 1.1132
2022-03-16 23:40:03 - train: epoch 0096, iter [04000, 05004], lr: 0.000100, loss: 1.0912
2022-03-16 23:40:37 - train: epoch 0096, iter [04100, 05004], lr: 0.000100, loss: 1.2077
2022-03-16 23:41:11 - train: epoch 0096, iter [04200, 05004], lr: 0.000100, loss: 1.1605
2022-03-16 23:41:44 - train: epoch 0096, iter [04300, 05004], lr: 0.000100, loss: 0.9090
2022-03-16 23:42:18 - train: epoch 0096, iter [04400, 05004], lr: 0.000100, loss: 1.1290
2022-03-16 23:42:51 - train: epoch 0096, iter [04500, 05004], lr: 0.000100, loss: 1.0746
2022-03-16 23:43:24 - train: epoch 0096, iter [04600, 05004], lr: 0.000100, loss: 1.1306
2022-03-16 23:43:58 - train: epoch 0096, iter [04700, 05004], lr: 0.000100, loss: 1.2752
2022-03-16 23:44:32 - train: epoch 0096, iter [04800, 05004], lr: 0.000100, loss: 1.3026
2022-03-16 23:45:05 - train: epoch 0096, iter [04900, 05004], lr: 0.000100, loss: 1.3042
2022-03-16 23:45:37 - train: epoch 0096, iter [05000, 05004], lr: 0.000100, loss: 1.1158
2022-03-16 23:45:38 - train: epoch 096, train_loss: 1.1851
2022-03-16 23:46:53 - eval: epoch: 096, acc1: 72.288%, acc5: 90.836%, test_loss: 1.0960, per_image_load_time: 2.509ms, per_image_inference_time: 0.341ms
2022-03-16 23:46:53 - until epoch: 096, best_acc1: 72.316%
2022-03-17 21:39:01 - epoch 097 lr: 0.00010000000000000003
2022-03-17 21:39:39 - train: epoch 0097, iter [00100, 05004], lr: 0.000100, loss: 1.0791
2022-03-17 21:40:11 - train: epoch 0097, iter [00200, 05004], lr: 0.000100, loss: 1.2452
2022-03-17 21:40:43 - train: epoch 0097, iter [00300, 05004], lr: 0.000100, loss: 1.1918
2022-03-17 21:41:15 - train: epoch 0097, iter [00400, 05004], lr: 0.000100, loss: 1.2875
2022-03-17 21:41:48 - train: epoch 0097, iter [00500, 05004], lr: 0.000100, loss: 1.2751
2022-03-17 21:42:20 - train: epoch 0097, iter [00600, 05004], lr: 0.000100, loss: 1.1487
2022-03-17 21:42:52 - train: epoch 0097, iter [00700, 05004], lr: 0.000100, loss: 1.1212
2022-03-17 21:43:23 - train: epoch 0097, iter [00800, 05004], lr: 0.000100, loss: 0.9956
2022-03-17 21:43:56 - train: epoch 0097, iter [00900, 05004], lr: 0.000100, loss: 1.3259
2022-03-17 21:44:28 - train: epoch 0097, iter [01000, 05004], lr: 0.000100, loss: 1.3229
2022-03-17 21:45:00 - train: epoch 0097, iter [01100, 05004], lr: 0.000100, loss: 1.0581
2022-03-17 21:45:32 - train: epoch 0097, iter [01200, 05004], lr: 0.000100, loss: 1.2375
2022-03-17 21:46:04 - train: epoch 0097, iter [01300, 05004], lr: 0.000100, loss: 1.0259
2022-03-17 21:46:37 - train: epoch 0097, iter [01400, 05004], lr: 0.000100, loss: 1.1844
2022-03-17 21:47:09 - train: epoch 0097, iter [01500, 05004], lr: 0.000100, loss: 1.1627
2022-03-17 21:47:41 - train: epoch 0097, iter [01600, 05004], lr: 0.000100, loss: 1.1354
2022-03-17 21:48:14 - train: epoch 0097, iter [01700, 05004], lr: 0.000100, loss: 1.1343
2022-03-17 21:48:45 - train: epoch 0097, iter [01800, 05004], lr: 0.000100, loss: 1.2535
