2022-03-13 22:40:30 - train: epoch 0051, iter [00100, 05004], lr: 0.010000, loss: 2.0768
2022-03-13 22:41:02 - train: epoch 0051, iter [00200, 05004], lr: 0.010000, loss: 2.2087
2022-03-13 22:41:34 - train: epoch 0051, iter [00300, 05004], lr: 0.010000, loss: 1.8178
2022-03-13 22:42:05 - train: epoch 0051, iter [00400, 05004], lr: 0.010000, loss: 1.5193
2022-03-13 22:42:37 - train: epoch 0051, iter [00500, 05004], lr: 0.010000, loss: 2.0134
2022-03-13 22:43:08 - train: epoch 0051, iter [00600, 05004], lr: 0.010000, loss: 1.6879
2022-03-13 22:43:40 - train: epoch 0051, iter [00700, 05004], lr: 0.010000, loss: 1.7215
2022-03-13 22:44:12 - train: epoch 0051, iter [00800, 05004], lr: 0.010000, loss: 2.1208
2022-03-13 22:44:43 - train: epoch 0051, iter [00900, 05004], lr: 0.010000, loss: 1.7271
2022-03-13 22:45:14 - train: epoch 0051, iter [01000, 05004], lr: 0.010000, loss: 2.0601
2022-03-13 22:45:46 - train: epoch 0051, iter [01100, 05004], lr: 0.010000, loss: 1.8889
2022-03-13 22:46:17 - train: epoch 0051, iter [01200, 05004], lr: 0.010000, loss: 1.7830
2022-03-13 22:46:50 - train: epoch 0051, iter [01300, 05004], lr: 0.010000, loss: 1.5351
2022-03-13 22:47:21 - train: epoch 0051, iter [01400, 05004], lr: 0.010000, loss: 1.7240
2022-03-13 22:47:53 - train: epoch 0051, iter [01500, 05004], lr: 0.010000, loss: 1.7078
2022-03-13 22:48:24 - train: epoch 0051, iter [01600, 05004], lr: 0.010000, loss: 1.5969
2022-03-13 22:48:56 - train: epoch 0051, iter [01700, 05004], lr: 0.010000, loss: 1.8361
2022-03-13 22:49:26 - train: epoch 0051, iter [01800, 05004], lr: 0.010000, loss: 1.6823
2022-03-13 22:49:58 - train: epoch 0051, iter [01900, 05004], lr: 0.010000, loss: 1.5965
2022-03-13 22:50:29 - train: epoch 0051, iter [02000, 05004], lr: 0.010000, loss: 1.7885
2022-03-13 22:51:01 - train: epoch 0051, iter [02100, 05004], lr: 0.010000, loss: 1.6463
2022-03-13 22:51:32 - train: epoch 0051, iter [02200, 05004], lr: 0.010000, loss: 1.8270
2022-03-13 22:52:04 - train: epoch 0051, iter [02300, 05004], lr: 0.010000, loss: 1.9551
2022-03-13 22:52:35 - train: epoch 0051, iter [02400, 05004], lr: 0.010000, loss: 1.9429
2022-03-13 22:53:06 - train: epoch 0051, iter [02500, 05004], lr: 0.010000, loss: 1.7956
2022-03-13 22:53:40 - train: epoch 0051, iter [02600, 05004], lr: 0.010000, loss: 1.6016
2022-03-13 22:54:13 - train: epoch 0051, iter [02700, 05004], lr: 0.010000, loss: 1.8680
2022-03-13 22:54:44 - train: epoch 0051, iter [02800, 05004], lr: 0.010000, loss: 1.7471
2022-03-13 22:55:16 - train: epoch 0051, iter [02900, 05004], lr: 0.010000, loss: 1.7410
2022-03-13 22:55:47 - train: epoch 0051, iter [03000, 05004], lr: 0.010000, loss: 1.7739
