2022-03-11 23:12:32 - train: epoch 0061, iter [00400, 05004], lr: 0.001000, loss: 2.1104
2022-03-11 23:13:05 - train: epoch 0061, iter [00500, 05004], lr: 0.001000, loss: 1.7814
2022-03-11 23:13:37 - train: epoch 0061, iter [00600, 05004], lr: 0.001000, loss: 1.8735
2022-03-11 23:14:09 - train: epoch 0061, iter [00700, 05004], lr: 0.001000, loss: 1.6061
2022-03-11 23:14:41 - train: epoch 0061, iter [00800, 05004], lr: 0.001000, loss: 1.9686
2022-03-11 23:15:13 - train: epoch 0061, iter [00900, 05004], lr: 0.001000, loss: 1.8479
2022-03-11 23:15:47 - train: epoch 0061, iter [01000, 05004], lr: 0.001000, loss: 1.8054
2022-03-11 23:16:19 - train: epoch 0061, iter [01100, 05004], lr: 0.001000, loss: 1.6152
2022-03-11 23:16:51 - train: epoch 0061, iter [01200, 05004], lr: 0.001000, loss: 1.6546
2022-03-11 23:17:23 - train: epoch 0061, iter [01300, 05004], lr: 0.001000, loss: 1.6575
2022-03-11 23:17:56 - train: epoch 0061, iter [01400, 05004], lr: 0.001000, loss: 1.7223
2022-03-11 23:18:28 - train: epoch 0061, iter [01500, 05004], lr: 0.001000, loss: 1.8102
2022-03-11 23:19:00 - train: epoch 0061, iter [01600, 05004], lr: 0.001000, loss: 1.6354
2022-03-11 23:19:31 - train: epoch 0061, iter [01700, 05004], lr: 0.001000, loss: 1.7683
2022-03-11 23:20:03 - train: epoch 0061, iter [01800, 05004], lr: 0.001000, loss: 1.7702
2022-03-11 23:20:35 - train: epoch 0061, iter [01900, 05004], lr: 0.001000, loss: 2.0453
2022-03-11 23:21:08 - train: epoch 0061, iter [02000, 05004], lr: 0.001000, loss: 1.7534
2022-03-11 23:21:40 - train: epoch 0061, iter [02100, 05004], lr: 0.001000, loss: 1.8972
2022-03-11 23:22:12 - train: epoch 0061, iter [02200, 05004], lr: 0.001000, loss: 1.6692
2022-03-11 23:22:44 - train: epoch 0061, iter [02300, 05004], lr: 0.001000, loss: 1.8430
2022-03-11 23:23:17 - train: epoch 0061, iter [02400, 05004], lr: 0.001000, loss: 1.6826
2022-03-11 23:23:49 - train: epoch 0061, iter [02500, 05004], lr: 0.001000, loss: 1.6245
2022-03-11 23:24:22 - train: epoch 0061, iter [02600, 05004], lr: 0.001000, loss: 1.7780
2022-03-11 23:24:53 - train: epoch 0061, iter [02700, 05004], lr: 0.001000, loss: 1.7946
2022-03-11 23:25:26 - train: epoch 0061, iter [02800, 05004], lr: 0.001000, loss: 1.7930
2022-03-11 23:25:58 - train: epoch 0061, iter [02900, 05004], lr: 0.001000, loss: 1.8716
2022-03-11 23:26:33 - train: epoch 0061, iter [03000, 05004], lr: 0.001000, loss: 1.7683
2022-03-11 23:27:05 - train: epoch 0061, iter [03100, 05004], lr: 0.001000, loss: 1.7748
2022-03-11 23:27:38 - train: epoch 0061, iter [03200, 05004], lr: 0.001000, loss: 1.7445
2022-03-11 23:28:10 - train: epoch 0061, iter [03300, 05004], lr: 0.001000, loss: 1.6963
2022-03-11 23:28:43 - train: epoch 0061, iter [03400, 05004], lr: 0.001000, loss: 1.5725
2022-03-11 23:29:16 - train: epoch 0061, iter [03500, 05004], lr: 0.001000, loss: 1.9241
2022-03-11 23:29:49 - train: epoch 0061, iter [03600, 05004], lr: 0.001000, loss: 1.6781
2022-03-11 23:30:22 - train: epoch 0061, iter [03700, 05004], lr: 0.001000, loss: 1.9987
2022-03-11 23:30:54 - train: epoch 0061, iter [03800, 05004], lr: 0.001000, loss: 1.7867
2022-03-11 23:31:27 - train: epoch 0061, iter [03900, 05004], lr: 0.001000, loss: 1.7989
2022-03-11 23:32:00 - train: epoch 0061, iter [04000, 05004], lr: 0.001000, loss: 1.6175
2022-03-11 23:32:33 - train: epoch 0061, iter [04100, 05004], lr: 0.001000, loss: 1.9233
2022-03-11 23:33:05 - train: epoch 0061, iter [04200, 05004], lr: 0.001000, loss: 1.7030
2022-03-11 23:33:38 - train: epoch 0061, iter [04300, 05004], lr: 0.001000, loss: 1.6236
2022-03-11 23:34:10 - train: epoch 0061, iter [04400, 05004], lr: 0.001000, loss: 1.9853
2022-03-11 23:34:43 - train: epoch 0061, iter [04500, 05004], lr: 0.001000, loss: 1.7203
2022-03-11 23:35:16 - train: epoch 0061, iter [04600, 05004], lr: 0.001000, loss: 1.6355
2022-03-11 23:35:49 - train: epoch 0061, iter [04700, 05004], lr: 0.001000, loss: 1.7583
2022-03-11 23:36:22 - train: epoch 0061, iter [04800, 05004], lr: 0.001000, loss: 1.7045
2022-03-11 23:36:55 - train: epoch 0061, iter [04900, 05004], lr: 0.001000, loss: 1.6698
2022-03-11 23:37:26 - train: epoch 0061, iter [05000, 05004], lr: 0.001000, loss: 1.9712
2022-03-11 23:37:28 - train: epoch 061, train_loss: 1.7727
2022-03-11 23:38:43 - eval: epoch: 061, acc1: 64.044%, acc5: 85.694%, test_loss: 1.4694, per_image_load_time: 2.689ms, per_image_inference_time: 0.163ms
2022-03-11 23:38:43 - until epoch: 061, best_acc1: 64.044%
2022-03-11 23:38:43 - epoch 062 lr: 0.0010000000000000002
2022-03-11 23:39:20 - train: epoch 0062, iter [00100, 05004], lr: 0.001000, loss: 1.9326
2022-03-11 23:39:53 - train: epoch 0062, iter [00200, 05004], lr: 0.001000, loss: 1.9130
2022-03-11 23:40:26 - train: epoch 0062, iter [00300, 05004], lr: 0.001000, loss: 1.8710
2022-03-11 23:40:58 - train: epoch 0062, iter [00400, 05004], lr: 0.001000, loss: 1.7095
2022-03-11 23:41:32 - train: epoch 0062, iter [00500, 05004], lr: 0.001000, loss: 1.8376
2022-03-11 23:42:05 - train: epoch 0062, iter [00600, 05004], lr: 0.001000, loss: 1.5242
2022-03-11 23:42:37 - train: epoch 0062, iter [00700, 05004], lr: 0.001000, loss: 1.7411
2022-03-11 23:43:10 - train: epoch 0062, iter [00800, 05004], lr: 0.001000, loss: 1.8546
2022-03-11 23:43:42 - train: epoch 0062, iter [00900, 05004], lr: 0.001000, loss: 1.9843
2022-03-11 23:44:15 - train: epoch 0062, iter [01000, 05004], lr: 0.001000, loss: 1.6743
2022-03-11 23:44:47 - train: epoch 0062, iter [01100, 05004], lr: 0.001000, loss: 1.7906
2022-03-11 23:45:20 - train: epoch 0062, iter [01200, 05004], lr: 0.001000, loss: 1.7354
2022-03-11 23:45:52 - train: epoch 0062, iter [01300, 05004], lr: 0.001000, loss: 1.7930
2022-03-11 23:46:24 - train: epoch 0062, iter [01400, 05004], lr: 0.001000, loss: 1.6537
2022-03-11 23:46:57 - train: epoch 0062, iter [01500, 05004], lr: 0.001000, loss: 1.8822
2022-03-11 23:47:29 - train: epoch 0062, iter [01600, 05004], lr: 0.001000, loss: 1.8627
2022-03-11 23:48:01 - train: epoch 0062, iter [01700, 05004], lr: 0.001000, loss: 1.8041
2022-03-11 23:48:34 - train: epoch 0062, iter [01800, 05004], lr: 0.001000, loss: 1.6559
2022-03-11 23:49:06 - train: epoch 0062, iter [01900, 05004], lr: 0.001000, loss: 1.6286
2022-03-11 23:49:39 - train: epoch 0062, iter [02000, 05004], lr: 0.001000, loss: 1.8887
2022-03-11 23:50:12 - train: epoch 0062, iter [02100, 05004], lr: 0.001000, loss: 1.8652
2022-03-11 23:50:44 - train: epoch 0062, iter [02200, 05004], lr: 0.001000, loss: 1.6013
2022-03-11 23:51:17 - train: epoch 0062, iter [02300, 05004], lr: 0.001000, loss: 1.6294
2022-03-11 23:51:49 - train: epoch 0062, iter [02400, 05004], lr: 0.001000, loss: 1.6939
2022-03-11 23:52:22 - train: epoch 0062, iter [02500, 05004], lr: 0.001000, loss: 1.7988
2022-03-11 23:52:54 - train: epoch 0062, iter [02600, 05004], lr: 0.001000, loss: 1.7397
2022-03-11 23:53:26 - train: epoch 0062, iter [02700, 05004], lr: 0.001000, loss: 1.5890
2022-03-11 23:53:58 - train: epoch 0062, iter [02800, 05004], lr: 0.001000, loss: 1.8875
2022-03-11 23:54:31 - train: epoch 0062, iter [02900, 05004], lr: 0.001000, loss: 1.7677
2022-03-11 23:55:03 - train: epoch 0062, iter [03000, 05004], lr: 0.001000, loss: 1.7800
2022-03-11 23:55:36 - train: epoch 0062, iter [03100, 05004], lr: 0.001000, loss: 1.6988
2022-03-11 23:56:08 - train: epoch 0062, iter [03200, 05004], lr: 0.001000, loss: 1.6049
2022-03-11 23:56:41 - train: epoch 0062, iter [03300, 05004], lr: 0.001000, loss: 1.8371
2022-03-11 23:57:13 - train: epoch 0062, iter [03400, 05004], lr: 0.001000, loss: 1.7729
2022-03-11 23:57:45 - train: epoch 0062, iter [03500, 05004], lr: 0.001000, loss: 1.8131
2022-03-11 23:58:17 - train: epoch 0062, iter [03600, 05004], lr: 0.001000, loss: 1.7897
2022-03-11 23:58:49 - train: epoch 0062, iter [03700, 05004], lr: 0.001000, loss: 1.7093
2022-03-11 23:59:22 - train: epoch 0062, iter [03800, 05004], lr: 0.001000, loss: 1.6689
2022-03-11 23:59:55 - train: epoch 0062, iter [03900, 05004], lr: 0.001000, loss: 1.8012
2022-03-12 00:00:27 - train: epoch 0062, iter [04000, 05004], lr: 0.001000, loss: 1.4522
2022-03-12 00:01:01 - train: epoch 0062, iter [04100, 05004], lr: 0.001000, loss: 1.8428
2022-03-12 00:01:33 - train: epoch 0062, iter [04200, 05004], lr: 0.001000, loss: 1.5699
2022-03-12 00:02:06 - train: epoch 0062, iter [04300, 05004], lr: 0.001000, loss: 1.7395
2022-03-12 00:02:38 - train: epoch 0062, iter [04400, 05004], lr: 0.001000, loss: 1.7343
2022-03-12 00:03:12 - train: epoch 0062, iter [04500, 05004], lr: 0.001000, loss: 1.7101
2022-03-12 00:03:44 - train: epoch 0062, iter [04600, 05004], lr: 0.001000, loss: 1.5409
2022-03-12 00:04:17 - train: epoch 0062, iter [04700, 05004], lr: 0.001000, loss: 1.6716
2022-03-12 00:04:49 - train: epoch 0062, iter [04800, 05004], lr: 0.001000, loss: 1.6643
2022-03-12 00:05:22 - train: epoch 0062, iter [04900, 05004], lr: 0.001000, loss: 1.6567
2022-03-12 00:05:53 - train: epoch 0062, iter [05000, 05004], lr: 0.001000, loss: 1.6852
2022-03-12 00:05:55 - train: epoch 062, train_loss: 1.7321
2022-03-12 00:07:10 - eval: epoch: 062, acc1: 64.410%, acc5: 85.992%, test_loss: 1.4516, per_image_load_time: 2.663ms, per_image_inference_time: 0.170ms
2022-03-12 00:07:10 - until epoch: 062, best_acc1: 64.410%
2022-03-12 00:07:10 - epoch 063 lr: 0.0010000000000000002
2022-03-12 00:07:47 - train: epoch 0063, iter [00100, 05004], lr: 0.001000, loss: 1.8930
2022-03-12 00:08:20 - train: epoch 0063, iter [00200, 05004], lr: 0.001000, loss: 1.7453
2022-03-12 00:08:52 - train: epoch 0063, iter [00300, 05004], lr: 0.001000, loss: 1.8496
2022-03-12 00:09:24 - train: epoch 0063, iter [00400, 05004], lr: 0.001000, loss: 1.6479
2022-03-12 00:09:58 - train: epoch 0063, iter [00500, 05004], lr: 0.001000, loss: 1.6136
2022-03-12 00:10:29 - train: epoch 0063, iter [00600, 05004], lr: 0.001000, loss: 1.7646
2022-03-12 00:11:03 - train: epoch 0063, iter [00700, 05004], lr: 0.001000, loss: 1.7217
2022-03-12 00:11:34 - train: epoch 0063, iter [00800, 05004], lr: 0.001000, loss: 1.7799
2022-03-12 00:12:07 - train: epoch 0063, iter [00900, 05004], lr: 0.001000, loss: 2.0728
2022-03-12 00:12:40 - train: epoch 0063, iter [01000, 05004], lr: 0.001000, loss: 1.8315
2022-03-12 00:13:12 - train: epoch 0063, iter [01100, 05004], lr: 0.001000, loss: 1.5491
2022-03-12 00:13:44 - train: epoch 0063, iter [01200, 05004], lr: 0.001000, loss: 1.7711
2022-03-12 00:14:18 - train: epoch 0063, iter [01300, 05004], lr: 0.001000, loss: 1.4441
2022-03-12 00:14:50 - train: epoch 0063, iter [01400, 05004], lr: 0.001000, loss: 1.9421
2022-03-12 00:15:23 - train: epoch 0063, iter [01500, 05004], lr: 0.001000, loss: 1.6346
2022-03-12 00:15:55 - train: epoch 0063, iter [01600, 05004], lr: 0.001000, loss: 1.7087
2022-03-12 00:16:27 - train: epoch 0063, iter [01700, 05004], lr: 0.001000, loss: 1.5969
2022-03-12 00:16:59 - train: epoch 0063, iter [01800, 05004], lr: 0.001000, loss: 1.6846
2022-03-12 00:17:32 - train: epoch 0063, iter [01900, 05004], lr: 0.001000, loss: 1.9103
2022-03-12 00:18:05 - train: epoch 0063, iter [02000, 05004], lr: 0.001000, loss: 1.7155
2022-03-12 00:18:37 - train: epoch 0063, iter [02100, 05004], lr: 0.001000, loss: 1.6472
2022-03-12 00:19:10 - train: epoch 0063, iter [02200, 05004], lr: 0.001000, loss: 1.9599
2022-03-12 00:19:43 - train: epoch 0063, iter [02300, 05004], lr: 0.001000, loss: 2.0230
2022-03-12 00:20:15 - train: epoch 0063, iter [02400, 05004], lr: 0.001000, loss: 1.6977
2022-03-12 00:20:48 - train: epoch 0063, iter [02500, 05004], lr: 0.001000, loss: 1.6761
2022-03-12 00:21:21 - train: epoch 0063, iter [02600, 05004], lr: 0.001000, loss: 1.5785
2022-03-12 00:21:53 - train: epoch 0063, iter [02700, 05004], lr: 0.001000, loss: 1.9022
2022-03-12 00:22:27 - train: epoch 0063, iter [02800, 05004], lr: 0.001000, loss: 1.8459
2022-03-12 00:22:59 - train: epoch 0063, iter [02900, 05004], lr: 0.001000, loss: 1.6749
2022-03-12 00:23:32 - train: epoch 0063, iter [03000, 05004], lr: 0.001000, loss: 1.9595
2022-03-12 00:24:05 - train: epoch 0063, iter [03100, 05004], lr: 0.001000, loss: 1.9050
2022-03-12 00:24:38 - train: epoch 0063, iter [03200, 05004], lr: 0.001000, loss: 1.6954
2022-03-12 00:25:10 - train: epoch 0063, iter [03300, 05004], lr: 0.001000, loss: 1.5969
2022-03-12 00:25:44 - train: epoch 0063, iter [03400, 05004], lr: 0.001000, loss: 1.5602
2022-03-12 00:26:16 - train: epoch 0063, iter [03500, 05004], lr: 0.001000, loss: 1.9765
2022-03-12 00:26:49 - train: epoch 0063, iter [03600, 05004], lr: 0.001000, loss: 1.7809
2022-03-12 00:27:22 - train: epoch 0063, iter [03700, 05004], lr: 0.001000, loss: 1.9083
2022-03-12 00:27:54 - train: epoch 0063, iter [03800, 05004], lr: 0.001000, loss: 1.7497
2022-03-12 00:28:28 - train: epoch 0063, iter [03900, 05004], lr: 0.001000, loss: 1.5200
2022-03-12 00:29:00 - train: epoch 0063, iter [04000, 05004], lr: 0.001000, loss: 1.5361
2022-03-12 00:29:33 - train: epoch 0063, iter [04100, 05004], lr: 0.001000, loss: 1.6751
2022-03-12 00:30:06 - train: epoch 0063, iter [04200, 05004], lr: 0.001000, loss: 1.7827
2022-03-12 00:30:39 - train: epoch 0063, iter [04300, 05004], lr: 0.001000, loss: 1.8164
2022-03-12 00:31:12 - train: epoch 0063, iter [04400, 05004], lr: 0.001000, loss: 1.5975
2022-03-12 00:31:45 - train: epoch 0063, iter [04500, 05004], lr: 0.001000, loss: 1.8605
2022-03-12 00:32:17 - train: epoch 0063, iter [04600, 05004], lr: 0.001000, loss: 1.8162
2022-03-12 00:32:51 - train: epoch 0063, iter [04700, 05004], lr: 0.001000, loss: 1.6804
2022-03-12 00:33:24 - train: epoch 0063, iter [04800, 05004], lr: 0.001000, loss: 1.6150
2022-03-12 00:33:57 - train: epoch 0063, iter [04900, 05004], lr: 0.001000, loss: 1.5481
2022-03-12 00:34:28 - train: epoch 0063, iter [05000, 05004], lr: 0.001000, loss: 1.7880
2022-03-12 00:34:31 - train: epoch 063, train_loss: 1.7179
2022-03-12 00:35:45 - eval: epoch: 063, acc1: 64.658%, acc5: 86.094%, test_loss: 1.4435, per_image_load_time: 2.666ms, per_image_inference_time: 0.158ms
2022-03-12 00:35:45 - until epoch: 063, best_acc1: 64.658%
2022-03-12 00:35:45 - epoch 064 lr: 0.0010000000000000002
2022-03-12 00:36:22 - train: epoch 0064, iter [00100, 05004], lr: 0.001000, loss: 1.6096
2022-03-12 00:36:56 - train: epoch 0064, iter [00200, 05004], lr: 0.001000, loss: 1.7616
2022-03-12 00:37:28 - train: epoch 0064, iter [00300, 05004], lr: 0.001000, loss: 1.5962
2022-03-12 00:38:01 - train: epoch 0064, iter [00400, 05004], lr: 0.001000, loss: 1.7767
2022-03-12 00:38:33 - train: epoch 0064, iter [00500, 05004], lr: 0.001000, loss: 1.5214
2022-03-12 00:39:06 - train: epoch 0064, iter [00600, 05004], lr: 0.001000, loss: 1.9808
2022-03-12 00:39:38 - train: epoch 0064, iter [00700, 05004], lr: 0.001000, loss: 1.8692
2022-03-12 00:40:11 - train: epoch 0064, iter [00800, 05004], lr: 0.001000, loss: 1.6248
2022-03-12 00:40:43 - train: epoch 0064, iter [00900, 05004], lr: 0.001000, loss: 1.6118
2022-03-12 00:41:16 - train: epoch 0064, iter [01000, 05004], lr: 0.001000, loss: 1.6035
2022-03-12 00:41:48 - train: epoch 0064, iter [01100, 05004], lr: 0.001000, loss: 1.6036
2022-03-12 00:42:20 - train: epoch 0064, iter [01200, 05004], lr: 0.001000, loss: 1.5257
2022-03-12 00:42:53 - train: epoch 0064, iter [01300, 05004], lr: 0.001000, loss: 1.8991
2022-03-12 00:43:25 - train: epoch 0064, iter [01400, 05004], lr: 0.001000, loss: 2.0098
2022-03-12 00:43:58 - train: epoch 0064, iter [01500, 05004], lr: 0.001000, loss: 1.7210
2022-03-12 00:44:31 - train: epoch 0064, iter [01600, 05004], lr: 0.001000, loss: 1.4681
2022-03-12 00:45:02 - train: epoch 0064, iter [01700, 05004], lr: 0.001000, loss: 1.7461
2022-03-12 00:45:36 - train: epoch 0064, iter [01800, 05004], lr: 0.001000, loss: 1.5415
2022-03-12 00:46:07 - train: epoch 0064, iter [01900, 05004], lr: 0.001000, loss: 1.7255
2022-03-12 00:46:40 - train: epoch 0064, iter [02000, 05004], lr: 0.001000, loss: 1.5922
2022-03-12 00:47:13 - train: epoch 0064, iter [02100, 05004], lr: 0.001000, loss: 1.7382
2022-03-12 00:47:45 - train: epoch 0064, iter [02200, 05004], lr: 0.001000, loss: 1.8100
2022-03-12 00:48:18 - train: epoch 0064, iter [02300, 05004], lr: 0.001000, loss: 1.8693
2022-03-12 00:48:51 - train: epoch 0064, iter [02400, 05004], lr: 0.001000, loss: 1.6233
2022-03-12 00:49:24 - train: epoch 0064, iter [02500, 05004], lr: 0.001000, loss: 1.6823
2022-03-12 00:49:58 - train: epoch 0064, iter [02600, 05004], lr: 0.001000, loss: 1.6081
2022-03-12 00:50:29 - train: epoch 0064, iter [02700, 05004], lr: 0.001000, loss: 1.6812
2022-03-12 00:51:04 - train: epoch 0064, iter [02800, 05004], lr: 0.001000, loss: 1.5882
2022-03-12 00:51:36 - train: epoch 0064, iter [02900, 05004], lr: 0.001000, loss: 1.7545
2022-03-12 00:52:10 - train: epoch 0064, iter [03000, 05004], lr: 0.001000, loss: 1.7433
2022-03-12 00:52:42 - train: epoch 0064, iter [03100, 05004], lr: 0.001000, loss: 1.6789
2022-03-12 00:53:16 - train: epoch 0064, iter [03200, 05004], lr: 0.001000, loss: 1.6333
2022-03-12 00:53:48 - train: epoch 0064, iter [03300, 05004], lr: 0.001000, loss: 1.6945
2022-03-12 00:54:22 - train: epoch 0064, iter [03400, 05004], lr: 0.001000, loss: 1.8668
2022-03-12 00:54:53 - train: epoch 0064, iter [03500, 05004], lr: 0.001000, loss: 1.5921
2022-03-12 00:55:27 - train: epoch 0064, iter [03600, 05004], lr: 0.001000, loss: 1.7562
2022-03-12 00:56:00 - train: epoch 0064, iter [03700, 05004], lr: 0.001000, loss: 1.4768
2022-03-12 00:56:34 - train: epoch 0064, iter [03800, 05004], lr: 0.001000, loss: 1.7075
2022-03-12 00:57:05 - train: epoch 0064, iter [03900, 05004], lr: 0.001000, loss: 1.7455
2022-03-12 00:57:39 - train: epoch 0064, iter [04000, 05004], lr: 0.001000, loss: 1.7136
2022-03-12 00:58:11 - train: epoch 0064, iter [04100, 05004], lr: 0.001000, loss: 1.6654
2022-03-12 00:58:43 - train: epoch 0064, iter [04200, 05004], lr: 0.001000, loss: 1.4989
2022-03-12 00:59:16 - train: epoch 0064, iter [04300, 05004], lr: 0.001000, loss: 1.7802
2022-03-12 00:59:49 - train: epoch 0064, iter [04400, 05004], lr: 0.001000, loss: 1.6129
2022-03-12 01:00:22 - train: epoch 0064, iter [04500, 05004], lr: 0.001000, loss: 1.5142
2022-03-12 01:00:54 - train: epoch 0064, iter [04600, 05004], lr: 0.001000, loss: 1.8178
2022-03-12 01:01:28 - train: epoch 0064, iter [04700, 05004], lr: 0.001000, loss: 2.0900
2022-03-12 01:01:59 - train: epoch 0064, iter [04800, 05004], lr: 0.001000, loss: 1.7354
2022-03-12 01:02:32 - train: epoch 0064, iter [04900, 05004], lr: 0.001000, loss: 1.9979
2022-03-12 01:03:04 - train: epoch 0064, iter [05000, 05004], lr: 0.001000, loss: 1.5552
2022-03-12 01:03:06 - train: epoch 064, train_loss: 1.7101
