2022-03-21 08:06:55 - train: epoch 0088, iter [03000, 05004], lr: 0.001000, loss: 1.2520
2022-03-21 08:07:33 - train: epoch 0088, iter [03100, 05004], lr: 0.001000, loss: 0.9304
2022-03-21 08:08:11 - train: epoch 0088, iter [03200, 05004], lr: 0.001000, loss: 0.9449
2022-03-21 08:08:49 - train: epoch 0088, iter [03300, 05004], lr: 0.001000, loss: 1.0223
2022-03-21 08:09:27 - train: epoch 0088, iter [03400, 05004], lr: 0.001000, loss: 0.8541
2022-03-21 08:10:05 - train: epoch 0088, iter [03500, 05004], lr: 0.001000, loss: 1.0111
2022-03-21 08:10:43 - train: epoch 0088, iter [03600, 05004], lr: 0.001000, loss: 1.1374
2022-03-21 08:11:22 - train: epoch 0088, iter [03700, 05004], lr: 0.001000, loss: 1.1569
2022-03-21 08:12:00 - train: epoch 0088, iter [03800, 05004], lr: 0.001000, loss: 1.0506
2022-03-21 08:12:38 - train: epoch 0088, iter [03900, 05004], lr: 0.001000, loss: 1.2189
2022-03-21 08:13:16 - train: epoch 0088, iter [04000, 05004], lr: 0.001000, loss: 0.9907
2022-03-21 08:13:54 - train: epoch 0088, iter [04100, 05004], lr: 0.001000, loss: 1.0632
2022-03-21 08:14:32 - train: epoch 0088, iter [04200, 05004], lr: 0.001000, loss: 1.2229
2022-03-21 08:15:10 - train: epoch 0088, iter [04300, 05004], lr: 0.001000, loss: 0.9941
2022-03-21 08:15:48 - train: epoch 0088, iter [04400, 05004], lr: 0.001000, loss: 0.9995
2022-03-21 08:16:27 - train: epoch 0088, iter [04500, 05004], lr: 0.001000, loss: 1.0950
2022-03-21 08:17:05 - train: epoch 0088, iter [04600, 05004], lr: 0.001000, loss: 1.1324
2022-03-21 08:17:42 - train: epoch 0088, iter [04700, 05004], lr: 0.001000, loss: 1.0671
2022-03-21 08:18:21 - train: epoch 0088, iter [04800, 05004], lr: 0.001000, loss: 0.9101
2022-03-21 08:18:59 - train: epoch 0088, iter [04900, 05004], lr: 0.001000, loss: 0.8932
2022-03-21 08:19:37 - train: epoch 0088, iter [05000, 05004], lr: 0.001000, loss: 1.1732
2022-03-21 08:19:39 - train: epoch 088, train_loss: 1.0720
2022-03-21 08:20:54 - eval: epoch: 088, acc1: 73.950%, acc5: 91.698%, test_loss: 1.0281, per_image_load_time: 2.248ms, per_image_inference_time: 0.719ms
2022-03-21 08:20:56 - until epoch: 088, best_acc1: 73.972%
2022-03-21 08:20:56 - epoch 089 lr: 0.0010000000000000002
2022-03-21 08:21:39 - train: epoch 0089, iter [00100, 05004], lr: 0.001000, loss: 1.2896
2022-03-21 08:22:16 - train: epoch 0089, iter [00200, 05004], lr: 0.001000, loss: 0.9229
2022-03-21 08:22:54 - train: epoch 0089, iter [00300, 05004], lr: 0.001000, loss: 1.1118
2022-03-21 08:23:31 - train: epoch 0089, iter [00400, 05004], lr: 0.001000, loss: 0.8840
2022-03-21 08:24:09 - train: epoch 0089, iter [00500, 05004], lr: 0.001000, loss: 1.0829
2022-03-21 08:24:46 - train: epoch 0089, iter [00600, 05004], lr: 0.001000, loss: 0.9781
2022-03-21 08:25:24 - train: epoch 0089, iter [00700, 05004], lr: 0.001000, loss: 1.1242
2022-03-21 08:26:02 - train: epoch 0089, iter [00800, 05004], lr: 0.001000, loss: 1.2329
2022-03-21 08:26:39 - train: epoch 0089, iter [00900, 05004], lr: 0.001000, loss: 1.1489
2022-03-21 08:27:17 - train: epoch 0089, iter [01000, 05004], lr: 0.001000, loss: 1.1713
2022-03-21 08:27:55 - train: epoch 0089, iter [01100, 05004], lr: 0.001000, loss: 0.9730
2022-03-21 08:28:32 - train: epoch 0089, iter [01200, 05004], lr: 0.001000, loss: 1.2103
2022-03-21 08:29:10 - train: epoch 0089, iter [01300, 05004], lr: 0.001000, loss: 1.1365
2022-03-21 08:29:48 - train: epoch 0089, iter [01400, 05004], lr: 0.001000, loss: 1.2102
2022-03-21 08:30:25 - train: epoch 0089, iter [01500, 05004], lr: 0.001000, loss: 1.0335
2022-03-21 08:31:03 - train: epoch 0089, iter [01600, 05004], lr: 0.001000, loss: 1.0279
2022-03-21 08:31:41 - train: epoch 0089, iter [01700, 05004], lr: 0.001000, loss: 1.0231
2022-03-21 08:32:19 - train: epoch 0089, iter [01800, 05004], lr: 0.001000, loss: 1.0854
2022-03-21 08:32:57 - train: epoch 0089, iter [01900, 05004], lr: 0.001000, loss: 0.9395
2022-03-21 08:33:35 - train: epoch 0089, iter [02000, 05004], lr: 0.001000, loss: 0.9890
2022-03-21 08:34:13 - train: epoch 0089, iter [02100, 05004], lr: 0.001000, loss: 1.0789
2022-03-21 08:34:51 - train: epoch 0089, iter [02200, 05004], lr: 0.001000, loss: 1.0893
2022-03-21 08:35:29 - train: epoch 0089, iter [02300, 05004], lr: 0.001000, loss: 0.9567
2022-03-21 08:36:07 - train: epoch 0089, iter [02400, 05004], lr: 0.001000, loss: 1.0926
