2022-10-04 00:00:29 - train: epoch 0029, iter [06400, 10009], lr: 0.013468, weight_decay: 0.000100, momentum_teacher: 0.996756, loss: 3.3316
2022-10-04 00:01:34 - train: epoch 0029, iter [06500, 10009], lr: 0.013466, weight_decay: 0.000100, momentum_teacher: 0.996757, loss: 3.4392
2022-10-04 00:03:07 - train: epoch 0029, iter [06600, 10009], lr: 0.013465, weight_decay: 0.000100, momentum_teacher: 0.996757, loss: 3.3365
2022-10-04 00:05:08 - train: epoch 0029, iter [06700, 10009], lr: 0.013463, weight_decay: 0.000100, momentum_teacher: 0.996758, loss: 3.3832
2022-10-04 00:08:52 - train: epoch 0029, iter [06800, 10009], lr: 0.013461, weight_decay: 0.000100, momentum_teacher: 0.996758, loss: 3.7510
2022-10-04 00:11:41 - train: epoch 0029, iter [06900, 10009], lr: 0.013460, weight_decay: 0.000100, momentum_teacher: 0.996759, loss: 3.5016
2022-10-04 00:13:17 - train: epoch 0029, iter [07000, 10009], lr: 0.013458, weight_decay: 0.000100, momentum_teacher: 0.996759, loss: 3.9346
2022-10-04 00:15:36 - train: epoch 0029, iter [07100, 10009], lr: 0.013457, weight_decay: 0.000100, momentum_teacher: 0.996760, loss: 3.2966
2022-10-04 00:20:03 - train: epoch 0029, iter [07200, 10009], lr: 0.013455, weight_decay: 0.000100, momentum_teacher: 0.996760, loss: 3.7994
2022-10-04 00:23:57 - train: epoch 0029, iter [07300, 10009], lr: 0.013454, weight_decay: 0.000100, momentum_teacher: 0.996761, loss: 3.4111
2022-10-04 00:27:42 - train: epoch 0029, iter [07400, 10009], lr: 0.013452, weight_decay: 0.000100, momentum_teacher: 0.996761, loss: 3.4975
2022-10-04 00:31:20 - train: epoch 0029, iter [07500, 10009], lr: 0.013450, weight_decay: 0.000100, momentum_teacher: 0.996762, loss: 3.5515
2022-10-04 00:33:04 - train: epoch 0029, iter [07600, 10009], lr: 0.013449, weight_decay: 0.000100, momentum_teacher: 0.996762, loss: 3.4366
2022-10-04 00:35:40 - train: epoch 0029, iter [07700, 10009], lr: 0.013447, weight_decay: 0.000100, momentum_teacher: 0.996763, loss: 3.4372
2022-10-04 00:36:57 - train: epoch 0029, iter [07800, 10009], lr: 0.013446, weight_decay: 0.000100, momentum_teacher: 0.996763, loss: 3.5211
2022-10-04 00:39:18 - train: epoch 0029, iter [07900, 10009], lr: 0.013444, weight_decay: 0.000100, momentum_teacher: 0.996764, loss: 3.7544
2022-10-04 00:40:47 - train: epoch 0029, iter [08000, 10009], lr: 0.013442, weight_decay: 0.000100, momentum_teacher: 0.996764, loss: 3.6941
2022-10-04 00:44:36 - train: epoch 0029, iter [08100, 10009], lr: 0.013441, weight_decay: 0.000100, momentum_teacher: 0.996765, loss: 3.5602
2022-10-04 00:45:47 - train: epoch 0029, iter [08200, 10009], lr: 0.013439, weight_decay: 0.000100, momentum_teacher: 0.996765, loss: 3.6150
2022-10-04 00:46:36 - train: epoch 0029, iter [08300, 10009], lr: 0.013438, weight_decay: 0.000100, momentum_teacher: 0.996766, loss: 3.6236
2022-10-04 00:48:18 - train: epoch 0029, iter [08400, 10009], lr: 0.013436, weight_decay: 0.000100, momentum_teacher: 0.996766, loss: 3.5537
2022-10-04 00:51:03 - train: epoch 0029, iter [08500, 10009], lr: 0.013434, weight_decay: 0.000100, momentum_teacher: 0.996767, loss: 3.3591
2022-10-04 00:54:35 - train: epoch 0029, iter [08600, 10009], lr: 0.013433, weight_decay: 0.000100, momentum_teacher: 0.996767, loss: 3.5924
2022-10-04 00:56:11 - train: epoch 0029, iter [08700, 10009], lr: 0.013431, weight_decay: 0.000100, momentum_teacher: 0.996768, loss: 3.4855
2022-10-04 00:59:46 - train: epoch 0029, iter [08800, 10009], lr: 0.013430, weight_decay: 0.000100, momentum_teacher: 0.996768, loss: 3.3788
2022-10-04 01:01:30 - train: epoch 0029, iter [08900, 10009], lr: 0.013428, weight_decay: 0.000100, momentum_teacher: 0.996769, loss: 3.6241
2022-10-04 01:03:43 - train: epoch 0029, iter [09000, 10009], lr: 0.013426, weight_decay: 0.000100, momentum_teacher: 0.996769, loss: 3.4549
2022-10-04 01:05:34 - train: epoch 0029, iter [09100, 10009], lr: 0.013425, weight_decay: 0.000100, momentum_teacher: 0.996770, loss: 3.7841
2022-10-04 01:09:35 - train: epoch 0029, iter [09200, 10009], lr: 0.013423, weight_decay: 0.000100, momentum_teacher: 0.996770, loss: 3.6536
2022-10-04 01:12:51 - train: epoch 0029, iter [09300, 10009], lr: 0.013422, weight_decay: 0.000100, momentum_teacher: 0.996771, loss: 3.6091
2022-10-04 01:14:54 - train: epoch 0029, iter [09400, 10009], lr: 0.013420, weight_decay: 0.000100, momentum_teacher: 0.996771, loss: 3.3618
2022-10-04 01:18:23 - train: epoch 0029, iter [09500, 10009], lr: 0.013418, weight_decay: 0.000100, momentum_teacher: 0.996772, loss: 3.5977
2022-10-04 01:20:51 - train: epoch 0029, iter [09600, 10009], lr: 0.013417, weight_decay: 0.000100, momentum_teacher: 0.996772, loss: 3.3931
2022-10-04 01:23:49 - train: epoch 0029, iter [09700, 10009], lr: 0.013415, weight_decay: 0.000100, momentum_teacher: 0.996773, loss: 3.6207
2022-10-04 01:26:40 - train: epoch 0029, iter [09800, 10009], lr: 0.013414, weight_decay: 0.000100, momentum_teacher: 0.996773, loss: 3.6603
2022-10-04 01:29:43 - train: epoch 0029, iter [09900, 10009], lr: 0.013412, weight_decay: 0.000100, momentum_teacher: 0.996774, loss: 3.6294
2022-10-04 01:33:07 - train: epoch 0029, iter [10000, 10009], lr: 0.013410, weight_decay: 0.000100, momentum_teacher: 0.996774, loss: 3.6333
2022-10-04 01:33:13 - train: epoch 029, train_loss: 3.5571
2022-10-04 01:33:15 - until epoch: 029, best_loss: 3.5571
2022-10-04 01:33:15 - epoch 030 lr: 0.013410
2022-10-04 01:34:08 - train: epoch 0030, iter [00100, 10009], lr: 0.013409, weight_decay: 0.000100, momentum_teacher: 0.996775, loss: 3.3374
2022-10-04 01:34:56 - train: epoch 0030, iter [00200, 10009], lr: 0.013407, weight_decay: 0.000100, momentum_teacher: 0.996775, loss: 3.7325
2022-10-04 01:35:44 - train: epoch 0030, iter [00300, 10009], lr: 0.013405, weight_decay: 0.000100, momentum_teacher: 0.996776, loss: 3.4456
2022-10-04 01:36:32 - train: epoch 0030, iter [00400, 10009], lr: 0.013404, weight_decay: 0.000100, momentum_teacher: 0.996776, loss: 3.4621
2022-10-04 01:37:20 - train: epoch 0030, iter [00500, 10009], lr: 0.013402, weight_decay: 0.000100, momentum_teacher: 0.996777, loss: 3.4994
2022-10-04 01:38:08 - train: epoch 0030, iter [00600, 10009], lr: 0.013401, weight_decay: 0.000100, momentum_teacher: 0.996777, loss: 3.4711
2022-10-04 01:38:56 - train: epoch 0030, iter [00700, 10009], lr: 0.013399, weight_decay: 0.000100, momentum_teacher: 0.996778, loss: 3.4504
2022-10-04 01:39:44 - train: epoch 0030, iter [00800, 10009], lr: 0.013397, weight_decay: 0.000100, momentum_teacher: 0.996778, loss: 3.3905
2022-10-04 01:40:31 - train: epoch 0030, iter [00900, 10009], lr: 0.013396, weight_decay: 0.000100, momentum_teacher: 0.996779, loss: 3.7162
2022-10-04 01:41:19 - train: epoch 0030, iter [01000, 10009], lr: 0.013394, weight_decay: 0.000100, momentum_teacher: 0.996779, loss: 3.7651
2022-10-04 01:42:07 - train: epoch 0030, iter [01100, 10009], lr: 0.013392, weight_decay: 0.000100, momentum_teacher: 0.996780, loss: 3.4498
2022-10-04 01:42:55 - train: epoch 0030, iter [01200, 10009], lr: 0.013391, weight_decay: 0.000100, momentum_teacher: 0.996780, loss: 3.3335
2022-10-04 01:43:43 - train: epoch 0030, iter [01300, 10009], lr: 0.013389, weight_decay: 0.000100, momentum_teacher: 0.996781, loss: 3.6079
2022-10-04 01:44:30 - train: epoch 0030, iter [01400, 10009], lr: 0.013388, weight_decay: 0.000100, momentum_teacher: 0.996781, loss: 3.6415
2022-10-04 01:45:18 - train: epoch 0030, iter [01500, 10009], lr: 0.013386, weight_decay: 0.000100, momentum_teacher: 0.996782, loss: 3.6200
2022-10-04 01:46:06 - train: epoch 0030, iter [01600, 10009], lr: 0.013384, weight_decay: 0.000100, momentum_teacher: 0.996782, loss: 3.5185
2022-10-04 01:46:54 - train: epoch 0030, iter [01700, 10009], lr: 0.013383, weight_decay: 0.000100, momentum_teacher: 0.996783, loss: 3.5329
2022-10-04 01:47:42 - train: epoch 0030, iter [01800, 10009], lr: 0.013381, weight_decay: 0.000100, momentum_teacher: 0.996783, loss: 3.4219
2022-10-04 01:48:29 - train: epoch 0030, iter [01900, 10009], lr: 0.013379, weight_decay: 0.000100, momentum_teacher: 0.996784, loss: 3.5870
2022-10-04 01:49:17 - train: epoch 0030, iter [02000, 10009], lr: 0.013378, weight_decay: 0.000100, momentum_teacher: 0.996784, loss: 3.8657
2022-10-04 01:50:23 - train: epoch 0030, iter [02100, 10009], lr: 0.013376, weight_decay: 0.000100, momentum_teacher: 0.996785, loss: 3.4696
2022-10-04 01:51:11 - train: epoch 0030, iter [02200, 10009], lr: 0.013375, weight_decay: 0.000100, momentum_teacher: 0.996785, loss: 3.2591
