2022-07-20 19:16:46 - epoch 009 lr: 0.000010
2022-07-20 19:17:26 - train: epoch 0009, iter [00100, 14658], lr: 0.000010, total_loss: 0.4143, cls_loss: 0.2449, reg_loss: 0.1695, 
2022-07-20 19:18:08 - train: epoch 0009, iter [00200, 14658], lr: 0.000010, total_loss: 0.3568, cls_loss: 0.1848, reg_loss: 0.1720, 
2022-07-20 19:18:45 - train: epoch 0009, iter [00300, 14658], lr: 0.000010, total_loss: 0.5057, cls_loss: 0.3278, reg_loss: 0.1780, 
2022-07-20 19:19:28 - train: epoch 0009, iter [00400, 14658], lr: 0.000010, total_loss: 0.1932, cls_loss: 0.0768, reg_loss: 0.1164, 
2022-07-20 19:20:05 - train: epoch 0009, iter [00500, 14658], lr: 0.000010, total_loss: 0.4119, cls_loss: 0.2599, reg_loss: 0.1520, 
2022-07-20 19:20:46 - train: epoch 0009, iter [00600, 14658], lr: 0.000010, total_loss: 0.4391, cls_loss: 0.2752, reg_loss: 0.1638, 
2022-07-20 19:21:29 - train: epoch 0009, iter [00700, 14658], lr: 0.000010, total_loss: 0.4294, cls_loss: 0.2359, reg_loss: 0.1935, 
2022-07-20 19:22:06 - train: epoch 0009, iter [00800, 14658], lr: 0.000010, total_loss: 0.3557, cls_loss: 0.2069, reg_loss: 0.1488, 
2022-07-20 19:22:48 - train: epoch 0009, iter [00900, 14658], lr: 0.000010, total_loss: 0.4971, cls_loss: 0.2824, reg_loss: 0.2147, 
2022-07-20 19:23:25 - train: epoch 0009, iter [01000, 14658], lr: 0.000010, total_loss: 0.3485, cls_loss: 0.1875, reg_loss: 0.1610, 
2022-07-20 19:24:08 - train: epoch 0009, iter [01100, 14658], lr: 0.000010, total_loss: 0.6863, cls_loss: 0.4370, reg_loss: 0.2493, 
2022-07-20 19:24:45 - train: epoch 0009, iter [01200, 14658], lr: 0.000010, total_loss: 0.4556, cls_loss: 0.2749, reg_loss: 0.1807, 
2022-07-20 19:25:28 - train: epoch 0009, iter [01300, 14658], lr: 0.000010, total_loss: 0.5050, cls_loss: 0.3245, reg_loss: 0.1806, 
2022-07-20 19:26:10 - train: epoch 0009, iter [01400, 14658], lr: 0.000010, total_loss: 0.3215, cls_loss: 0.1821, reg_loss: 0.1394, 
2022-07-20 19:26:47 - train: epoch 0009, iter [01500, 14658], lr: 0.000010, total_loss: 0.5408, cls_loss: 0.3322, reg_loss: 0.2086, 
2022-07-20 19:27:30 - train: epoch 0009, iter [01600, 14658], lr: 0.000010, total_loss: 0.5111, cls_loss: 0.3175, reg_loss: 0.1936, 
2022-07-20 19:28:08 - train: epoch 0009, iter [01700, 14658], lr: 0.000010, total_loss: 0.4367, cls_loss: 0.2635, reg_loss: 0.1732, 
2022-07-20 19:28:50 - train: epoch 0009, iter [01800, 14658], lr: 0.000010, total_loss: 0.3867, cls_loss: 0.2285, reg_loss: 0.1582, 
2022-07-20 19:29:30 - train: epoch 0009, iter [01900, 14658], lr: 0.000010, total_loss: 0.5218, cls_loss: 0.3182, reg_loss: 0.2037, 
2022-07-20 19:30:11 - train: epoch 0009, iter [02000, 14658], lr: 0.000010, total_loss: 0.3726, cls_loss: 0.2145, reg_loss: 0.1581, 
2022-07-20 19:30:51 - train: epoch 0009, iter [02100, 14658], lr: 0.000010, total_loss: 0.5184, cls_loss: 0.2885, reg_loss: 0.2298, 
2022-07-20 19:31:26 - train: epoch 0009, iter [02200, 14658], lr: 0.000010, total_loss: 0.3482, cls_loss: 0.1922, reg_loss: 0.1560, 
2022-07-20 19:32:06 - train: epoch 0009, iter [02300, 14658], lr: 0.000010, total_loss: 0.3513, cls_loss: 0.2020, reg_loss: 0.1492, 
2022-07-20 19:32:44 - train: epoch 0009, iter [02400, 14658], lr: 0.000010, total_loss: 0.3450, cls_loss: 0.1783, reg_loss: 0.1666, 
2022-07-20 19:33:26 - train: epoch 0009, iter [02500, 14658], lr: 0.000010, total_loss: 0.4510, cls_loss: 0.2610, reg_loss: 0.1900, 
2022-07-20 19:34:05 - train: epoch 0009, iter [02600, 14658], lr: 0.000010, total_loss: 0.3792, cls_loss: 0.2297, reg_loss: 0.1495, 
2022-07-20 19:34:47 - train: epoch 0009, iter [02700, 14658], lr: 0.000010, total_loss: 0.3073, cls_loss: 0.1579, reg_loss: 0.1494, 
2022-07-20 19:35:29 - train: epoch 0009, iter [02800, 14658], lr: 0.000010, total_loss: 0.5404, cls_loss: 0.3161, reg_loss: 0.2243, 
2022-07-20 19:36:07 - train: epoch 0009, iter [02900, 14658], lr: 0.000010, total_loss: 0.4928, cls_loss: 0.2915, reg_loss: 0.2013, 
2022-07-20 19:36:49 - train: epoch 0009, iter [03000, 14658], lr: 0.000010, total_loss: 0.4812, cls_loss: 0.2603, reg_loss: 0.2209, 
2022-07-20 19:37:26 - train: epoch 0009, iter [03100, 14658], lr: 0.000010, total_loss: 0.4447, cls_loss: 0.2711, reg_loss: 0.1736, 
2022-07-20 19:38:08 - train: epoch 0009, iter [03200, 14658], lr: 0.000010, total_loss: 0.4010, cls_loss: 0.2254, reg_loss: 0.1756, 
