2022-04-30 12:55:17 - network: resnet50_retinanet
2022-04-30 12:55:17 - num_classes: 20
2022-04-30 12:55:17 - input_image_size: [400, 667]
2022-04-30 12:55:17 - backbone_pretrained_path: /root/code/simpleAICV-pytorch-ImageNet-COCO-training/pretrained_models/resnet/resnet50-acc76.322.pth
2022-04-30 12:55:17 - trained_model_path: 
2022-04-30 12:55:17 - criterion: RetinaLoss()
2022-04-30 12:55:17 - decoder: <simpleAICV.detection.decode.RetinaDecoder object at 0x7fc453320b80>
2022-04-30 12:55:17 - train_dataset: <simpleAICV.detection.datasets.vocdataset.VocDetection object at 0x7fc453320ee0>
2022-04-30 12:55:17 - val_dataset: <simpleAICV.detection.datasets.vocdataset.VocDetection object at 0x7fc453320fd0>
2022-04-30 12:55:17 - collater: <simpleAICV.detection.common.DetectionCollater object at 0x7fc453320f70>
2022-04-30 12:55:17 - seed: 0
2022-04-30 12:55:17 - batch_size: 32
2022-04-30 12:55:17 - num_workers: 4
2022-04-30 12:55:17 - optimizer: ('AdamW', {'lr': 0.0001, 'weight_decay': 0.001})
2022-04-30 12:55:17 - scheduler: ('MultiStepLR', {'warm_up_epochs': 0, 'gamma': 0.1, 'milestones': [8, 12]})
2022-04-30 12:55:17 - epochs: 13
2022-04-30 12:55:17 - eval_epoch: [1, 3, 5, 8, 10, 12, 13]
2022-04-30 12:55:17 - print_interval: 100
2022-04-30 12:55:17 - eval_type: VOC
2022-04-30 12:55:17 - eval_voc_iou_threshold_list: [0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95]
2022-04-30 12:55:17 - save_model_metric: IoU=0.50,area=all,maxDets=100,mAP
2022-04-30 12:55:17 - sync_bn: False
2022-04-30 12:55:17 - apex: True
2022-04-30 12:55:17 - gpus_type: NVIDIA RTX A5000
2022-04-30 12:55:17 - gpus_num: 2
2022-04-30 12:55:17 - group: <torch._C._distributed_c10d.ProcessGroupNCCL object at 0x7fc451eeb670>
2022-04-30 12:55:17 - --------------------parameters--------------------
2022-04-30 12:55:17 - name: backbone.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.downsample_conv.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.downsample_conv.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.0.downsample_conv.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.1.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer1.2.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.downsample_conv.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.downsample_conv.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.0.downsample_conv.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.1.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.2.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer2.3.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv1.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv1.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv2.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv2.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv2.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv3.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv3.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.conv3.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.downsample_conv.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.downsample_conv.layer.1.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.0.downsample_conv.layer.1.bias, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.1.conv1.layer.0.weight, grad: True
2022-04-30 12:55:17 - name: backbone.layer3.1.conv1.layer.1.weight, grad: True
