2022-08-02 00:00:57 - train: epoch 0063, iter [01200, 05004], lr: 0.001000, loss: 1.8171, tea_CELoss: 0.7849, stu_CELoss: 0.9017, DMLLoss: 0.1305, 
2022-08-02 00:01:54 - train: epoch 0063, iter [01300, 05004], lr: 0.001000, loss: 1.6344, tea_CELoss: 0.6825, stu_CELoss: 0.8049, DMLLoss: 0.1470, 
2022-08-02 00:02:51 - train: epoch 0063, iter [01400, 05004], lr: 0.001000, loss: 2.1051, tea_CELoss: 0.8821, stu_CELoss: 1.0468, DMLLoss: 0.1762, 
2022-08-02 00:03:49 - train: epoch 0063, iter [01500, 05004], lr: 0.001000, loss: 1.7947, tea_CELoss: 0.7674, stu_CELoss: 0.8892, DMLLoss: 0.1382, 
2022-08-02 00:04:46 - train: epoch 0063, iter [01600, 05004], lr: 0.001000, loss: 1.8614, tea_CELoss: 0.7556, stu_CELoss: 0.9378, DMLLoss: 0.1681, 
2022-08-02 00:05:44 - train: epoch 0063, iter [01700, 05004], lr: 0.001000, loss: 1.8144, tea_CELoss: 0.7582, stu_CELoss: 0.8952, DMLLoss: 0.1610, 
2022-08-02 00:06:41 - train: epoch 0063, iter [01800, 05004], lr: 0.001000, loss: 1.7375, tea_CELoss: 0.7628, stu_CELoss: 0.8505, DMLLoss: 0.1242, 
2022-08-02 00:07:38 - train: epoch 0063, iter [01900, 05004], lr: 0.001000, loss: 1.9587, tea_CELoss: 0.8246, stu_CELoss: 0.9755, DMLLoss: 0.1586, 
2022-08-02 00:08:36 - train: epoch 0063, iter [02000, 05004], lr: 0.001000, loss: 1.6767, tea_CELoss: 0.7154, stu_CELoss: 0.8248, DMLLoss: 0.1365, 
2022-08-02 00:09:33 - train: epoch 0063, iter [02100, 05004], lr: 0.001000, loss: 1.6871, tea_CELoss: 0.7265, stu_CELoss: 0.8067, DMLLoss: 0.1539, 
2022-08-02 00:10:31 - train: epoch 0063, iter [02200, 05004], lr: 0.001000, loss: 2.1265, tea_CELoss: 0.9310, stu_CELoss: 1.0481, DMLLoss: 0.1473, 
2022-08-02 00:11:28 - train: epoch 0063, iter [02300, 05004], lr: 0.001000, loss: 1.8151, tea_CELoss: 0.7322, stu_CELoss: 0.9128, DMLLoss: 0.1701, 
2022-08-02 00:12:26 - train: epoch 0063, iter [02400, 05004], lr: 0.001000, loss: 1.6029, tea_CELoss: 0.6496, stu_CELoss: 0.8103, DMLLoss: 0.1430, 
2022-08-02 00:13:23 - train: epoch 0063, iter [02500, 05004], lr: 0.001000, loss: 1.7927, tea_CELoss: 0.7663, stu_CELoss: 0.8893, DMLLoss: 0.1371, 
2022-08-02 00:14:21 - train: epoch 0063, iter [02600, 05004], lr: 0.001000, loss: 1.7735, tea_CELoss: 0.7854, stu_CELoss: 0.8574, DMLLoss: 0.1307, 
2022-08-02 00:15:18 - train: epoch 0063, iter [02700, 05004], lr: 0.001000, loss: 2.1490, tea_CELoss: 0.9271, stu_CELoss: 1.0628, DMLLoss: 0.1592, 
2022-08-02 00:16:16 - train: epoch 0063, iter [02800, 05004], lr: 0.001000, loss: 1.9127, tea_CELoss: 0.7969, stu_CELoss: 0.9584, DMLLoss: 0.1575, 
2022-08-02 00:17:13 - train: epoch 0063, iter [02900, 05004], lr: 0.001000, loss: 2.1178, tea_CELoss: 0.8738, stu_CELoss: 1.0799, DMLLoss: 0.1641, 
2022-08-02 00:18:11 - train: epoch 0063, iter [03000, 05004], lr: 0.001000, loss: 2.0420, tea_CELoss: 0.8675, stu_CELoss: 1.0204, DMLLoss: 0.1541, 
2022-08-02 00:19:09 - train: epoch 0063, iter [03100, 05004], lr: 0.001000, loss: 2.1371, tea_CELoss: 0.9105, stu_CELoss: 1.0788, DMLLoss: 0.1478, 
2022-08-02 00:20:07 - train: epoch 0063, iter [03200, 05004], lr: 0.001000, loss: 2.0316, tea_CELoss: 0.8746, stu_CELoss: 1.0111, DMLLoss: 0.1459, 
2022-08-02 00:21:04 - train: epoch 0063, iter [03300, 05004], lr: 0.001000, loss: 1.7513, tea_CELoss: 0.7330, stu_CELoss: 0.8916, DMLLoss: 0.1267, 
2022-08-02 00:22:02 - train: epoch 0063, iter [03400, 05004], lr: 0.001000, loss: 1.7749, tea_CELoss: 0.6958, stu_CELoss: 0.9044, DMLLoss: 0.1747, 
2022-08-02 00:23:00 - train: epoch 0063, iter [03500, 05004], lr: 0.001000, loss: 1.9846, tea_CELoss: 0.8335, stu_CELoss: 0.9730, DMLLoss: 0.1781, 
2022-08-02 00:23:57 - train: epoch 0063, iter [03600, 05004], lr: 0.001000, loss: 2.0088, tea_CELoss: 0.8489, stu_CELoss: 0.9946, DMLLoss: 0.1653, 
2022-08-02 00:24:55 - train: epoch 0063, iter [03700, 05004], lr: 0.001000, loss: 2.1724, tea_CELoss: 0.9063, stu_CELoss: 1.1107, DMLLoss: 0.1554, 
2022-08-02 00:25:52 - train: epoch 0063, iter [03800, 05004], lr: 0.001000, loss: 1.9992, tea_CELoss: 0.8369, stu_CELoss: 0.9972, DMLLoss: 0.1651, 
2022-08-02 00:26:50 - train: epoch 0063, iter [03900, 05004], lr: 0.001000, loss: 1.5321, tea_CELoss: 0.6487, stu_CELoss: 0.7494, DMLLoss: 0.1340, 
2022-08-02 00:27:48 - train: epoch 0063, iter [04000, 05004], lr: 0.001000, loss: 1.3758, tea_CELoss: 0.5761, stu_CELoss: 0.6718, DMLLoss: 0.1279, 
2022-08-02 00:28:45 - train: epoch 0063, iter [04100, 05004], lr: 0.001000, loss: 1.8002, tea_CELoss: 0.7488, stu_CELoss: 0.9025, DMLLoss: 0.1489, 
2022-08-02 00:29:42 - train: epoch 0063, iter [04200, 05004], lr: 0.001000, loss: 1.6540, tea_CELoss: 0.7228, stu_CELoss: 0.8085, DMLLoss: 0.1227, 
