2022-07-21 23:55:23 - eval: epoch: 094, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 72.134%, stu_acc5: 90.522%, stu_test_loss: 1.1261
2022-07-21 23:55:23 - until epoch: 094, tea_best_acc1: 73.728%, stu_best_acc1: 72.134%
2022-07-22 19:56:49 - epoch 095 lr: 0.000100
2022-07-22 19:57:29 - train: epoch 0095, iter [00100, 05004], lr: 0.000100, loss: 1.9173, stu_CELoss: 1.3958, DKDLoss: 0.5215, 
2022-07-22 19:58:00 - train: epoch 0095, iter [00200, 05004], lr: 0.000100, loss: 1.6464, stu_CELoss: 1.1405, DKDLoss: 0.5059, 
2022-07-22 19:58:33 - train: epoch 0095, iter [00300, 05004], lr: 0.000100, loss: 1.7114, stu_CELoss: 1.2024, DKDLoss: 0.5090, 
2022-07-22 19:59:06 - train: epoch 0095, iter [00400, 05004], lr: 0.000100, loss: 1.7185, stu_CELoss: 1.1910, DKDLoss: 0.5275, 
2022-07-22 19:59:39 - train: epoch 0095, iter [00500, 05004], lr: 0.000100, loss: 1.8038, stu_CELoss: 1.2889, DKDLoss: 0.5150, 
2022-07-22 20:00:12 - train: epoch 0095, iter [00600, 05004], lr: 0.000100, loss: 1.7588, stu_CELoss: 1.2248, DKDLoss: 0.5340, 
2022-07-22 20:00:44 - train: epoch 0095, iter [00700, 05004], lr: 0.000100, loss: 1.7436, stu_CELoss: 1.2102, DKDLoss: 0.5333, 
2022-07-22 20:01:17 - train: epoch 0095, iter [00800, 05004], lr: 0.000100, loss: 1.8644, stu_CELoss: 1.2674, DKDLoss: 0.5971, 
2022-07-22 20:01:50 - train: epoch 0095, iter [00900, 05004], lr: 0.000100, loss: 1.8601, stu_CELoss: 1.3474, DKDLoss: 0.5127, 
2022-07-22 20:02:22 - train: epoch 0095, iter [01000, 05004], lr: 0.000100, loss: 1.7253, stu_CELoss: 1.1830, DKDLoss: 0.5424, 
2022-07-22 20:02:54 - train: epoch 0095, iter [01100, 05004], lr: 0.000100, loss: 1.7269, stu_CELoss: 1.2010, DKDLoss: 0.5258, 
2022-07-22 20:03:27 - train: epoch 0095, iter [01200, 05004], lr: 0.000100, loss: 1.5896, stu_CELoss: 1.0863, DKDLoss: 0.5033, 
2022-07-22 20:04:01 - train: epoch 0095, iter [01300, 05004], lr: 0.000100, loss: 1.8173, stu_CELoss: 1.2987, DKDLoss: 0.5186, 
2022-07-22 20:04:33 - train: epoch 0095, iter [01400, 05004], lr: 0.000100, loss: 1.7126, stu_CELoss: 1.2039, DKDLoss: 0.5087, 
