2022-03-15 17:49:34 - train: epoch 0095, iter [04900, 05004], lr: 0.000100, loss: 2.1825, tea_CELoss: 0.9019 stu_CELoss: 1.0522 DMLLoss: 0.2284 
2022-03-15 17:50:06 - train: epoch 0095, iter [05000, 05004], lr: 0.000100, loss: 2.5583, tea_CELoss: 1.1155 stu_CELoss: 1.2658 DMLLoss: 0.1770 
2022-03-15 17:50:07 - train: epoch 095, train_loss: 2.5689
2022-03-15 17:52:37 - eval: epoch: 095, tea_acc1: 74.242%, tea_acc5: 91.930%, tea_test_loss: 1.0123, stu_acc1: 71.596%, stu_acc5: 90.378%, stu_test_loss: 1.1398
2022-03-15 17:52:37 - until epoch: 095, tea_best_acc1: 74.250%, stu_best_acc1: 71.678%
2022-03-15 17:52:37 - epoch 096 lr: 0.00010000000000000003
2022-03-15 17:53:16 - train: epoch 0096, iter [00100, 05004], lr: 0.000100, loss: 2.5529, tea_CELoss: 1.0792 stu_CELoss: 1.2517 DMLLoss: 0.2220 
2022-03-15 17:53:49 - train: epoch 0096, iter [00200, 05004], lr: 0.000100, loss: 2.6264, tea_CELoss: 1.1379 stu_CELoss: 1.2882 DMLLoss: 0.2003 
2022-03-15 17:54:23 - train: epoch 0096, iter [00300, 05004], lr: 0.000100, loss: 2.3849, tea_CELoss: 1.0161 stu_CELoss: 1.1546 DMLLoss: 0.2143 
2022-03-15 17:54:57 - train: epoch 0096, iter [00400, 05004], lr: 0.000100, loss: 2.4309, tea_CELoss: 1.0323 stu_CELoss: 1.1980 DMLLoss: 0.2006 
2022-03-15 17:55:31 - train: epoch 0096, iter [00500, 05004], lr: 0.000100, loss: 2.8014, tea_CELoss: 1.1938 stu_CELoss: 1.4220 DMLLoss: 0.1856 
2022-03-15 17:56:05 - train: epoch 0096, iter [00600, 05004], lr: 0.000100, loss: 2.6100, tea_CELoss: 1.0960 stu_CELoss: 1.2972 DMLLoss: 0.2168 
2022-03-15 17:56:38 - train: epoch 0096, iter [00700, 05004], lr: 0.000100, loss: 2.7176, tea_CELoss: 1.1629 stu_CELoss: 1.3363 DMLLoss: 0.2184 
2022-03-15 17:57:12 - train: epoch 0096, iter [00800, 05004], lr: 0.000100, loss: 2.1566, tea_CELoss: 0.9208 stu_CELoss: 1.0577 DMLLoss: 0.1781 
2022-03-15 17:57:46 - train: epoch 0096, iter [00900, 05004], lr: 0.000100, loss: 2.6980, tea_CELoss: 1.1737 stu_CELoss: 1.3074 DMLLoss: 0.2169 
2022-03-15 17:58:19 - train: epoch 0096, iter [01000, 05004], lr: 0.000100, loss: 2.6261, tea_CELoss: 1.0940 stu_CELoss: 1.3078 DMLLoss: 0.2242 
2022-03-15 17:58:53 - train: epoch 0096, iter [01100, 05004], lr: 0.000100, loss: 2.5941, tea_CELoss: 1.0996 stu_CELoss: 1.2874 DMLLoss: 0.2071 
2022-03-15 17:59:26 - train: epoch 0096, iter [01200, 05004], lr: 0.000100, loss: 2.2938, tea_CELoss: 0.9856 stu_CELoss: 1.1282 DMLLoss: 0.1800 
2022-03-15 18:00:00 - train: epoch 0096, iter [01300, 05004], lr: 0.000100, loss: 2.5041, tea_CELoss: 1.0498 stu_CELoss: 1.2679 DMLLoss: 0.1864 
2022-03-15 18:00:34 - train: epoch 0096, iter [01400, 05004], lr: 0.000100, loss: 2.5579, tea_CELoss: 1.1010 stu_CELoss: 1.2506 DMLLoss: 0.2064 
2022-03-15 18:01:08 - train: epoch 0096, iter [01500, 05004], lr: 0.000100, loss: 2.3190, tea_CELoss: 0.9818 stu_CELoss: 1.1428 DMLLoss: 0.1944 
2022-03-15 18:01:42 - train: epoch 0096, iter [01600, 05004], lr: 0.000100, loss: 2.2169, tea_CELoss: 0.9471 stu_CELoss: 1.0818 DMLLoss: 0.1881 
2022-03-15 18:02:14 - train: epoch 0096, iter [01700, 05004], lr: 0.000100, loss: 2.1737, tea_CELoss: 0.9056 stu_CELoss: 1.0877 DMLLoss: 0.1804 
2022-03-15 18:02:48 - train: epoch 0096, iter [01800, 05004], lr: 0.000100, loss: 2.5482, tea_CELoss: 1.0787 stu_CELoss: 1.2964 DMLLoss: 0.1731 
2022-03-15 18:03:22 - train: epoch 0096, iter [01900, 05004], lr: 0.000100, loss: 2.7252, tea_CELoss: 1.1747 stu_CELoss: 1.3615 DMLLoss: 0.1889 
2022-03-15 18:03:56 - train: epoch 0096, iter [02000, 05004], lr: 0.000100, loss: 2.7056, tea_CELoss: 1.1645 stu_CELoss: 1.3038 DMLLoss: 0.2372 
2022-03-15 18:04:30 - train: epoch 0096, iter [02100, 05004], lr: 0.000100, loss: 2.5707, tea_CELoss: 1.0886 stu_CELoss: 1.2752 DMLLoss: 0.2068 
2022-03-15 18:05:04 - train: epoch 0096, iter [02200, 05004], lr: 0.000100, loss: 2.2784, tea_CELoss: 0.9735 stu_CELoss: 1.1170 DMLLoss: 0.1879 
2022-03-15 18:05:38 - train: epoch 0096, iter [02300, 05004], lr: 0.000100, loss: 2.4911, tea_CELoss: 1.0671 stu_CELoss: 1.2506 DMLLoss: 0.1733 
2022-03-15 18:06:11 - train: epoch 0096, iter [02400, 05004], lr: 0.000100, loss: 2.6214, tea_CELoss: 1.1305 stu_CELoss: 1.2949 DMLLoss: 0.1961 
2022-03-15 18:06:46 - train: epoch 0096, iter [02500, 05004], lr: 0.000100, loss: 2.5236, tea_CELoss: 1.0678 stu_CELoss: 1.2396 DMLLoss: 0.2163 
2022-03-15 18:07:19 - train: epoch 0096, iter [02600, 05004], lr: 0.000100, loss: 2.5859, tea_CELoss: 1.0954 stu_CELoss: 1.2871 DMLLoss: 0.2033 
2022-03-15 18:07:52 - train: epoch 0096, iter [02700, 05004], lr: 0.000100, loss: 2.6465, tea_CELoss: 1.1099 stu_CELoss: 1.3267 DMLLoss: 0.2100 
2022-03-15 18:08:27 - train: epoch 0096, iter [02800, 05004], lr: 0.000100, loss: 2.4760, tea_CELoss: 1.0489 stu_CELoss: 1.2268 DMLLoss: 0.2003 
2022-03-15 18:09:00 - train: epoch 0096, iter [02900, 05004], lr: 0.000100, loss: 2.5863, tea_CELoss: 1.1206 stu_CELoss: 1.2737 DMLLoss: 0.1920 
2022-03-15 18:09:34 - train: epoch 0096, iter [03000, 05004], lr: 0.000100, loss: 2.7280, tea_CELoss: 1.1516 stu_CELoss: 1.3381 DMLLoss: 0.2384 
2022-03-15 18:10:08 - train: epoch 0096, iter [03100, 05004], lr: 0.000100, loss: 2.7403, tea_CELoss: 1.1442 stu_CELoss: 1.3916 DMLLoss: 0.2046 
2022-03-15 18:10:42 - train: epoch 0096, iter [03200, 05004], lr: 0.000100, loss: 2.7847, tea_CELoss: 1.2014 stu_CELoss: 1.3647 DMLLoss: 0.2185 
2022-03-15 18:11:15 - train: epoch 0096, iter [03300, 05004], lr: 0.000100, loss: 2.6671, tea_CELoss: 1.1540 stu_CELoss: 1.2883 DMLLoss: 0.2248 
2022-03-15 18:11:49 - train: epoch 0096, iter [03400, 05004], lr: 0.000100, loss: 2.6927, tea_CELoss: 1.1425 stu_CELoss: 1.3498 DMLLoss: 0.2005 
2022-03-15 18:12:22 - train: epoch 0096, iter [03500, 05004], lr: 0.000100, loss: 2.2630, tea_CELoss: 0.9467 stu_CELoss: 1.1194 DMLLoss: 0.1968 
2022-03-15 18:12:56 - train: epoch 0096, iter [03600, 05004], lr: 0.000100, loss: 2.5236, tea_CELoss: 1.0361 stu_CELoss: 1.2384 DMLLoss: 0.2491 
2022-03-15 18:13:30 - train: epoch 0096, iter [03700, 05004], lr: 0.000100, loss: 2.7618, tea_CELoss: 1.2293 stu_CELoss: 1.3461 DMLLoss: 0.1864 
2022-03-15 18:14:04 - train: epoch 0096, iter [03800, 05004], lr: 0.000100, loss: 2.7511, tea_CELoss: 1.1711 stu_CELoss: 1.3810 DMLLoss: 0.1989 
2022-03-15 18:14:38 - train: epoch 0096, iter [03900, 05004], lr: 0.000100, loss: 2.5232, tea_CELoss: 1.0345 stu_CELoss: 1.2746 DMLLoss: 0.2141 
2022-03-15 18:15:11 - train: epoch 0096, iter [04000, 05004], lr: 0.000100, loss: 2.7367, tea_CELoss: 1.1549 stu_CELoss: 1.3561 DMLLoss: 0.2257 
2022-03-15 18:15:45 - train: epoch 0096, iter [04100, 05004], lr: 0.000100, loss: 2.4655, tea_CELoss: 1.0361 stu_CELoss: 1.2355 DMLLoss: 0.1939 
2022-03-15 18:16:18 - train: epoch 0096, iter [04200, 05004], lr: 0.000100, loss: 2.1941, tea_CELoss: 0.9081 stu_CELoss: 1.0806 DMLLoss: 0.2053 
2022-03-15 18:16:52 - train: epoch 0096, iter [04300, 05004], lr: 0.000100, loss: 2.1465, tea_CELoss: 0.9202 stu_CELoss: 1.0437 DMLLoss: 0.1826 
2022-03-15 18:17:25 - train: epoch 0096, iter [04400, 05004], lr: 0.000100, loss: 2.3740, tea_CELoss: 1.0211 stu_CELoss: 1.1694 DMLLoss: 0.1835 
2022-03-15 18:17:59 - train: epoch 0096, iter [04500, 05004], lr: 0.000100, loss: 2.9636, tea_CELoss: 1.2677 stu_CELoss: 1.4583 DMLLoss: 0.2377 
2022-03-15 18:18:33 - train: epoch 0096, iter [04600, 05004], lr: 0.000100, loss: 2.2158, tea_CELoss: 0.9203 stu_CELoss: 1.1047 DMLLoss: 0.1909 
2022-03-15 18:19:07 - train: epoch 0096, iter [04700, 05004], lr: 0.000100, loss: 3.0242, tea_CELoss: 1.3240 stu_CELoss: 1.4973 DMLLoss: 0.2029 
2022-03-15 18:19:40 - train: epoch 0096, iter [04800, 05004], lr: 0.000100, loss: 2.7327, tea_CELoss: 1.2062 stu_CELoss: 1.3297 DMLLoss: 0.1968 
2022-03-15 18:20:13 - train: epoch 0096, iter [04900, 05004], lr: 0.000100, loss: 2.6023, tea_CELoss: 1.1025 stu_CELoss: 1.2715 DMLLoss: 0.2283 
2022-03-15 18:20:46 - train: epoch 0096, iter [05000, 05004], lr: 0.000100, loss: 2.5238, tea_CELoss: 1.0838 stu_CELoss: 1.2390 DMLLoss: 0.2010 
2022-03-15 18:20:47 - train: epoch 096, train_loss: 2.5627
2022-03-15 18:23:18 - eval: epoch: 096, tea_acc1: 74.222%, tea_acc5: 91.928%, tea_test_loss: 1.0117, stu_acc1: 71.620%, stu_acc5: 90.392%, stu_test_loss: 1.1378
2022-03-15 18:23:18 - until epoch: 096, tea_best_acc1: 74.250%, stu_best_acc1: 71.678%
2022-03-15 18:23:18 - epoch 097 lr: 0.00010000000000000003
2022-03-15 18:23:57 - train: epoch 0097, iter [00100, 05004], lr: 0.000100, loss: 2.6053, tea_CELoss: 1.0967 stu_CELoss: 1.2809 DMLLoss: 0.2276 
2022-03-15 18:24:31 - train: epoch 0097, iter [00200, 05004], lr: 0.000100, loss: 2.3481, tea_CELoss: 0.9841 stu_CELoss: 1.1571 DMLLoss: 0.2069 
2022-03-15 18:25:05 - train: epoch 0097, iter [00300, 05004], lr: 0.000100, loss: 2.8424, tea_CELoss: 1.2060 stu_CELoss: 1.4169 DMLLoss: 0.2195 
2022-03-15 18:25:38 - train: epoch 0097, iter [00400, 05004], lr: 0.000100, loss: 2.5766, tea_CELoss: 1.1089 stu_CELoss: 1.2856 DMLLoss: 0.1821 
2022-03-15 18:26:12 - train: epoch 0097, iter [00500, 05004], lr: 0.000100, loss: 2.7603, tea_CELoss: 1.1787 stu_CELoss: 1.3713 DMLLoss: 0.2102 
2022-03-15 18:26:45 - train: epoch 0097, iter [00600, 05004], lr: 0.000100, loss: 2.5659, tea_CELoss: 1.0990 stu_CELoss: 1.2600 DMLLoss: 0.2070 
2022-03-15 18:27:20 - train: epoch 0097, iter [00700, 05004], lr: 0.000100, loss: 2.6990, tea_CELoss: 1.1544 stu_CELoss: 1.3408 DMLLoss: 0.2038 
2022-03-15 18:27:53 - train: epoch 0097, iter [00800, 05004], lr: 0.000100, loss: 2.3629, tea_CELoss: 1.0158 stu_CELoss: 1.1421 DMLLoss: 0.2050 
2022-03-15 18:28:27 - train: epoch 0097, iter [00900, 05004], lr: 0.000100, loss: 2.5986, tea_CELoss: 1.1217 stu_CELoss: 1.2657 DMLLoss: 0.2111 
2022-03-15 18:29:00 - train: epoch 0097, iter [01000, 05004], lr: 0.000100, loss: 2.3407, tea_CELoss: 0.9897 stu_CELoss: 1.1601 DMLLoss: 0.1909 
2022-03-15 18:29:33 - train: epoch 0097, iter [01100, 05004], lr: 0.000100, loss: 2.0272, tea_CELoss: 0.8136 stu_CELoss: 1.0278 DMLLoss: 0.1858 
2022-03-15 18:30:07 - train: epoch 0097, iter [01200, 05004], lr: 0.000100, loss: 2.8882, tea_CELoss: 1.2328 stu_CELoss: 1.4124 DMLLoss: 0.2430 
2022-03-15 18:30:41 - train: epoch 0097, iter [01300, 05004], lr: 0.000100, loss: 2.3835, tea_CELoss: 1.0032 stu_CELoss: 1.1678 DMLLoss: 0.2125 
2022-03-15 18:31:15 - train: epoch 0097, iter [01400, 05004], lr: 0.000100, loss: 2.7040, tea_CELoss: 1.1414 stu_CELoss: 1.3505 DMLLoss: 0.2121 
2022-03-15 18:31:49 - train: epoch 0097, iter [01500, 05004], lr: 0.000100, loss: 2.4246, tea_CELoss: 1.0003 stu_CELoss: 1.2262 DMLLoss: 0.1981 
2022-03-15 18:32:23 - train: epoch 0097, iter [01600, 05004], lr: 0.000100, loss: 2.3259, tea_CELoss: 1.0082 stu_CELoss: 1.1200 DMLLoss: 0.1977 
2022-03-15 18:32:56 - train: epoch 0097, iter [01700, 05004], lr: 0.000100, loss: 2.3183, tea_CELoss: 0.9912 stu_CELoss: 1.1112 DMLLoss: 0.2160 
2022-03-15 18:33:30 - train: epoch 0097, iter [01800, 05004], lr: 0.000100, loss: 2.6827, tea_CELoss: 1.1074 stu_CELoss: 1.3524 DMLLoss: 0.2230 
2022-03-15 18:34:04 - train: epoch 0097, iter [01900, 05004], lr: 0.000100, loss: 2.5070, tea_CELoss: 1.0564 stu_CELoss: 1.2380 DMLLoss: 0.2127 
