2022-07-23 19:58:17 - eval: epoch: 077, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 71.328%, stu_acc5: 90.074%, stu_test_loss: 1.1558
2022-07-23 19:58:17 - until epoch: 077, tea_best_acc1: 73.728%, stu_best_acc1: 71.394%
2022-07-23 19:58:17 - epoch 078 lr: 0.001000
2022-07-23 19:58:54 - train: epoch 0078, iter [00100, 05004], lr: 0.001000, loss: 1.6857, stu_CELoss: 1.2161, KDLoss: 0.4696, 
2022-07-23 19:59:27 - train: epoch 0078, iter [00200, 05004], lr: 0.001000, loss: 1.9378, stu_CELoss: 1.4738, KDLoss: 0.4641, 
2022-07-23 20:00:00 - train: epoch 0078, iter [00300, 05004], lr: 0.001000, loss: 1.5885, stu_CELoss: 1.2394, KDLoss: 0.3492, 
2022-07-23 20:00:33 - train: epoch 0078, iter [00400, 05004], lr: 0.001000, loss: 1.3807, stu_CELoss: 1.0178, KDLoss: 0.3629, 
2022-07-23 20:01:05 - train: epoch 0078, iter [00500, 05004], lr: 0.001000, loss: 1.5002, stu_CELoss: 1.1374, KDLoss: 0.3628, 
2022-07-23 20:01:38 - train: epoch 0078, iter [00600, 05004], lr: 0.001000, loss: 1.5853, stu_CELoss: 1.2447, KDLoss: 0.3406, 
2022-07-23 20:02:10 - train: epoch 0078, iter [00700, 05004], lr: 0.001000, loss: 1.7412, stu_CELoss: 1.2721, KDLoss: 0.4691, 
2022-07-23 20:02:42 - train: epoch 0078, iter [00800, 05004], lr: 0.001000, loss: 1.8857, stu_CELoss: 1.4588, KDLoss: 0.4269, 
2022-07-23 20:03:15 - train: epoch 0078, iter [00900, 05004], lr: 0.001000, loss: 1.5499, stu_CELoss: 1.1523, KDLoss: 0.3975, 
2022-07-23 20:03:49 - train: epoch 0078, iter [01000, 05004], lr: 0.001000, loss: 1.7098, stu_CELoss: 1.2832, KDLoss: 0.4266, 
2022-07-23 20:04:21 - train: epoch 0078, iter [01100, 05004], lr: 0.001000, loss: 1.5515, stu_CELoss: 1.1429, KDLoss: 0.4086, 
2022-07-23 20:04:54 - train: epoch 0078, iter [01200, 05004], lr: 0.001000, loss: 1.5400, stu_CELoss: 1.1042, KDLoss: 0.4357, 
2022-07-23 20:05:26 - train: epoch 0078, iter [01300, 05004], lr: 0.001000, loss: 1.5382, stu_CELoss: 1.1830, KDLoss: 0.3552, 
2022-07-23 20:05:59 - train: epoch 0078, iter [01400, 05004], lr: 0.001000, loss: 1.3649, stu_CELoss: 1.0186, KDLoss: 0.3463, 
2022-07-23 20:06:32 - train: epoch 0078, iter [01500, 05004], lr: 0.001000, loss: 1.5211, stu_CELoss: 1.1949, KDLoss: 0.3262, 
2022-07-23 20:07:04 - train: epoch 0078, iter [01600, 05004], lr: 0.001000, loss: 1.6338, stu_CELoss: 1.2261, KDLoss: 0.4077, 
2022-07-23 20:07:37 - train: epoch 0078, iter [01700, 05004], lr: 0.001000, loss: 1.6234, stu_CELoss: 1.2286, KDLoss: 0.3949, 
2022-07-23 20:08:10 - train: epoch 0078, iter [01800, 05004], lr: 0.001000, loss: 1.7556, stu_CELoss: 1.2975, KDLoss: 0.4581, 
2022-07-23 20:08:42 - train: epoch 0078, iter [01900, 05004], lr: 0.001000, loss: 1.4943, stu_CELoss: 1.1086, KDLoss: 0.3857, 
2022-07-23 20:09:15 - train: epoch 0078, iter [02000, 05004], lr: 0.001000, loss: 1.4445, stu_CELoss: 1.0436, KDLoss: 0.4008, 
2022-07-23 20:09:47 - train: epoch 0078, iter [02100, 05004], lr: 0.001000, loss: 1.7712, stu_CELoss: 1.3452, KDLoss: 0.4260, 
2022-07-23 20:10:20 - train: epoch 0078, iter [02200, 05004], lr: 0.001000, loss: 1.6653, stu_CELoss: 1.2475, KDLoss: 0.4178, 
2022-07-23 20:10:53 - train: epoch 0078, iter [02300, 05004], lr: 0.001000, loss: 1.6462, stu_CELoss: 1.2044, KDLoss: 0.4419, 
2022-07-23 20:11:25 - train: epoch 0078, iter [02400, 05004], lr: 0.001000, loss: 1.5963, stu_CELoss: 1.2075, KDLoss: 0.3888, 
2022-07-23 20:11:57 - train: epoch 0078, iter [02500, 05004], lr: 0.001000, loss: 1.6978, stu_CELoss: 1.3395, KDLoss: 0.3583, 
2022-07-23 20:12:30 - train: epoch 0078, iter [02600, 05004], lr: 0.001000, loss: 1.7570, stu_CELoss: 1.3208, KDLoss: 0.4362, 
2022-07-23 20:13:03 - train: epoch 0078, iter [02700, 05004], lr: 0.001000, loss: 1.6960, stu_CELoss: 1.2652, KDLoss: 0.4308, 
2022-07-23 20:13:35 - train: epoch 0078, iter [02800, 05004], lr: 0.001000, loss: 1.5692, stu_CELoss: 1.1589, KDLoss: 0.4104, 
2022-07-23 20:14:09 - train: epoch 0078, iter [02900, 05004], lr: 0.001000, loss: 1.8871, stu_CELoss: 1.4366, KDLoss: 0.4504, 
2022-07-23 20:14:42 - train: epoch 0078, iter [03000, 05004], lr: 0.001000, loss: 1.7186, stu_CELoss: 1.2684, KDLoss: 0.4502, 
2022-07-23 20:15:13 - train: epoch 0078, iter [03100, 05004], lr: 0.001000, loss: 1.7866, stu_CELoss: 1.3518, KDLoss: 0.4347, 
2022-07-23 20:15:47 - train: epoch 0078, iter [03200, 05004], lr: 0.001000, loss: 1.5622, stu_CELoss: 1.1453, KDLoss: 0.4169, 
2022-07-23 20:16:19 - train: epoch 0078, iter [03300, 05004], lr: 0.001000, loss: 1.8351, stu_CELoss: 1.3946, KDLoss: 0.4404, 
