2022-10-04 00:00:02 - train: epoch 0050, iter [01240, 01251], lr: 0.000352, loss: 0.0943
2022-10-04 00:00:30 - train: epoch 0050, iter [01250, 01251], lr: 0.000352, loss: 0.0951
2022-10-04 00:00:34 - train: epoch 050, train_loss: 0.0898
2022-10-04 00:00:36 - until epoch: 050, best_loss: 0.0898
2022-10-04 00:00:36 - epoch 051 lr: 0.000352
2022-10-04 00:01:11 - train: epoch 0051, iter [00010, 01251], lr: 0.000352, loss: 0.0790
2022-10-04 00:01:40 - train: epoch 0051, iter [00020, 01251], lr: 0.000352, loss: 0.0884
2022-10-04 00:02:08 - train: epoch 0051, iter [00030, 01251], lr: 0.000352, loss: 0.0851
2022-10-04 00:02:36 - train: epoch 0051, iter [00040, 01251], lr: 0.000352, loss: 0.0959
2022-10-04 00:03:04 - train: epoch 0051, iter [00050, 01251], lr: 0.000352, loss: 0.0953
2022-10-04 00:03:33 - train: epoch 0051, iter [00060, 01251], lr: 0.000352, loss: 0.0887
2022-10-04 00:04:01 - train: epoch 0051, iter [00070, 01251], lr: 0.000352, loss: 0.0885
2022-10-04 00:04:29 - train: epoch 0051, iter [00080, 01251], lr: 0.000351, loss: 0.0929
2022-10-04 00:04:57 - train: epoch 0051, iter [00090, 01251], lr: 0.000351, loss: 0.0906
2022-10-04 00:05:25 - train: epoch 0051, iter [00100, 01251], lr: 0.000351, loss: 0.0911
2022-10-04 00:05:53 - train: epoch 0051, iter [00110, 01251], lr: 0.000351, loss: 0.0854
2022-10-04 00:06:21 - train: epoch 0051, iter [00120, 01251], lr: 0.000351, loss: 0.0855
2022-10-04 00:06:50 - train: epoch 0051, iter [00130, 01251], lr: 0.000351, loss: 0.0922
2022-10-04 00:07:18 - train: epoch 0051, iter [00140, 01251], lr: 0.000351, loss: 0.0900
2022-10-04 00:07:46 - train: epoch 0051, iter [00150, 01251], lr: 0.000351, loss: 0.0954
2022-10-04 00:08:14 - train: epoch 0051, iter [00160, 01251], lr: 0.000351, loss: 0.0958
2022-10-04 00:08:42 - train: epoch 0051, iter [00170, 01251], lr: 0.000351, loss: 0.0873
2022-10-04 00:09:10 - train: epoch 0051, iter [00180, 01251], lr: 0.000351, loss: 0.0893
2022-10-04 00:09:39 - train: epoch 0051, iter [00190, 01251], lr: 0.000351, loss: 0.0832
2022-10-04 00:10:07 - train: epoch 0051, iter [00200, 01251], lr: 0.000350, loss: 0.0848
2022-10-04 00:10:35 - train: epoch 0051, iter [00210, 01251], lr: 0.000350, loss: 0.0814
2022-10-04 00:11:03 - train: epoch 0051, iter [00220, 01251], lr: 0.000350, loss: 0.0876
2022-10-04 00:11:31 - train: epoch 0051, iter [00230, 01251], lr: 0.000350, loss: 0.0872
2022-10-04 00:11:59 - train: epoch 0051, iter [00240, 01251], lr: 0.000350, loss: 0.0901
2022-10-04 00:12:27 - train: epoch 0051, iter [00250, 01251], lr: 0.000350, loss: 0.0845
2022-10-04 00:12:56 - train: epoch 0051, iter [00260, 01251], lr: 0.000350, loss: 0.0881
2022-10-04 00:13:24 - train: epoch 0051, iter [00270, 01251], lr: 0.000350, loss: 0.0989
2022-10-04 00:13:52 - train: epoch 0051, iter [00280, 01251], lr: 0.000350, loss: 0.0901
2022-10-04 00:14:20 - train: epoch 0051, iter [00290, 01251], lr: 0.000350, loss: 0.0931
2022-10-04 00:14:48 - train: epoch 0051, iter [00300, 01251], lr: 0.000350, loss: 0.0883
2022-10-04 00:15:16 - train: epoch 0051, iter [00310, 01251], lr: 0.000350, loss: 0.0933
2022-10-04 00:15:44 - train: epoch 0051, iter [00320, 01251], lr: 0.000349, loss: 0.0798
2022-10-04 00:16:13 - train: epoch 0051, iter [00330, 01251], lr: 0.000349, loss: 0.0917
2022-10-04 00:16:41 - train: epoch 0051, iter [00340, 01251], lr: 0.000349, loss: 0.0905
2022-10-04 00:17:09 - train: epoch 0051, iter [00350, 01251], lr: 0.000349, loss: 0.0858
2022-10-04 00:17:37 - train: epoch 0051, iter [00360, 01251], lr: 0.000349, loss: 0.0897
2022-10-04 00:18:06 - train: epoch 0051, iter [00370, 01251], lr: 0.000349, loss: 0.0918
2022-10-04 00:18:34 - train: epoch 0051, iter [00380, 01251], lr: 0.000349, loss: 0.0824
2022-10-04 00:19:02 - train: epoch 0051, iter [00390, 01251], lr: 0.000349, loss: 0.0927
2022-10-04 00:19:30 - train: epoch 0051, iter [00400, 01251], lr: 0.000349, loss: 0.0937
2022-10-04 00:19:59 - train: epoch 0051, iter [00410, 01251], lr: 0.000349, loss: 0.0932
2022-10-04 00:20:27 - train: epoch 0051, iter [00420, 01251], lr: 0.000349, loss: 0.0834
2022-10-04 00:20:55 - train: epoch 0051, iter [00430, 01251], lr: 0.000349, loss: 0.0840
2022-10-04 00:21:23 - train: epoch 0051, iter [00440, 01251], lr: 0.000348, loss: 0.0923
2022-10-04 00:21:51 - train: epoch 0051, iter [00450, 01251], lr: 0.000348, loss: 0.0942
2022-10-04 00:22:19 - train: epoch 0051, iter [00460, 01251], lr: 0.000348, loss: 0.0845
2022-10-04 00:22:48 - train: epoch 0051, iter [00470, 01251], lr: 0.000348, loss: 0.0863
2022-10-04 00:23:16 - train: epoch 0051, iter [00480, 01251], lr: 0.000348, loss: 0.0973
2022-10-04 00:23:44 - train: epoch 0051, iter [00490, 01251], lr: 0.000348, loss: 0.0909
2022-10-04 00:24:12 - train: epoch 0051, iter [00500, 01251], lr: 0.000348, loss: 0.0845
