2022-08-09 22:49:19 - net_idx: 0, test_loss: 1.1358, best_acc1: 71.996%, net_config: {'stem_width': 64, 'depth': 14, 'w_0': 32, 'w_a': 18.639926481306944, 'w_m': 2.065381050297783}
2022-08-09 22:49:19 - net_idx: 1, test_loss: 1.1197, best_acc1: 72.290%, net_config: {'stem_width': 64, 'depth': 13, 'w_0': 32, 'w_a': 23.3802771278587, 'w_m': 2.089554958700507}
2022-08-09 22:49:20 - net_idx: 2, test_loss: 1.1173, best_acc1: 72.188%, net_config: {'stem_width': 64, 'depth': 15, 'w_0': 32, 'w_a': 16.53264444950164, 'w_m': 1.9698967349417775}
2022-08-09 22:49:20 - net_idx: 3, test_loss: 1.1226, best_acc1: 72.370%, net_config: {'stem_width': 64, 'depth': 12, 'w_0': 32, 'w_a': 27.264071534824073, 'w_m': 2.097389031593275}
2022-08-09 22:49:20 - net_idx: 4, test_loss: 1.1042, best_acc1: 72.766%, net_config: {'stem_width': 64, 'depth': 15, 'w_0': 40, 'w_a': 17.36690916049138, 'w_m': 1.8119620337729927}
2022-08-09 22:49:21 - net_idx: 5, test_loss: 1.0878, best_acc1: 72.800%, net_config: {'stem_width': 64, 'depth': 16, 'w_0': 32, 'w_a': 18.29005053248016, 'w_m': 2.0003720871829462}
2022-08-10 08:31:06 - net_idx: 6, test_loss: 1.1410, best_acc1: 71.740%, net_config: {'stem_width': 64, 'depth': 14, 'w_0': 40, 'w_a': 16.33160987858594, 'w_m': 1.809915948599379}
2022-08-10 20:42:58 - net_idx: 7, test_loss: 1.1203, best_acc1: 72.398%, net_config: {'stem_width': 64, 'depth': 13, 'w_0': 32, 'w_a': 26.454471101326174, 'w_m': 2.0693894510494877}
2022-08-11 09:00:33 - net_idx: 8, test_loss: 1.1489, best_acc1: 71.624%, net_config: {'stem_width': 64, 'depth': 12, 'w_0': 32, 'w_a': 23.186472934432135, 'w_m': 2.1412442365785926}
2022-08-11 21:04:36 - net_idx: 9, test_loss: 1.1262, best_acc1: 72.106%, net_config: {'stem_width': 64, 'depth': 15, 'w_0': 40, 'w_a': 16.054163355931962, 'w_m': 1.7890647177993497}
2022-08-12 09:16:59 - net_idx: 10, test_loss: 1.1242, best_acc1: 72.186%, net_config: {'stem_width': 64, 'depth': 14, 'w_0': 40, 'w_a': 20.053025731231948, 'w_m': 1.8268982021440168}
2022-08-12 21:27:16 - net_idx: 11, test_loss: 1.1274, best_acc1: 71.876%, net_config: {'stem_width': 64, 'depth': 13, 'w_0': 48, 'w_a': 19.256788602705857, 'w_m': 1.6998302426794085}
2022-08-13 09:33:20 - net_idx: 12, test_loss: 1.0834, best_acc1: 72.978%, net_config: {'stem_width': 64, 'depth': 18, 'w_0': 32, 'w_a': 17.77597968937125, 'w_m': 1.9609275565633586}
2022-08-13 21:43:04 - net_idx: 13, test_loss: 1.0965, best_acc1: 72.818%, net_config: {'stem_width': 64, 'depth': 16, 'w_0': 32, 'w_a': 16.522017597145847, 'w_m': 2.0086175352187157}
2022-08-14 09:57:33 - net_idx: 14, test_loss: 1.1358, best_acc1: 71.996%, net_config: {'stem_width': 64, 'depth': 14, 'w_0': 32, 'w_a': 19.808831544454947, 'w_m': 2.068598911841805}
2022-08-14 22:09:48 - net_idx: 15, test_loss: 1.1533, best_acc1: 71.514%, net_config: {'stem_width': 64, 'depth': 13, 'w_0': 40, 'w_a': 20.948287147782217, 'w_m': 1.8391479884846247}
