2022-08-16 00:00:29 - train: epoch 0002, iter [04500, 05004], lr: 0.098583, loss: 3.1279
2022-08-16 00:01:02 - train: epoch 0002, iter [04600, 05004], lr: 0.098553, loss: 3.2604
2022-08-16 00:01:36 - train: epoch 0002, iter [04700, 05004], lr: 0.098523, loss: 3.4730
2022-08-16 00:02:10 - train: epoch 0002, iter [04800, 05004], lr: 0.098492, loss: 3.5168
2022-08-16 00:02:45 - train: epoch 0002, iter [04900, 05004], lr: 0.098461, loss: 3.4306
2022-08-16 00:03:18 - train: epoch 0002, iter [05000, 05004], lr: 0.098430, loss: 3.3909
2022-08-16 00:03:19 - train: epoch 002, train_loss: 3.7561
2022-08-16 00:04:34 - eval: epoch: 002, acc1: 30.928%, acc5: 56.758%, test_loss: 3.2718, per_image_load_time: 2.442ms, per_image_inference_time: 0.494ms
2022-08-16 00:04:34 - until epoch: 002, best_acc1: 30.928%
2022-08-16 00:04:34 - epoch 003 lr: 0.098429
2022-08-16 00:05:14 - train: epoch 0003, iter [00100, 05004], lr: 0.098398, loss: 3.2680
2022-08-16 00:05:48 - train: epoch 0003, iter [00200, 05004], lr: 0.098366, loss: 3.4531
2022-08-16 00:06:22 - train: epoch 0003, iter [00300, 05004], lr: 0.098334, loss: 3.3138
2022-08-16 00:06:55 - train: epoch 0003, iter [00400, 05004], lr: 0.098302, loss: 3.3155
2022-08-16 00:07:28 - train: epoch 0003, iter [00500, 05004], lr: 0.098269, loss: 3.3900
2022-08-16 00:08:03 - train: epoch 0003, iter [00600, 05004], lr: 0.098236, loss: 3.0064
2022-08-16 00:08:36 - train: epoch 0003, iter [00700, 05004], lr: 0.098203, loss: 3.3449
2022-08-16 00:09:09 - train: epoch 0003, iter [00800, 05004], lr: 0.098170, loss: 3.3849
2022-08-16 00:09:43 - train: epoch 0003, iter [00900, 05004], lr: 0.098136, loss: 3.1038
2022-08-16 00:10:17 - train: epoch 0003, iter [01000, 05004], lr: 0.098102, loss: 3.2872
2022-08-16 00:10:51 - train: epoch 0003, iter [01100, 05004], lr: 0.098067, loss: 3.1086
2022-08-16 00:11:25 - train: epoch 0003, iter [01200, 05004], lr: 0.098033, loss: 3.1352
2022-08-16 00:11:59 - train: epoch 0003, iter [01300, 05004], lr: 0.097997, loss: 3.0997
2022-08-16 00:12:33 - train: epoch 0003, iter [01400, 05004], lr: 0.097962, loss: 3.0886
2022-08-16 00:13:06 - train: epoch 0003, iter [01500, 05004], lr: 0.097927, loss: 3.4900
2022-08-16 00:13:40 - train: epoch 0003, iter [01600, 05004], lr: 0.097891, loss: 3.2460
2022-08-16 00:14:15 - train: epoch 0003, iter [01700, 05004], lr: 0.097854, loss: 3.1388
2022-08-16 00:14:49 - train: epoch 0003, iter [01800, 05004], lr: 0.097818, loss: 2.9551
2022-08-16 00:15:23 - train: epoch 0003, iter [01900, 05004], lr: 0.097781, loss: 3.3058
2022-08-16 00:15:56 - train: epoch 0003, iter [02000, 05004], lr: 0.097744, loss: 3.2375
2022-08-16 00:16:30 - train: epoch 0003, iter [02100, 05004], lr: 0.097706, loss: 3.2032
2022-08-16 00:17:05 - train: epoch 0003, iter [02200, 05004], lr: 0.097669, loss: 3.4602
2022-08-16 00:17:38 - train: epoch 0003, iter [02300, 05004], lr: 0.097631, loss: 2.9015
2022-08-16 00:18:12 - train: epoch 0003, iter [02400, 05004], lr: 0.097592, loss: 3.0839
2022-08-16 00:18:46 - train: epoch 0003, iter [02500, 05004], lr: 0.097554, loss: 3.1961
2022-08-16 00:19:20 - train: epoch 0003, iter [02600, 05004], lr: 0.097515, loss: 3.1687
2022-08-16 00:19:54 - train: epoch 0003, iter [02700, 05004], lr: 0.097475, loss: 3.1478
2022-08-16 00:20:27 - train: epoch 0003, iter [02800, 05004], lr: 0.097436, loss: 3.0224
2022-08-16 00:21:01 - train: epoch 0003, iter [02900, 05004], lr: 0.097396, loss: 3.0492
2022-08-16 00:21:35 - train: epoch 0003, iter [03000, 05004], lr: 0.097356, loss: 3.1542
2022-08-16 00:22:11 - train: epoch 0003, iter [03100, 05004], lr: 0.097315, loss: 3.4896
2022-08-16 00:22:44 - train: epoch 0003, iter [03200, 05004], lr: 0.097275, loss: 3.0476
2022-08-16 00:23:18 - train: epoch 0003, iter [03300, 05004], lr: 0.097234, loss: 3.0924
2022-08-16 00:23:51 - train: epoch 0003, iter [03400, 05004], lr: 0.097192, loss: 3.2981
2022-08-16 00:24:25 - train: epoch 0003, iter [03500, 05004], lr: 0.097151, loss: 2.9711
2022-08-16 00:24:59 - train: epoch 0003, iter [03600, 05004], lr: 0.097109, loss: 2.9735
2022-08-16 00:25:34 - train: epoch 0003, iter [03700, 05004], lr: 0.097067, loss: 3.1720
2022-08-16 00:26:07 - train: epoch 0003, iter [03800, 05004], lr: 0.097024, loss: 2.9592
2022-08-16 00:26:41 - train: epoch 0003, iter [03900, 05004], lr: 0.096981, loss: 3.4170
2022-08-16 00:27:16 - train: epoch 0003, iter [04000, 05004], lr: 0.096938, loss: 2.7687
2022-08-16 00:27:50 - train: epoch 0003, iter [04100, 05004], lr: 0.096895, loss: 2.8644
